Time,mat_z_trans,map_z_trans,wmm_z_trans,cmm_z_trans,wmmcmm_z_trans,wetmon_z_trans,drymon_z_trans,wetdry_z_trans
247,-1.474915132,-0.484076621,-0.443140496,-1.303851211,0.869743261,-0.556491464,-0.216051829,-0.595315143
248,-1.474915132,-0.484076621,-0.443140496,-1.303851211,0.869743261,-0.556491464,-0.216051829,-0.595315143
249,-1.474915132,-0.484076621,-0.443140496,-1.303851211,0.869743261,-0.556491464,-0.216051829,-0.595315143
249.9,-1.192773285,-0.392594455,1.044762178,-1.662788203,1.798033091,-0.194155716,-0.344357448,-0.011803866
250,-1.192773285,-0.392594455,1.044762178,-1.662788203,1.798033091,-0.194155716,-0.344357448,-0.011803866
251,-1.192773285,-0.392594455,1.044762178,-1.662788203,1.798033091,-0.194155716,-0.344357448,-0.011803866
251.902,-0.598438929,-0.718727889,-1.848866056,0.265360017,-1.006712727,-0.715233483,-0.118412733,-0.881127437
252,-0.598438929,-0.718727889,-1.848866056,0.265360017,-1.006712727,-0.715233483,-0.118412733,-0.881127437
253,-0.598438929,-0.718727889,-1.848866056,0.265360017,-1.006712727,-0.715233483,-0.118412733,-0.881127437
254,-0.598438929,-0.718727889,-1.848866056,0.265360017,-1.006712727,-0.715233483,-0.118412733,-0.881127437
254.14,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
255,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
256,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
257,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
258,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
259,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923
259.51,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
260,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
261,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
262,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
263,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
264,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562
264.28,-0.72037022,1.96567313,-2.069371169,0.218691112,-1.063146967,1.082420775,2.865255767,-0.622770717
265,-0.72037022,1.96567313,-2.069371169,0.218691112,-1.063146967,1.082420775,2.865255767,-0.622770717
266,-0.72037022,1.96567313,-2.069371169,0.218691112,-1.063146967,1.082420775,2.865255767,-0.622770717
266.9,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
267,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
268,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
269,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
270,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
271,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
272,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
273,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
274,0.71369526,0.604093623,-0.053393758,0.73671033,-0.621412329,-0.025145027,0.628997783,-0.492108337
274.4,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
275,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
276,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
277,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
278,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
279,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
280,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
281,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
282,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
283,1.220341628,-1.045776914,0.021844444,1.218272459,-0.980480353,-0.645122367,-1.065778223,-0.09633432
283.3,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
284,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
285,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
286,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
287,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
288,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
289,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
290,1.170179814,-0.066944963,-0.068629055,1.282866862,-1.07167503,0.317715233,-0.719814486,0.953957157
290.1,1.004501878,-0.868185257,-0.221353489,1.106118851,-0.993419331,-0.657032252,-1.034263045,-0.135395185
291,1.004501878,-0.868185257,-0.221353489,1.106118851,-0.993419331,-0.657032252,-1.034263045,-0.135395185
292,1.004501878,-0.868185257,-0.221353489,1.106118851,-0.993419331,-0.657032252,-1.034263045,-0.135395185
293,1.004501878,-0.868185257,-0.221353489,1.106118851,-0.993419331,-0.657032252,-1.034263045,-0.135395185
293.52,1.200895617,-1.331891625,-0.038430304,1.253137756,-1.034598843,-1.265095076,-1.053994136,-0.943442039
