feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
rotated_lat_scaled,none,none,none,0.99,-4.071954670380263,-11.397742045472443,-1.2550685020711951,0.1575106629356742,0.060436543077230453,0.2508857846260071,-339.82953394764365,-608.2705173058553,-112.8806433491643,4.0
map_scaled,none,none,none,0.82,-3.3577789907528333,-40.0,2.3275545640160047,0.1589369671419263,0.06567682325839996,0.2803318500518799,-440.3552602849405,-954.9341568985828,-83.72589148858151,3.0
mat_scaled,none,none,none,0.99,-28.062260350434023,-40.0,-3.7438896326086044,0.17061071123927832,0.0745122954249382,0.33848515152931213,-565.3177676417035,-1254.4201515259379,-110.87433364553328,2.0
wmmcmm_scaled,none,none,none,0.98,-4.7200840745147765,-15.902160114118406,1.1288838198250657,0.2877586471289396,0.11144175380468369,0.550831139087677,-748.1997248223865,-1650.7745974327554,-109.48565565898195,1.0
time,none,none,none,0.76,-1.5459019202726765,-6.088626437887793,1.9790558987636837,0.07261170104146003,0.0359969399869442,0.11304230242967606,-99.74397977175312,-240.21409412128764,-1.3198223612172342,5.0
