id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
4319,259.51,264.28,Bradysaurus,-62.7516,-22.8072
4308,264.28,266.9,Belebey,41.9725,35.9164
4307,264.28,273.01,Rothianiscus,2.6894,-35.9903
4304,264.28,273.01,Rothianiscus,2.6894,-35.9903
4305,264.28,273.01,Rothianiscus,2.6894,-35.9903
4306,264.28,273.01,Rothianiscus,2.6894,-35.9903
4303,264.28,273.01,Rothianiscus,2.6894,-35.9903
4302,264.28,273.01,Rothianiscus,2.6894,-35.9903
4301,264.28,273.01,Rothianiscus,2.6894,-35.9903
4300,264.28,273.01,Rothianiscus,2.6894,-35.9903
4299,264.28,273.01,Rothianiscus,2.6894,-35.9903
4298,264.28,273.01,Rothianiscus,2.6894,-35.9903
4297,264.28,273.01,Rothianiscus,2.6894,-35.9903
4258,259.51,264.28,Deltavjatia,44.3876,33.3665
4257,254.14,264.28,Scutosaurus,45.0092,37.7433
4242,254.14,259.51,Pareiasuchus,-60.8508,-19.3342
3439,254.14,259.51,Weigeltisaurus,26.1672,12.925
3431,259.51,266.9,Provelosaurus,-48.797,-22.9278
3420,254.14,259.51,Acrodenta,5.1372,-1.0131
3416,264.28,273.01,Nycteroleter,42.6876,20.3569
3414,264.28,266.9,Macroleter,42.6534,40.3398
3395,251.902,259.51,Milleropsis,-60.8508,-19.3342
3396,251.902,259.51,Milleropsis,-60.8508,-19.3342
3397,251.902,259.51,Milleropsis,-60.8508,-19.3342
3398,251.902,259.51,Milleropsis,-60.8508,-19.3342
3399,251.902,259.51,Milleropsis,-60.8508,-19.3342
3400,251.902,259.51,Milleropsis,-60.8508,-19.3342
3401,251.902,259.51,Milleropsis,-60.8508,-19.3342
3402,251.902,259.51,Milleropsis,-60.8508,-19.3342
3394,251.902,259.51,Milleretta,-60.8508,-19.3342
3391,251.902,259.51,Milleretta,-60.8508,-19.3342
3392,251.902,259.51,Milleretta,-60.8508,-19.3342
3393,251.902,259.51,Milleretta,-60.8508,-19.3342
3390,251.902,259.51,Milleropsis,-63.1595,-14.725
3389,251.902,259.51,Milleretta,-63.1595,-14.725
3388,251.902,259.51,Millerosaurus,-63.1595,-14.725
3387,251.902,259.51,Millerosaurus,-63.1595,-14.725
3386,251.902,259.51,Milleretta,-63.1595,-14.725
3384,251.902,259.51,Milleretta,-63.1595,-14.725
