id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
4204,208.5,227.0,Camposaurus,1.3531,-47.1801
4203,208.5,227.0,Calyptosuchus,1.3531,-47.1801
4202,208.5,227.0,Tanytrachelos,1.3531,-47.1801
4201,208.5,227.0,Smilosuchus,1.3531,-47.1801
4200,208.5,227.0,Parasuchus,1.3531,-47.1801
4199,208.5,227.0,Acaenasuchus,1.3531,-47.1801
4198,237.0,247.2,Cyamodus,26.4626,20.9891
4196,208.5,227.0,Poposaurus,1.3531,-47.1801
4195,208.5,227.0,Shuvosaurus,1.3531,-47.1801
4194,208.5,227.0,Poposaurus,1.3531,-47.1801
4193,208.5,227.0,Trilophosaurus,1.3531,-47.1801
4192,208.5,227.0,Trilophosaurus,1.3531,-47.1801
4191,208.5,227.0,Tanytrachelos,1.3531,-47.1801
4189,227.0,237.0,Parasuchus,1.0633,-40.6348
4188,208.5,227.0,Unaysaurus,-46.1164,-4.6554
4187,227.0,237.0,Terrestrisuchus,24.9561,4.3648
4186,227.0,237.0,Kuehneosaurus,24.9561,4.3648
4185,227.0,237.0,Clevosaurus,24.9561,4.3648
4180,237.0,247.2,Cymbospondylus,17.3463,-49.8163
4179,237.0,247.2,Cymbospondylus,17.3463,-49.8163
4178,237.0,247.2,Cymbospondylus,17.3463,-49.8163
4177,237.0,247.2,Phalarodon,17.3463,-49.8163
4175,227.0,237.0,Lucasuchus,-0.5164,-22.3104
4174,227.0,237.0,Diphydontosaurus,24.9561,4.3648
4172,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4171,227.0,237.0,Hyperodapedon,-52.0012,-29.5316
4170,227.0,237.0,Hyperodapedon,-52.0012,-29.5316
4169,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
4168,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
4167,208.5,227.0,Typothorax,3.8366,-43.9682
4165,208.5,227.0,Teratosaurus,32.5932,9.3339
4161,208.5,227.0,Plateosaurus,30.9826,11.6474
4160,208.5,227.0,Typothorax,1.3531,-47.1801
4157,208.5,227.0,Trilophosaurus,-1.4701,-41.4649
4156,227.0,237.0,Hyperodapedon,-47.0393,20.0808
4155,227.0,237.0,Saturnalia,-47.0393,20.0808
4154,208.5,227.0,Revueltosaurus,1.3572,-44.289
4152,208.5,227.0,Chindesaurus,1.3531,-47.1801
4153,208.5,227.0,Chindesaurus,1.3531,-47.1801
4151,208.5,227.0,Shuvosaurus,1.3531,-47.1801
4150,208.5,227.0,Plateosaurus,30.9826,11.6474
4149,208.5,227.0,Plateosaurus,30.9826,11.6474
4147,208.5,227.0,Plateosaurus,29.0864,9.707
4146,208.5,227.0,Gresslyosaurus,29.0864,9.707
4144,227.0,237.0,Staurikosaurus,-49.4771,-10.0175
4143,237.0,242.0,Spondylosoma,-49.0435,-14.582
4142,208.5,227.0,Plateosaurus,34.4775,11.1969
4141,208.5,227.0,Liliensternus,34.4775,11.1969
4140,237.0,242.0,Zanclodon,27.7242,17.4803
4138,208.5,227.0,Plateosaurus,32.5932,9.3339
4135,208.5,227.0,Gresslyosaurus,32.5932,9.3339
4108,208.5,227.0,Ruehleia,34.4775,11.1969
4109,208.5,227.0,Ruehleia,34.4775,11.1969
4106,208.5,227.0,Liliensternus,34.4775,11.1969
4107,208.5,227.0,Liliensternus,34.4775,11.1969
4105,208.5,227.0,Gojirasaurus,1.3572,-44.289
4104,208.5,227.0,Machaeroprosopus,1.3572,-44.289
4103,208.5,227.0,Rutiodon,1.3572,-44.289
4102,208.5,227.0,Rioarribasuchus,1.3572,-44.289
4101,208.5,227.0,Shuvosaurus,1.3572,-44.289
4100,208.5,227.0,Shuvosaurus,1.3572,-44.289
4099,208.5,227.0,Typothorax,1.3531,-47.1801
4098,208.5,227.0,Hesperosuchus,1.3531,-47.1801
4097,208.5,227.0,Machaeroprosopus,1.3531,-47.1801
4096,208.5,227.0,Revueltosaurus,1.3531,-47.1801
4082,208.5,227.0,Grallator,32.5932,9.3339
4081,208.5,227.0,Grallator,34.4775,11.1969
4080,208.5,227.0,Eudimorphodon,30.9826,11.6474
4042,208.5,227.0,Coloradisaurus,-50.4972,-22.4201
4041,208.5,227.0,Riojasaurus,-50.4972,-22.4201
4039,208.5,227.0,Grallator,1.3572,-44.289
4038,208.5,227.0,Coelophysis,1.3572,-44.289
4037,208.5,227.0,Revueltosaurus,1.3531,-47.1801
4036,208.5,227.0,Typothorax,1.3531,-47.1801
4035,208.5,227.0,Smilosuchus,1.3531,-47.1801
4034,208.5,227.0,Krzyzanowskisaurus,1.3531,-47.1801
4033,208.5,227.0,Calyptosuchus,1.3531,-47.1801
4032,208.5,227.0,Leptosuchus,1.3531,-47.1801
4031,208.5,227.0,Scutarx,1.3531,-47.1801
4030,208.5,227.0,Leptosuchus,1.3531,-47.1801
4029,208.5,227.0,Acaenasuchus,1.3531,-47.1801
4028,208.5,227.0,Leptosuchus,1.3531,-47.1801
4027,208.5,227.0,Revueltosaurus,1.3531,-47.1801
4026,208.5,227.0,Typothorax,1.3572,-44.289
4025,208.5,227.0,Paratypothorax,1.3572,-44.289
4024,208.5,227.0,Coelophysis,1.3572,-44.289
4023,208.5,227.0,Coelophysis,1.3572,-44.289
