genus	ts	te
Abajudon	266.1942694744745	259.87117556456457
Abdalodon	257.0290669019019	256.8337731741742
Acratophorus	233.35552446346347	228.59782297797798
Adelobasileus	216.76385614714712	216.11342377577577
Aelurognathus	260.1123003203203	252.03434334934934
Aelurosaurus	263.2735337917918	253.48818840640638
Aelurosuchus	244.68013993093092	244.50406954854856
Agudotherium	231.30585451651652	230.01286442942944
Akidnognathus	260.8349455325325	254.12413123023023
Aleodon	246.3329053903904	234.0118061881882
Alepognathus	262.18786665765765	261.49270834534536
Alopecideops	262.40052778678677	261.82877855255254
Alopecodon	264.00780328428425	259.9672420950951
Alopecognathus	263.6269443153153	260.0695664164164
Alopecorhinus	259.97103521521524	259.4652615795796
Aloposaurus	260.8859886116116	252.76705155255257
Alrausuchus	273.2644701331331	265.512024029029
Andescynodon	245.15596763463464	243.00819089289288
Angelosaurus	270.75212794794794	266.6733443743744
Angonisaurus	246.67852594994997	241.45847896296297
Annatherapsidus	265.04774382882886	257.3827801921922
Anningia	262.4117173673674	261.66164106506506
Anomocephalus	265.99136974774774	265.5477930560561
Antecosuchus	246.085708995996	242.61565526226227
Anteosaurus	264.80916792392395	259.5759720620621
Apsisaurus	292.8226324074074	292.2626734424424
Archaeosyodon	266.05090340440444	265.6679603213213
Arctognathus	260.20386734434436	252.9114404974975
Arctops	260.95415796796794	253.39476880280282
Arctotraversodon	234.4911031991992	228.860293022022
Arisierpeton	287.7027739039039	287.2612247367367
Ascendonanus	292.8521062722723	284.44420845445444
Aulacephalodon	259.9974212052052	252.5660752142142
Aulacocephalus	256.9364536816817	256.7511092802803
Australobarbarus	263.6360064334334	260.81943057257257
Australosyodon	265.380366990991	265.00090747647647
Avenantia	261.3743418128128	260.76294644244246
Baldwinonus	294.20746362262264	293.67577786286284
Basilodon	261.28181133733733	252.3177517117117
Bauria	247.46287118518518	242.23114812512512
Beishanodon	248.37622943643643	248.29680296996997
Biarmosuchoides	265.94359526126124	265.5658596686687
Biarmosuchus	273.3830637297297	263.74242293393394
Biseridens	272.2094358788789	267.8063232792793
Blattoidealestes	259.779133980981	259.1731314534535
Bolodon	206.04259177177178	205.5602737227227
Bolotridon	244.46893515815816	244.25180805505505
Bonacynodon	241.53327003203202	231.9611591011011
Boreogomphodon	236.09849321721723	214.69998903003003
Botucaraitherium	218.62044580880882	217.39695395795798
Brachyprosopus	265.13582865265266	259.83444822622624
Brachyzostrodon	208.19659281781782	201.6644139079079
Brasilitherium	227.1061617837838	210.3868965855856
Brasilodon	226.98818393993994	208.83349499899902
Bulbasaurus	259.1942820810811	254.72264995395398
Bullacephalus	264.1353524044044	263.46492133833834
Burnetia	257.4717027437437	257.28506693093095
Cabarzia	296.0865642292292	295.36906192392394
Callibrachion	287.97737536736736	287.6060591001001
Candelariodon	240.40979095295296	240.20124493493495
Caodeyao	256.0841029219219	255.94839923523523
Casea	284.3554454684685	275.1609612302302
Cerdorhinus	256.28138196396395	256.09174936236235
Cerdosuchus	255.3962121051051	255.2319862842843
Chalepotherium	204.70303553953954	204.11119711711711
Chaliminia	225.9680211241241	212.9120237107107
Charassognathus	256.7075047997998	256.5208088238238
Chiniquodon	243.80183515915917	228.84713734734737
Choerosaurus	255.88394906706708	255.68608988588588
Chthomaloporus	265.9451942282283	265.563180986987
Chthonosaurus	262.6165173083083	258.80807353753755
Cistecephaloides	256.86244658658654	256.68647195695695
Cistecephalus	259.66980831631633	254.1058801821822
Cistecynodon	244.53576270970973	244.31723707207206
Clelandina	261.08314652552554	253.30251776176175
Clepsydrops	281.38863523523526	281.0195284184184
Colobodectes	263.826222008008	252.14655043243243
Compsodon	260.8027799079079	252.7370335075075
Cotylorhynchus	281.17014119819817	265.26362696997
Counillonia	249.33659699799802	249.24407118818817
Cricodon	246.57539324424425	242.08024702702704
Criocephalosaurus	263.26180041441444	259.9789941401401
Cromptodon	245.38752486786785	245.19542256356357
Cryptocynodon	261.1242263723724	254.08577540240242
Ctenorhachis	286.61212263263263	286.1809502392392
Ctenospondylus	294.414537996997	281.90048072072074
Cutleria	294.74739522722723	290.08077947447447
Cynariognathus	263.3244322252252	259.9060648628629
Cyniscops	256.92336494794796	256.72488347247247
Cynognathus	246.80188354154154	230.37261136936937
Cynosaurus	261.3242397897898	252.4347364074074
Cyonosaurus	260.262788013013	251.9577625095095
Dalongkoua	253.02333872372373	252.89243160260258
Daptocephalus	263.28008787787786	251.95883259459458
Daqingshanodon	255.56699545245246	255.45642616216216
Davletkulia	270.6779717317317	269.87869404804803
Delectosaurus	260.46889954154153	257.0175778908909
Delphinognathus	261.95629125325326	261.17051809309305
Deuterosaurus	266.8938315035035	259.74131587287286
Diademodon	246.811847019019	230.9550941011011
Dicynodon	264.742306986987	239.19091427327328
Dicynodontipus	251.60820321321322	251.4852591041041
Dicynodontoides	260.75092824324327	247.54133897397395
Diegocanis	232.8611557907908	231.6545032102102
Digalodon	261.0798045725726	252.81187661161164
Diictodon	264.29173133133133	252.3339758968969
Diictodontoides	256.50790216616616	256.31292307907904
Dimetrodon	298.61347515315316	274.2405297767768
Dinanomodon	261.5676138688689	248.5937647967968
Dinodontosaurus	242.04764008608606	236.4971099029029
Dinogorgon	260.3177391931932	252.30182363463462
Dinosaurus	265.9024974504504	264.8081975115115
Dolichuranus	246.52269506406407	242.46134495195196
Dolomitipes	252.1324576886887	248.85263864764767
Dromatherium	219.23155728528528	218.63190703303303
Dvinia	261.38551065465464	258.6500964664665
Ecteninion	233.69835419519518	232.10003041941943
Edaphosaurus	298.80258151851854	274.59546817717717
Elephantosaurus	238.41569469269268	238.27881156556558
Elliotsmithia	262.5873201961962	261.8179092222222
Elph	263.0552008068068	259.1424018868869
Emydochampsa	257.36706194994997	257.1613133903904
Emydops	264.3078508008008	253.40844144144143
Emydorhinus	257.9425551151151	255.56441555555557
Emydorhynchus	257.4699063243243	257.26076807407406
Emyduranus	257.7568253823824	255.5478984094094
Endothiodon	264.2354812862863	252.90278834234235
Ennatosaurus	274.6064828108108	262.64593077677677
Eodicynodon	266.8418721711712	264.4026442192192
Eoraetia	205.18719142942942	204.7047853123123
Eosimops	264.163068003003	254.85836115815817
Eothyris	287.4951111901902	287.09192456256255
Eozostrodon	207.06845192992992	203.88478313213213
Ericiolacerta	251.496150027027	246.53140900300298
Eriphostoma	264.57539842742744	254.4514487177177
Estemmenosuchus	270.1715772752753	263.94208521521523
Etjoia	244.69034155155157	244.4948928808809
Eubrachiosaurus	231.78887728228227	229.8713504004004
Euchambersia	257.0839217167167	256.902232974975
Euptychognathus	256.4851437847848	256.29716424524526
Euromycter	280.9272984154154	280.57905901001
Exaeretodon	244.73374205105105	207.1035319049049
Fluctuodon	204.88221272672672	204.3260282162162
Galechirus	263.7719022512513	261.18238719819817
Galeops	263.3626979199199	255.13914223223225
Galepus	262.4800226236236	261.75184575875875
Galesaurus	251.99987312812812	247.05612322522524
Gaumia	216.84981234334333	201.24469584184186
Geikia	262.4317382712713	251.91026873173175
Glanosuchus	266.6625203943944	259.85730728828827
Glaucosaurus	281.7985756696697	281.4716540800801
Gondwanadon	231.78372183883883	230.64256988088087
Gordonia	254.05669294794797	252.19730177677678
Gorgonops	264.1066323273273	253.7015822832833
Gorochovetzia	260.6277954134134	260.3456094024024
Gorynychus	264.89719788488486	259.97720472872874
Habayia	205.54538984084084	205.00893093993994
Hahnia	204.38191414114115	203.8685683963964
Hallautherium	206.00044785185185	205.45536876876878
Haptodus	299.22360608908906	285.1892642362362
Haramiyavia	206.46447107407408	202.79128724324323
Hazhenia	246.05591811211212	245.88341627827828
Heleosaurus	262.3451739239239	261.69228244944946
Helvetiodon	204.97204662662662	204.48268065665667
Herpetoskylax	258.274127002002	255.93907109909912
Hipposaurus	263.4510104844845	259.92932947947946
Hofmeyria	261.05355592792796	254.12087194994996
Homodontosaurus	261.13995693993996	252.78379648948948
Hwanghocynodon	256.5900301031031	256.47787103003003
Hyaenasuchus	262.31067808208206	261.53619098398394
Hypselohaptodus	295.7061087977978	295.1917755315315
Hypsiprymnopsis	203.81886475275275	203.34615616916918
Ichibengops	258.14574115615613	255.21734873473474
Icticephalus	257.1821988238238	256.9709666056056
Ictidochampsa	257.063631021021	256.8628821171171
Ictidognathus	261.50518492892894	254.50156131731734
Ictidorhinus	254.77996313313315	254.61136383083084
Ictidosaurus	266.15028114614614	260.5877651071071
Ictidosuchops	259.9008398948949	252.25792458558558
Ictidosuchus	256.9255184994995	256.7410352932933
Idelesaurus	262.197322018018	261.5668628118118
Impidens	244.35314515815816	244.16187463363363
Inostrancevia	264.4129126126126	255.59632061161162
Interpresosaurus	258.558901944945	258.41132492592595
Irajatherium	224.1438044034034	212.90678426426427
Ischigualastia	236.640519987988	227.75198032432434
Isengops	256.47460995795797	256.2842253693694
Jachaleria	242.71705968468467	206.51335785985987
Jimusaria	258.1187836256256	251.9300857987988
Jiufengia	255.7269365845846	255.6082053083083
Jonkeria	264.5327591451452	255.76948215315315
Julognathus	262.12237898598596	261.4930862752753
Kamagorgon	274.2864633723724	267.8835165395395
Kannemeyeria	249.09697865265264	238.6620527957958
Karenites	262.861711041041	260.36983006806804
Kataigidodon	218.7365938058058	218.13346666166166
Katumbia	258.66186143043046	255.103041021021
Kawingasaurus	259.01110733033033	254.7037009169169
Kembawacela	259.1987493953954	254.3288672922923
Keratocephalus	263.87167597997995	260.14047344344345
Keyseria	255.00958884084082	254.82314333733734
Kitchinganomodon	260.9933978028028	253.12507440940942
Kombuisia	251.4427111771772	241.59166609409408
Kotelcephalon	261.32366238838836	260.92726047447445
Kuehneotherium	208.25051842442443	201.2803712922923
Kunpania	255.88582286586586	255.77409616416418
Kwazulusaurus	255.70687639939942	255.52999943443444
Lalieudorhynchus	263.0045940520521	262.6196438318318
Langbergia	249.78293227127125	246.69811790590592
Lanthanostegus	263.513558996997	260.82646385385385
Lemurosaurus	258.0938358718719	255.29325033933935
Lende	257.57271706106104	257.39491784984983
Leogorgon	262.3739132872873	258.0281946646647
Leontosaurus	259.3287555145145	252.95569030730732
Lepagia	207.61890703003002	201.51165038338337
Leucocephalus	256.3816392522522	256.1946681231231
Lobalopex	256.8123863003003	256.60520030930934
Lophorhinus	256.4326468338338	256.2500845075075
Luangwa	246.68042524924925	234.40738003803804
Lumkuia	244.8967757857858	244.71203010410412
Lupeosaurus	297.31018747547546	296.7173027287287
Lycaenodon	260.61011726026027	253.7996513843844
Lycaenops	259.952423977978	253.0786326846847
Lycedops	262.5069525875876	261.92440749949947
Lycideops	254.572477033033	254.41189975975976
Lycosaurus	263.16370336136134	256.1241211851852
Lycosuchus	261.3606943343343	260.6538650970971
Lystrosaurus	262.73990699599597	246.659792011011
Malasaurus	258.6776677897898	258.5313957917918
Mandagomphodon	245.16399688188187	243.8218268318318
Martensius	288.19156047047045	287.7411875895896
Massetognathus	242.06419073573574	230.8478762962963
Maubeugia	206.33890927627627	205.75908846546548
Megawhaitsia	261.0785844654655	257.5098429239239
Menadon	232.12710216116116	230.6451762852853
Mesenosaurus	287.1823316826827	264.2038657697698
Meurthodon	205.50829354954956	205.00356767367367
Microconodon	234.10111737337337	213.46431656656657
Microgomphodon	249.4990551831832	236.8414817977978
Microhelodon	244.65575265065064	244.43514666666667
Microscalenodon	207.04250625025026	202.81405707407407
Microsyodon	273.83429638038035	268.9677398368368
Microurania	266.1670882822823	257.9295944894895
Microvaranops	263.8942703033033	259.951034019019
Microwhaitsia	258.24137713213213	255.57827838338338
Minicynodon	218.11307664964966	216.99237323623623
Mirotenthes	258.03669320720724	255.39916514514516
Mitredon	205.4456842032032	204.89042309709708
Moghreberia	235.78699672272273	227.9006127317317
Mojo	203.45602045445446	202.95372536736735
Molybdopygus	265.43000859259257	265.06159007907905
Morganucodon	207.58677162062062	202.25505815815816
Mormosaurus	262.2659002952953	261.44460668268266
Moschops	264.37898622322325	256.74321443443444
Moschorhinus	260.4957875235235	246.9136484804805
Moschowhaitsia	261.16821865365364	256.860293028028
Muchia	261.75834001001	261.313688009009
Mucrotherium	205.0624901901902	204.49537170170169
Mupashi	256.3284067877878	256.1236386296296
Mycterosaurus	290.2041201091091	276.95044690490494
Myosauroides	256.95814844844847	256.78746587687687
Myosaurus	251.98837813413417	246.66064237137135
Nanictidops	256.4908010820821	256.29279462762764
Nanictocephalus	256.9482793353353	256.75203354654656
Nanictosaurus	260.76931893293295	252.36382906306306
Nanocynodon	261.29396995895894	260.70556633533533
