genus	ts	te
Nanogomphodon	238.37458482082081	238.2060434754755
Niaftasuchus	273.1043199189189	267.6581984654655
Niassodon	257.1064995885886	256.92738988488486
Nikkasaurus	270.31309631831834	266.1191740670671
Niuksenitia	261.873385018018	261.3298344764765
Nochnitsa	262.1818951181181	261.50407347447447
Notaelurodon	254.306672001001	254.15033779379382
Nothogomphodon	245.98706483783783	241.95324866966968
Notictoides	249.3396966826827	249.2647890880881
Notosyodon	263.7592867257257	263.29922018518516
Nshimbodon	257.39818327227226	257.20921306906905
Nythosaurus	244.01789229029026	243.80775331531532
Odontocyclops	259.93328172972974	254.08834721621622
Oligokyphus	206.09907545245244	203.986707998999
Olivierosuchus	251.52121244744745	246.89530052052052
Ophiacodon	298.575887049049	274.44323922622624
Ophidostoma	256.446730006006	256.25093075575575
Ordosiodon	245.28190033033033	242.41597100200198
Oromycter	287.86708963663665	287.33494896196197
Otsheria	266.0453052442443	265.6623170770771
Oudenodon	262.24899144644644	251.9873901951952
Pachydectes	263.0639784874875	262.278931985986
Palemydops	260.9754501901902	254.12162741741741
Pampaphoneus	266.1750676716717	263.00845745845845
Panchetocynodon	250.56343575275275	250.35084734234235
Parabradysaurus	274.7276889049049	270.41170725525524
Paraburnetia	257.66768612812814	257.476325049049
Paragalerhinus	256.9022828408408	256.71163794994993
Parakannemeyeria	246.90611681981983	235.29584304704704
Parasuminia	262.66930612712713	262.1849679179179
Paratraversodon	240.08403873473475	239.89422534134133
Pardosuchus	261.9338354354354	261.1549822462463
Pascualgnathus	235.79375871671672	228.22283183883883
Patranomodon	266.28809855955956	264.49685257857857
Pelanomodon	260.4115362042042	251.9411285015015
Pelictosuchus	257.2034726916917	255.00327845045044
Peramodon	262.42382313013013	259.19396583083085
Perplexisaurus	266.5072548678679	259.9214162742743
Phocosaurus	263.09408499199196	259.94466012012015
Phreatophasma	271.4457426916917	270.70765065665665
Phthinosaurus	271.75867202802806	264.63289439339337
Placerias	235.20562872772774	209.03919916416416
Planitorostris	240.4100094094094	240.253876005005
Platycraniellus	251.3070787817818	248.01522678478477
Platycyclops	257.5758296116116	257.3945065185185
Platypodosaurus	260.1006413103103	254.1357085075075
Polonodon	232.14557764164164	231.47087522922922
Polycynodon	256.8183807987988	256.6268335395395
Porosteognathus	265.56580403303303	261.2023814064064
Pravoslavlevia	260.6530181931932	260.2129511331331
Pristerodon	263.4643531751752	254.0553767167167
Pristerognathoides	264.273405995996	258.77076913013013
Pristerognathus	264.1053096876877	259.79633087387384
Pristerosaurus	261.5702698278278	260.86965893093094
Probainognathus	241.28206075575577	229.83931024724725
Proburnetia	262.19604244244243	261.65294235635633
Procynosuchus	263.13262735735736	249.2137217087087
Prodicynodon	259.9153043053053	253.7838103093093
Progalesaurus	251.58311677277277	251.46155703503504
Promoschorhynchus	261.0057529039039	253.2292207177177
Protheriodon	240.2011007097097	239.98908103803802
Protuberum	241.57709115115114	236.76538335635635
Prozostrodon	231.44325553553554	214.14626813213212
Pseudotherium	233.33933973373374	231.96016316416416
Pseudotriconodon	222.29366203403404	199.39709762162164
Ptomalestes	263.8039433043043	260.2143855895896
Purlovia	261.3627847997998	257.0654428448448
Putillosaurus	248.63397698398398	248.5541566986987
Pyozia	268.72615356356357	268.0669184574574
Rabidosaurus	246.0910257017017	242.5373667317317
Raranimus	269.97446365465464	269.3217841351351
Rastodon	263.98525667667667	263.4654607067067
Rechnisaurus	246.3821154964965	241.8772256296296
Redondagnathus	217.51998454354356	217.0321045115115
Regisaurus	251.09528867767767	248.02906622322323
Reiszia	272.9015125345345	268.0025651671672
Repelinosaurus	248.79792114114116	248.71116486586584
Rewaconodon	235.9398888858859	215.38465817417418
Rhachiocephalus	259.9103039059059	253.63511749049047
Rhadiodromus	246.40774915615617	242.74631252652654
Rhinodicynodon	244.35946495795798	244.0904636126126
Rhopalodon	267.592319955956	263.43775405005005
Riebeeckosaurus	262.3954145505505	261.82057131331334
Riograndia	227.4683791751752	208.8440623963964
Riojanodon	239.57223505405406	239.37195065865865
Robertia	264.2812671181181	258.69421313313313
Rosieria	206.57908245645646	203.69298163963964
Ruberodon	231.97947941241242	230.78527204304305
Rubidgea	260.3269908768769	252.03172942442444
Ruhuhucerberus	258.6912061751752	254.9646326016016
Ruthenosaurus	282.79430876976977	282.47916465465465
Sangusaurus	246.40715052752753	235.7942207057057
Santacruzgnathus	231.89904164564564	230.60599805105105
Santacruzodon	236.01162931731733	227.35059887687686
Santagnathus	227.3646861211211	208.49365028328327
Sauroctonus	264.00443236136135	255.91532604104106
Sauroscaptor	259.07639906406405	254.75515431631632
Scalenodon	246.8906973793794	236.4111561931932
Scalopocephalus	256.90236887387385	256.7236122292292
Scalopodontes	262.42771995996	261.942171035035
Scalopognathus	251.6360196056056	251.5279512852853
Scaloporhinus	254.67206383483483	254.51621571271272
Scaloposaurus	260.520102005005	247.11124285185184
Scaloposuchus	256.7946721881882	256.6009036136136
Scylacoides	257.7485541341341	257.4314603763764
Scylacops	260.4960499229229	253.86968763463466
Scylacosaurus	263.870327998999	255.04037843243242
Scylacosuchus	262.7770387557557	262.36274745345344
Scymnosaurus	263.94957394394396	259.8056260860861
Secodontosaurus	290.5808101971972	276.0275305305305
Sesamondontoides	244.26536256456455	244.02695856456455
Shaanbeikannemeyeria	245.16913853953955	242.51882432832832
Shansiodon	246.68333291191192	241.87433418718717
Shiguaignathus	255.77532525025026	255.64119115115116
Silphedosuchus	248.17499238338337	248.0952853083083
Silphoictidoides	257.5369675145145	255.36101633533534
Sinoconodon	206.07145765865866	205.56566513813814
Sinognathus	244.88885477377377	244.60505593993992
Sinokannemeyeria	246.43241114314313	240.8340069219219
Sinophoneus	272.77043197998	267.63384978378383
Sintocephalus	257.9405377657658	257.74705463763763
Siriusgnathus	235.49091167267267	208.03134987887887
Sludica	264.0256788428428	259.9360280680681
Smilesaurus	261.17014496997	253.98340187187188
Sphenacodon	299.1474221031031	285.33566584884886
Stahleckeria	245.0728851171171	234.00198091991993
Stereophallodon	293.20969418318316	292.68703413413414
Struthiocephaloides	263.07977885185187	260.40701807707705
Struthiocephalus	264.2910316566566	259.690551996997
Styracocephalus	262.9038554964965	260.50345570070067
Suchogorgon	263.5853035145145	259.8662692052052
Suminia	264.1877622412412	259.56669684984985
Sungeodon	248.39302876476478	248.3121093823824
Sycosaurus	260.5774709029029	254.08206487887887
Syodon	275.9818683993994	259.7257716256256
Syops	259.3502050960961	254.53414106906905
Sysphinctostoma	244.75573431831833	242.57081370870873
Tambacarnifex	286.3226587487488	285.9069424654655
Tamboeria	261.9506941121121	261.16536503403404
Taoheodon	254.59461962862864	254.46908366666668
Tapinocaninus	265.6633064884885	265.2319163133133
Tapinocephalus	263.6802571141141	260.4153795245245
Taurocephalus	261.82820485985985	261.09749078278276
Tessellatia	218.10315503503503	217.25358653953955
Tetraceratops	279.4522252862863	279.1460078078078
Tetracynodon	261.12126981681683	247.2708258098098
Tetragonias	245.91257528128128	243.64339795595595
Theriognathus	259.91748862562565	243.7666048998999
Therioides	262.5887812972973	261.7603147847848
Theroteinus	204.70746175075075	204.25656468368368
Thliptosaurus	256.03564524124124	255.86694147147148
Thomasia	208.50543154554555	201.4857414964965
Thrinaxodon	251.91089556356354	246.70875033933936
Tigrisuchus	258.3123871761762	255.93032516916918
Tikitherium	233.45853847547548	232.15255344944944
Titanogomphodon	241.89478147447448	241.70308821321322
Titanophoneus	267.1342285685686	260.23364693993994
Titanosuchus	264.18424123723725	259.58018893493494
Traversodon	241.5725358928929	237.6419085055055
Traversodontoides	245.0012745945946	244.7177817757758
Trichasaurus	277.95773782882884	277.5516643903904
Tricuspes	216.11701363463465	201.4067102972973
Trirachodon	246.7595778998999	238.41168154254254
Trochorhinus	262.6180333533533	261.72213046046045
Trochosaurus	263.76429325725724	260.40498607207206
Trochosuchus	261.97679269569574	261.38423905505505
Tropidostoma	263.31746315715714	254.06389702102103
Trucidocynodon	234.9778807107107	212.2835851811812
Turfanodon	259.5879484024024	251.76190292692692
Ufudocyclops	246.038699016016	238.36413178078078
Ulemica	267.15202645645644	259.9973784514515
Ulemosaurus	266.7458219109109	260.1058667577578
Uniserium	204.78337344744745	204.33495223123123
Uralocynodon	259.76068189189186	259.4175738818819
Uralokannemeyeria	246.1147044134134	242.8164150810811
Urumchia	251.5550655075075	251.44769981481483
Ustia	262.7244444344344	262.28614194294295
Varanodon	269.76206821221217	269.33043162562564
Varanops	289.9887092832833	275.3814792242242
Varanosaurus	290.1942107907908	274.36440024024023
Vaughnictis	295.17029852552554	289.76716446746747
Venyukovia	265.7262483983984	265.31909846646647
Vetusodon	255.81356225825826	255.62932548548548
Viatkogorgon	262.9281966156156	260.4316846796797
Viatkosuchus	263.0870031781782	261.21085751951955
Vinceria	245.45788052652654	242.550190002002
Vivaxosaurus	265.2147738558558	256.4602094964965
Wadiasaurus	244.1051794884885	243.8735515145145
Walteria	261.7619135995996	261.0669560950951
Watongia	268.10123076076076	267.6705865735736
Woutersia	207.67703032332332	203.28916620720722
Woznikella	234.63045347047046	229.0449354064064
Xiyukannemeyeria	246.3211914204204	237.08053184284284
Yikezhaogia	245.41573726026024	245.14938857057058
Zambiasaurus	244.9031731961962	244.70160334734734
