Species	Status
Abajudon	extinct
Abdalodon	extinct
Aelurognathus	extinct
Aelurosaurus	extinct
Aelurosuchus	extinct
Akidnognathus	extinct
Aleodon	extinct
Alepognathus	extinct
Alopecideops	extinct
Alopecodon	extinct
Alopecognathus	extinct
Alopecorhinus	extinct
Aloposaurus	extinct
Alrausuchus	extinct
Andescynodon	extinct
Angelosaurus	extinct
Angonisaurus	extinct
Annatherapsidus	extinct
Anningia	extinct
Anomocephalus	extinct
Antecosuchus	extinct
Anteosaurus	extinct
Archaeosyodon	extinct
Arctognathus	extinct
Arctops	extinct
Aulacephalodon	extinct
Aulacocephalus	extinct
Australobarbarus	extinct
Australosyodon	extinct
Avenantia	extinct
Basilodon	extinct
Bauria	extinct
Beishanodon	extinct
Biarmosuchoides	extinct
Biarmosuchus	extinct
Biseridens	extinct
Blattoidealestes	extinct
Bolotridon	extinct
Bonacynodon	extinct
Brachyprosopus	extinct
Bulbasaurus	extinct
Bullacephalus	extinct
Burnetia	extinct
Candelariodon	extinct
Caodeyao	extinct
Cerdorhinus	extinct
Cerdosuchus	extinct
Charassognathus	extinct
Chiniquodon	extinct
Choerosaurus	extinct
Chthomaloporus	extinct
Chthonosaurus	extinct
Cistecephaloides	extinct
Cistecephalus	extinct
Cistecynodon	extinct
Clelandina	extinct
Colobodectes	extinct
Compsodon	extinct
Cotylorhynchus	extinct
Counillonia	extinct
Cricodon	extinct
Criocephalosaurus	extinct
Cromptodon	extinct
Cryptocynodon	extinct
Cynariognathus	extinct
Cyniscops	extinct
Cynognathus	extinct
Cynosaurus	extinct
Cyonosaurus	extinct
Dalongkoua	extinct
Daptocephalus	extinct
Daqingshanodon	extinct
Davletkulia	extinct
Delectosaurus	extinct
Delphinognathus	extinct
Deuterosaurus	extinct
Diademodon	extinct
Dicynodon	extinct
Dicynodontipus	extinct
Dicynodontoides	extinct
Digalodon	extinct
Diictodon	extinct
Diictodontoides	extinct
Dinanomodon	extinct
Dinodontosaurus	extinct
Dinogorgon	extinct
Dinosaurus	extinct
Dolichuranus	extinct
Dolomitipes	extinct
Dvinia	extinct
Elephantosaurus	extinct
Elliotsmithia	extinct
Elph	extinct
Emydochampsa	extinct
Emydops	extinct
Emydorhinus	extinct
Emydorhynchus	extinct
Emyduranus	extinct
Endothiodon	extinct
Ennatosaurus	extinct
Eodicynodon	extinct
Eosimops	extinct
Ericiolacerta	extinct
Eriphostoma	extinct
Estemmenosuchus	extinct
Etjoia	extinct
Euchambersia	extinct
Euptychognathus	extinct
Exaeretodon	extinct
Galechirus	extinct
Galeops	extinct
Galepus	extinct
Galesaurus	extinct
Geikia	extinct
Glanosuchus	extinct
Gordonia	extinct
Gorgonops	extinct
Gorochovetzia	extinct
Gorynychus	extinct
Hazhenia	extinct
Heleosaurus	extinct
Herpetoskylax	extinct
Hipposaurus	extinct
Hofmeyria	extinct
Homodontosaurus	extinct
Hwanghocynodon	extinct
Hyaenasuchus	extinct
Ichibengops	extinct
Icticephalus	extinct
Ictidochampsa	extinct
Ictidognathus	extinct
Ictidorhinus	extinct
Ictidosaurus	extinct
Ictidosuchops	extinct
Ictidosuchus	extinct
Idelesaurus	extinct
Impidens	extinct
Inostrancevia	extinct
Interpresosaurus	extinct
Isengops	extinct
Jachaleria	extinct
Jimusaria	extinct
Jiufengia	extinct
Jonkeria	extinct
Julognathus	extinct
Kamagorgon	extinct
Kannemeyeria	extinct
Karenites	extinct
Katumbia	extinct
Kawingasaurus	extinct
Kembawacela	extinct
Keratocephalus	extinct
Keyseria	extinct
Kitchinganomodon	extinct
Kombuisia	extinct
Kotelcephalon	extinct
Kunpania	extinct
Kwazulusaurus	extinct
Lalieudorhynchus	extinct
Langbergia	extinct
Lanthanostegus	extinct
Lemurosaurus	extinct
Lende	extinct
Leogorgon	extinct
Leontosaurus	extinct
Leucocephalus	extinct
Lobalopex	extinct
Lophorhinus	extinct
Luangwa	extinct
Lumkuia	extinct
Lycaenodon	extinct
Lycaenops	extinct
Lycedops	extinct
Lycideops	extinct
Lycosaurus	extinct
Lycosuchus	extinct
Lystrosaurus	extinct
Malasaurus	extinct
Mandagomphodon	extinct
Massetognathus	extinct
Megawhaitsia	extinct
Mesenosaurus	extinct
Microgomphodon	extinct
Microhelodon	extinct
Microsyodon	extinct
Microurania	extinct
Microvaranops	extinct
Microwhaitsia	extinct
Mirotenthes	extinct
Molybdopygus	extinct
Mormosaurus	extinct
Moschops	extinct
Moschorhinus	extinct
Moschowhaitsia	extinct
Muchia	extinct
Mupashi	extinct
Myosauroides	extinct
Myosaurus	extinct
Nanictidops	extinct
Nanictocephalus	extinct
Nanictosaurus	extinct
Nanocynodon	extinct
Nanogomphodon	extinct
Niaftasuchus	extinct
Niassodon	extinct
Nikkasaurus	extinct
Niuksenitia	extinct
Nochnitsa	extinct
Notaelurodon	extinct
Nothogomphodon	extinct
Notictoides	extinct
Notosyodon	extinct
Nshimbodon	extinct
Nythosaurus	extinct
Odontocyclops	extinct
Olivierosuchus	extinct
Ophidostoma	extinct
Ordosiodon	extinct
Otsheria	extinct
Oudenodon	extinct
Pachydectes	extinct
Palemydops	extinct
Pampaphoneus	extinct
Panchetocynodon	extinct
Parabradysaurus	extinct
Paraburnetia	extinct
Paragalerhinus	extinct
Parakannemeyeria	extinct
Parasuminia	extinct
Paratraversodon	extinct
Pardosuchus	extinct
Patranomodon	extinct
Pelanomodon	extinct
Pelictosuchus	extinct
Peramodon	extinct
Perplexisaurus	extinct
Phocosaurus	extinct
Phreatophasma	extinct
Phthinosaurus	extinct
Planitorostris	extinct
Platycraniellus	extinct
Platycyclops	extinct
Platypodosaurus	extinct
Polycynodon	extinct
Porosteognathus	extinct
Pravoslavlevia	extinct
Pristerodon	extinct
Pristerognathoides	extinct
Pristerognathus	extinct
Pristerosaurus	extinct
Probainognathus	extinct
Proburnetia	extinct
Procynosuchus	extinct
Prodicynodon	extinct
Progalesaurus	extinct
Promoschorhynchus	extinct
Protheriodon	extinct
Protuberum	extinct
Ptomalestes	extinct
Purlovia	extinct
Putillosaurus	extinct
Pyozia	extinct
Rabidosaurus	extinct
Raranimus	extinct
Rastodon	extinct
Rechnisaurus	extinct
Regisaurus	extinct
Reiszia	extinct
Repelinosaurus	extinct
Rhachiocephalus	extinct
Rhadiodromus	extinct
