taxon1	taxon2	rank
Barasaurus	Parasaurus	2
Macrocnemus	Microcnemus	2
Marasuchus	Parasuchus	2
Marasuchus	Yarasuchus	2
Parasaurus	Pareiasaurus	2
Parasuchus	Pareiasuchus	2
Parasuchus	Yarasuchus	2
Procerosuchus	Proterosuchus	2
Amotosaurus	Lotosaurus	3
Blomosaurus	Lotosaurus	3
Lanthaniscus	Lanthanosuchus	3
Lasasaurus	Nyasasaurus	3
Mandasuchus	Marasuchus	3
Parasuchus	Parvosuchus	3
Prosaurosphargis	Sinosaurosphargis	3
Ammorhynchus	Cartorhynchus	4
Barasaurus	Eorasaurus	4
Barasaurus	Lasasaurus	4
Barasaurus	Pareiasaurus	4
Chasmatosuchus	Sarmatosuchus	4
Dorosuchus	Litorosuchus	4
Eohupehsuchus	Hupehsuchus	4
Eorasaurus	Hovasaurus	4
Eorasaurus	Moradisaurus	4
Eorasaurus	Parasaurus	4
Erythrosuchus	Scythosuchus	4
Eunotosaurus	Lotosaurus	4
Eusaurosphargis	Prosaurosphargis	4
Lasasaurus	Parasaurus	4
Mandasuchus	Nundasuchus	4
Marasuchus	Pareiasuchus	4
Mesosuchus	Prestosuchus	4
Millerosaurus	Sclerosaurus	4
Noteosuchus	Proterosuchus	4
Pareiasuchus	Yarasuchus	4
Saurodektes	Saurorictus	4
Thelephon	Thelerpeton	4
Acrodenta	Saurodektes	5
Adelosaurus	Eifelosaurus	5
Ammorhynchus	Elorhynchus	5
Amotosaurus	Eunotosaurus	5
Asilisaurus	Wapitisaurus	5
Baisesaurus	Barasaurus	5
Baisesaurus	Cosesaurus	5
Baisesaurus	Lasasaurus	5
Barasaurus	Bradysaurus	5
Barasaurus	Nyasasaurus	5
Barasaurus	Tangasaurus	5
Bradysaurus	Moradisaurus	5
Candelaria	Pamelaria	5
Dongusuchus	Dorosuchus	5
Dongusuchus	Fugusuchus	5
Dorosuchus	Noteosuchus	5
Dorosuchus	Parvosuchus	5
Eohyosaurus	Eorasaurus	5
Eohyosaurus	Lotosaurus	5
Eorasaurus	Kenyasaurus	5
Erythrosuchus	Proterosuchus	5
Eunotosaurus	Pintosaurus	5
Feralisaurus	Moradisaurus	5
Feralisaurus	Teratosaurus	5
Feralisaurus	Uralosaurus	5
Fugusuchus	Youngosuchus	5
Gualosuchus	Kalisuchus	5
Hupehsuchus	Luperosuchus	5
Jaxtasuchus	Marasuchus	5
Jaxtasuchus	Parasuchus	5
Jaxtasuchus	Yarasuchus	5
Lasasaurus	Tangasaurus	5
Litorosuchus	Luperosuchus	5
Lotosaurus	Pintosaurus	5
Lotosaurus	Scutosaurus	5
Mandasuchus	Parasuchus	5
Mandasuchus	Yarasuchus	5
Marasuchus	Parvosuchus	5
Nyasasaurus	Parasaurus	5
Parasaurus	Tangasaurus	5
Pareiasaurus	Pareiasuchus	5
Pareiasuchus	Parvosuchus	5
Parvosuchus	Yarasuchus	5
Protorosaurus	Provelosaurus	5
Qianosuchus	Ticinosuchus	5
Rhipaeosaurus	Thadeosaurus	5
Santaisaurus	Tangasaurus	5
Sclerosaurus	Scutosaurus	5
Teratosaurus	Uralosaurus	5
Adelosaurus	Amotosaurus	6
Adelosaurus	Archosaurus	6
Adelosaurus	Asilisaurus	6
Adelosaurus	Uralosaurus	6
Amotosaurus	Archosaurus	6
Amotosaurus	Blomosaurus	6
Amotosaurus	Pintosaurus	6
Amotosaurus	Scutosaurus	6
Anthodon	Zanclodon	6
Archosaurus	Uralosaurus	6
Bradysaurus	Uralosaurus	6
Dongusuchus	Youngosuchus	6
Garjainia	Tarjadia	6
Gualosuchus	Qianosuchus	6
Gualosuchus	Youngosuchus	6
Jaxtasuchus	Mandasuchus	6
Kahneria	Kinelia	6
Kenyasaurus	Tangasaurus	6
Milleretta	Milleropsis	6
Nundasuchus	Youngosuchus	6
Pamelaria	Pamelina	6
Pintosaurus	Scutosaurus	6
Youngetta	Youngina	6
