id,Rotated Lat,Rotated Lon,genus,locality
2121,-1.1855,-37.6892,Trimerorhachis,Texas
2120,-1.1855,-37.6892,Eryops,Texas
2119,-1.1855,-37.6892,Acheloma,Texas
2118,-1.1855,-37.6892,Eryops,Texas
2117,-1.1855,-37.6892,Dissorophus,Texas
2116,-1.1855,-37.6892,Trimerorhachis,Texas
2115,-1.1855,-37.6892,Eryops,Texas
2114,-1.1855,-37.6892,Trimerorhachis,Texas
2113,-1.1855,-37.6892,Trimerorhachis,Texas
2112,1.0593,-36.5887,Zatrachys,Texas
2111,-1.1855,-37.6892,Eryops,Texas
2110,-2.9673,-38.9083,Eryops,Texas
2109,-2.9673,-38.9083,Trimerorhachis,Texas
2108,1.0593,-36.5887,Anisodexis,Texas
2107,1.0593,-36.5887,Acheloma,Texas
2106,1.0593,-36.5887,Isodectes,Texas
2105,-0.5219,-37.7808,Zatrachys,Oklahoma
2104,5.7584,20.0193,Apateon,Sardinia
2103,5.7584,20.0193,Apateon,Sardinia
2102,5.7584,20.0193,Apateon,Sardinia
2101,-1.2905,-22.1478,Eryops,Pennsylvania
2100,43.5776,31.6825,Volgosuchus,Ivanovo
2099,43.5776,31.6825,Thoosuchus,Ivanovo
1849,47.012,29.6875,Benthosuchus,Volgograd
1850,47.012,29.6875,Benthosuchus,Volgograd
1851,47.012,29.6875,Benthosuchus,Volgograd
1852,47.012,29.6875,Benthosuchus,Volgograd
1853,47.012,29.6875,Benthosuchus,Volgograd
1854,47.012,29.6875,Benthosuchus,Volgograd
1855,47.012,29.6875,Benthosuchus,Volgograd
1856,47.012,29.6875,Benthosuchus,Volgograd
1857,47.012,29.6875,Benthosuchus,Volgograd
1858,47.012,29.6875,Benthosuchus,Volgograd
1859,47.012,29.6875,Benthosuchus,Volgograd
1860,47.012,29.6875,Benthosuchus,Volgograd
1861,47.012,29.6875,Benthosuchus,Volgograd
1862,47.012,29.6875,Benthosuchus,Volgograd
1863,47.012,29.6875,Benthosuchus,Volgograd
1864,47.012,29.6875,Benthosuchus,Volgograd
1865,47.012,29.6875,Benthosuchus,Volgograd
1866,47.012,29.6875,Benthosuchus,Volgograd
1867,47.012,29.6875,Benthosuchus,Volgograd
1868,47.012,29.6875,Benthosuchus,Volgograd
1869,47.012,29.6875,Benthosuchus,Volgograd
1870,47.012,29.6875,Benthosuchus,Volgograd
