,id,genus,county,state,occurrence_no,age_max,age_min,cc
199,1899,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
200,1900,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
201,1901,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
202,1902,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
203,1903,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
204,1904,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
205,1905,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
206,1906,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
207,1907,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
208,1908,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
209,1909,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
210,1910,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
211,1911,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
212,1912,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
213,1913,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
214,1914,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
215,1915,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
216,1916,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
217,1917,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
218,1918,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
219,1919,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
220,1920,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
221,1921,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
222,1922,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
223,1923,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
224,1924,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
225,1925,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
226,1926,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
227,1927,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
228,1928,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
229,1929,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
230,1930,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
231,1931,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
232,1932,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
233,1933,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
234,1934,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
235,1935,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
236,1936,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
237,1937,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
238,1938,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
239,1939,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
240,1940,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
241,1941,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
242,1942,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
243,1943,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
244,1944,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
245,1945,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
246,1946,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
247,1947,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
248,1948,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
249,1949,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
250,1950,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
251,1951,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
252,1952,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
253,1953,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
254,1954,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
255,1955,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
256,1956,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
257,1957,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
258,1958,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
259,1959,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
260,1960,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
261,1961,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
262,1962,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
263,1963,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
264,1964,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
265,1965,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
266,1966,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
267,1967,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
268,1968,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
269,1969,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
270,1970,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
271,1971,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
272,1972,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
273,1973,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
274,1974,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
275,1975,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
276,1976,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
277,1977,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
278,1978,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
279,1979,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
280,1980,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
281,1981,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
282,1982,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
283,1983,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
284,1984,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
285,1985,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
286,1986,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
287,1987,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
288,1988,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
289,1989,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
290,1990,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
291,1991,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
292,1992,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
293,1993,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
294,1994,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
295,1995,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
296,1996,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
297,1997,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
298,1998,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
299,1999,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
300,2000,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
301,2001,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
302,2002,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
303,2003,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
304,2004,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
305,2005,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
306,2006,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
307,2007,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
308,2008,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
309,2009,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
310,2010,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
311,2011,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
312,2012,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
313,2013,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
314,2014,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
315,2015,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
316,2016,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
317,2017,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
318,2018,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
319,2019,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
320,2020,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
321,2021,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
322,2022,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
323,2023,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
324,2024,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
325,2025,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
326,2026,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
327,2027,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
328,2028,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
329,2029,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
330,2030,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
331,2031,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
332,2032,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
333,2033,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
334,2034,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
335,2035,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
336,2036,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
337,2037,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
338,2038,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
339,2039,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
340,2040,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
341,2041,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
342,2042,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
343,2043,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
344,2044,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
345,2045,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
346,2046,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
347,2047,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
348,2048,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
349,2049,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
350,2050,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
351,2051,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
352,2052,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
353,2053,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
354,2054,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
355,2055,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
356,2056,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
357,2057,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
358,2058,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
359,2059,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
360,2060,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
361,2061,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
362,2062,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
363,2063,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
364,2064,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
365,2065,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
366,2066,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
367,2067,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
368,2068,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
369,2069,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
370,2070,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
371,2071,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
372,2072,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
373,2073,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
374,2074,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
375,2075,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
376,2076,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
377,2077,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
378,2078,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
379,2079,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
380,2080,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
381,2081,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
382,2082,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
383,2083,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
384,2084,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
385,2085,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
386,2086,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
387,2087,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
388,2088,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
389,2089,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
390,2090,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
391,2091,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
392,2092,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
393,2093,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
394,2094,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
395,2095,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
396,2096,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
397,2097,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
398,2098,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU
459,1782,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
460,1783,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
461,1784,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
462,1785,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
463,1786,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
464,1787,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
465,1788,Cacops,Comanche,Oklahoma,629466,290.1,283.5,US
468,1778,Acheloma,Comanche,Oklahoma,629488,290.1,283.5,US
469,1779,Acheloma,Comanche,Oklahoma,629488,290.1,283.5,US
475,1764,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
476,1765,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
477,1766,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
478,1767,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
479,1768,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
480,1769,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
481,1770,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
482,1771,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
483,1772,Anaschisma,Crosby,Texas,667875,237.0,208.5,US
563,1683,Pasawioops,Comanche,Oklahoma,825243,290.1,283.5,US
564,1684,Pasawioops,Comanche,Oklahoma,825243,290.1,283.5,US
568,1678,Anaschisma,Fremont,Wyoming,829815,237.0,227.0,US
569,1679,Anaschisma,Fremont,Wyoming,829815,237.0,227.0,US
570,1675,Anaschisma,Fremont,Wyoming,829817,237.0,227.0,US
571,1676,Anaschisma,Fremont,Wyoming,829817,237.0,227.0,US
572,1677,Anaschisma,Fremont,Wyoming,829817,237.0,227.0,US
605,1636,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
606,1637,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
607,1638,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
608,1639,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
609,1640,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
610,1641,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
611,1642,Anaschisma,Navajo,Arizona,838888,227.0,208.5,US
615,1629,Anaschisma,Apache,Arizona,838931,227.0,208.5,US
616,1630,Anaschisma,Apache,Arizona,838931,227.0,208.5,US
617,1631,Anaschisma,Apache,Arizona,838931,227.0,208.5,US
618,1632,Anaschisma,Apache,Arizona,838931,227.0,208.5,US
642,1600,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
643,1601,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
644,1602,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
645,1603,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
646,1604,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
647,1605,Anaschisma,Apache,Arizona,841832,227.0,208.5,US
648,1596,Anaschisma,Apache,Arizona,841835,227.0,208.5,US
649,1597,Anaschisma,Apache,Arizona,841835,227.0,208.5,US
650,1598,Anaschisma,Apache,Arizona,841835,227.0,208.5,US
651,1599,Anaschisma,Apache,Arizona,841835,227.0,208.5,US
765,1481,Mastodonsaurus,Ludwigsburg,Baden-WÃ¼rttemberg,929802,239.7,237.0,DE
766,1482,Mastodonsaurus,Ludwigsburg,Baden-WÃ¼rttemberg,929802,239.7,237.0,DE
775,1471,Hyperokynodon,Heilbronn,Baden-WÃ¼rttemberg,930389,237.0,227.0,DE
776,1472,Hyperokynodon,Heilbronn,Baden-WÃ¼rttemberg,930389,237.0,227.0,DE
777,1449,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
778,1450,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
779,1451,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
780,1452,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
781,1453,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
782,1454,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
783,1455,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
784,1456,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
785,1457,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
786,1458,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
787,1459,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
788,1460,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
789,1461,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
790,1462,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
791,1463,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
792,1464,Cyclotosaurus,Stuttgart,Baden-WÃ¼rttemberg,930391,237.0,227.0,DE
