genus	rotated_lat_scaled
Acanthostomatops	0.13
Acerastea	-2.29
Acheloma	-0.4666666666666667
Acroplous	-0.31
Actinodon	-0.095
Actiobates	-0.43
Adamanterpeton	-0.46
Almasaurus	-0.26
Amphibamus	-0.33
Anakamacops	0.92
Anaschisma	-0.3664406779661017
Anconastes	-0.28
Angusaurus	1.1325
Anisodexis	-0.41
Anthichnium	1.11
Anthracobamus	-0.11
Apachesaurus	-0.3954545454545455
Apateon	0.05642592592592592
Aphaneramma_Temperate_N	1.1607692307692308
Aphaneramma_Temperate_S	-1.62
Arachana	-2.22
Archegosaurus	0.06625
Arenaerpeton	-2.57
Aspidosaurus_Temperate_N	0.92
Aspidosaurus_Tropical_N	-0.354
Aspidosaurus_Tropical_S	-0.5033333333333333
Astreptorhachis	-0.46
Australerpeton	-1.9849999999999999
Bageherpeton	-2.24
Banksiops	-2.87
Bashkirosaurus	0.99
Bathignathus	-2.5
Batrachosuchoides_Temperate_N	1.1412499999999999
Batrachosuchus_Temperate_S	-2.22
Benthosphenus	0.9
Benthosuchus	1.166448275862069
Bermanerpeton	-0.36
Boreopelta	2.11
Bothriceps	-2.87
Brachyops	-1.86
Branchierpeton	0.10166666666666667
Branchiosaurus	-0.06142857142857143
Brevidorsum	-0.54
Broiliellus	-0.47285714285714286
Broomistega	-2.53
Bukobaja	1.29
Bulgosuchus	-2.57
Cacops	-0.46249999999999997
Calamops	-0.21
Callistomordax	0.51
Calmasuchus	0.15
Capetus	0.11
Capitosauroides	0.48
Capulomala	-2.2075
Cheliderpeton	0.10800000000000001
Chelydosaurus	0.17
Chenoprosopus	-0.3725
Cherninia	-1.9
Chinlestegophis	-0.23
Chomatobatrachus	-2.8699999999999997
Clamorosaurus	1.0633333333333335
Cochleosaurus	0.11
Collidosuchus	1.1
Compsocerops_Temperate_S	-1.9233333333333336
Conjunctio	-0.375
Cosgriffius	-0.07
Cyclotosaurus_Temperate_N	0.6063636363636363
Cyclotosaurus_Tropical_N	0.36
Czatkobatrachus	0.57
Dasyceps	-0.09333333333333332
Dawsonerpeton	0.11
Deltacephalus	-1.72
Deltasaurus_Antarctic	-2.8699999999999997
Deltasaurus_Temperate_S	-1.875
Derwentia	-2.87
Dissorophus	-0.4425
Doleserpeton	-0.47
Dutuitosaurus	-0.26
Dvinosaurus	1.0520833333333333
Ecolsonia	-0.36000000000000004
Edingerella	-1.72
Edops	-0.49375
Eimerisaurus	0.02
Eocyclotosaurus	0.11285714285714286
Eodiscoglossus	-1.5
Eolydekkerina	-2.53
Eoscopus	-0.38
Erpetosaurus	-0.46
Eryops	-0.44160919540229887
Eryosuchus_Temperate_N	1.214
Eryosuchus_Temperate_S	-1.81
Erythrobatrachus	-1.83
