Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Texas,2156,Eryops,290.1,283.5,-2.9808,-38.7628,1
Texas,2155,Zatrachys,290.1,283.5,-2.9808,-38.7628,1
Texas,2154,Trimerorhachis,290.1,283.5,-2.9808,-38.7628,1
Texas,2153,Eryops,290.1,283.5,-2.9808,-38.7628,1
Texas,2152,Aspidosaurus,290.1,283.5,-2.9808,-38.7628,1
Texas,2151,Trimerorhachis,290.1,283.5,-2.9808,-38.7628,1
Texas,2150,Eryops,290.1,283.5,-0.73,-37.6741,1
Texas,2149,Trimerorhachis,290.1,283.5,-0.73,-37.6741,1
Texas,2148,Eryops,290.1,283.5,-2.9808,-38.7628,1
Texas,2147,Eryops,290.1,283.5,-0.73,-37.6741,1
Texas,2146,Eryops,290.1,273.01,-0.73,-37.6741,1
Texas,2145,Trimerorhachis,290.1,273.01,-0.73,-37.6741,1
Texas,2144,Broiliellus,290.1,273.01,-2.9808,-38.7628,1
Texas,2143,Eryops,290.1,273.01,-2.9808,-38.7628,1
Texas,2142,Broiliellus,290.1,273.01,-2.9808,-38.7628,1
Texas,2141,Trimerorhachis,290.1,273.01,-2.9808,-38.7628,1
Texas,2140,Eryops,283.5,273.01,1.0593,-36.5887,1
Texas,2139,Trimerorhachis,283.5,273.01,1.0593,-36.5887,1
Texas,2138,Eryops,290.1,273.01,-0.73,-37.6741,1
Texas,2137,Eryops,290.1,273.01,-0.73,-37.6741,1
Texas,2136,Eryops,290.1,273.01,-0.73,-37.6741,1
Texas,2135,Eryops,283.5,273.01,1.0593,-36.5887,1
Texas,2134,Dissorophus,283.5,273.01,1.0593,-36.5887,1
Texas,2133,Aspidosaurus,283.5,273.01,1.0593,-36.5887,1
Texas,2132,Dasyceps,283.5,273.01,1.0593,-36.5887,1
Texas,2131,Trimerorhachis,283.5,273.01,1.0593,-36.5887,1
Texas,2130,Eryops,283.5,273.01,1.0593,-36.5887,1
Texas,2129,Cacops,283.5,273.01,1.0593,-36.5887,1
Texas,2128,Trimerorhachis,283.5,273.01,1.0593,-36.5887,1
Texas,2127,Isodectes,283.5,273.01,1.0593,-36.5887,1
Texas,2126,Eryops,283.5,273.01,1.0593,-36.5887,1
Texas,2125,Dissorophus,283.5,273.01,1.0593,-36.5887,1
Texas,2124,Dissorophus,283.5,273.01,1.0593,-36.5887,1
Texas,2123,Eryops,283.5,273.01,-1.1855,-37.6892,1
Texas,2122,Zatrachys,283.5,273.01,-1.1855,-37.6892,1
Texas,2121,Trimerorhachis,283.5,273.01,-1.1855,-37.6892,1
Texas,2120,Eryops,283.5,273.01,-1.1855,-37.6892,1
Texas,2119,Acheloma,283.5,273.01,-1.1855,-37.6892,1
Texas,2118,Eryops,283.5,273.01,-1.1855,-37.6892,1
Texas,2117,Dissorophus,283.5,273.01,-1.1855,-37.6892,1
Texas,2116,Trimerorhachis,283.5,273.01,-1.1855,-37.6892,1
Texas,2115,Eryops,283.5,273.01,-1.1855,-37.6892,1
Texas,2114,Trimerorhachis,283.5,273.01,-1.1855,-37.6892,1
Texas,2113,Trimerorhachis,283.5,273.01,-1.1855,-37.6892,1
Texas,2112,Zatrachys,283.5,273.01,1.0593,-36.5887,1
Texas,2111,Eryops,283.5,273.01,-1.1855,-37.6892,1
Texas,2110,Eryops,293.52,283.5,-2.9673,-38.9083,1
Texas,2109,Trimerorhachis,293.52,283.5,-2.9673,-38.9083,1
Texas,2108,Anisodexis,283.5,273.01,1.0593,-36.5887,1
Texas,2107,Acheloma,283.5,273.01,1.0593,-36.5887,1
Texas,2106,Isodectes,283.5,273.01,1.0593,-36.5887,1
Oklahoma,2105,Zatrachys,298.9,286.1,-0.5219,-37.7808,1
Sardinia,2104,Apateon,298.9,251.902,5.7584,20.0193,1
Sardinia,2103,Apateon,298.9,251.902,5.7584,20.0193,1
Sardinia,2102,Apateon,298.9,251.902,5.7584,20.0193,1
Pennsylvania,2101,Eryops,293.52,290.1,-1.2905,-22.1478,1
Ivanovo,2100,Volgosuchus,251.902,247.2,43.5776,31.6825,1
Ivanovo,2099,Thoosuchus,251.902,247.2,43.5776,31.6825,1
Volgograd,1849,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1850,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1851,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1852,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1853,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1854,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1855,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1856,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1857,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1858,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1859,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1860,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1861,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1862,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1863,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1864,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1865,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1866,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1867,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1868,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1869,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1870,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1871,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1872,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1873,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1874,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1875,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1876,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1877,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1878,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1879,Benthosuchus,251.2,247.2,47.012,29.6875,1
