genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Dawazisaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Decuriasuchus,-49.04351,-47.42171,0,0,0,1,0,1.6218000000000004,-0.19179561021333447
Deltavjatia,44.38761,44.38761,0,1,0,0,0,0.0,-0.3179518273738846
Diandongosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Diandongosuchus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Dianmeisaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Dianopachysaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Dinocephalosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Doliovertebra,26.46257,26.46257,0,1,0,0,0,0.0,-0.3179518273738846
Dongusuchus,46.885,48.82432,0,1,0,0,0,1.9393200000000022,-0.1670964351776839
Dorosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.3179518273738846
Eifelosaurus,25.02402,25.02402,0,1,0,0,0,0.0,-0.3179518273738846
Elessaurus,-46.32232,-46.32232,0,0,0,1,0,0.0,-0.3179518273738846
Elginia,27.72345,38.44569,0,1,0,0,0,10.72224,0.5161073894762428
Elorhynchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Embrithosaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3179518273738846
Emeroleter,44.38761,44.38761,0,1,0,0,0,0.0,-0.3179518273738846
Energosuchus,51.56832,51.56832,0,1,0,0,0,0.0,-0.3179518273738846
Eohupehsuchus,15.35236,15.35236,0,0,1,0,0,0.0,-0.3179518273738846
Eohyosaurus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3179518273738846
Eomurruna,-54.016,-52.15324,0,0,0,1,0,1.8627600000000015,-0.17305186740472286
Eorasaurus,43.04599,43.04599,0,1,0,0,0,0.0,-0.3179518273738846
Eretmorhipis,20.78674,20.78674,0,0,1,0,0,0.0,-0.3179518273738846
Erythrosuchus,-63.33496,-61.37537,0,0,0,1,0,1.9595900000000057,-0.1655196769326199
Eumetabolodon,40.04971,42.97892,0,1,0,0,0,2.9292100000000048,-0.09009509234561011
Eunotosaurus,-65.18245,-61.12582,0,0,0,1,0,4.0566300000000055,-0.0023955965069447456
Euparkeria,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3179518273738846
Eusaurosphargis,20.93788,27.06795,0,1,1,0,0,6.13007,0.1588926923753899
Feralisaurus,21.05439,21.05439,0,0,1,0,0,0.0,-0.3179518273738846
Fodonyx,21.05439,21.05439,0,0,1,0,0,0.0,-0.3179518273738846
Fraxinisaura,27.72418,27.72418,0,1,0,0,0,0.0,-0.3179518273738846
Fugusuchus,40.04971,40.04971,0,1,0,0,0,0.0,-0.3179518273738846
Fuyuansaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Galesphyrus,-61.36501,-58.47538,0,0,0,1,0,2.889629999999997,-0.09317393256956842
Gamatavus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Gansurhinus,38.44569,39.6978,0,1,0,0,0,1.2521100000000018,-0.22055297358864806
Garjainia,-60.68525,48.31328,0,1,0,1,0,108.99853,8.160801545952504
Gecatogomphius,41.45729,41.45729,0,1,0,0,0,0.0,-0.3179518273738846
Germanosaurus,29.56131,29.56131,0,1,0,0,0,0.0,-0.3179518273738846
Glaurung,27.6348,27.6348,0,1,0,0,0,0.0,-0.3179518273738846
Glyphoderma,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Gondwanax,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Gracilisuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Grippia,31.61801,48.45778,0,1,0,0,0,16.839769999999998,0.9919764504986747
Gualosuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Guchengosuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.3179518273738846
Guizhouichthyosaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Gulosaurus,31.61801,31.61801,0,1,0,0,0,0.0,-0.3179518273738846
Halazhaisuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.3179518273738846
Hanosaurus,13.32615,13.32615,0,0,1,0,0,0.0,-0.3179518273738846
Helveticosaurus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3179518273738846
Hemilopas,29.45002,29.56131,0,1,0,0,0,0.11129000000000033,-0.3092948256425998
Hescheleria,20.93788,20.93788,0,0,1,0,0,0.0,-0.3179518273738846
Heteropelta,26.0552,26.0552,0,1,0,0,0,0.0,-0.3179518273738846
Hispaniasaurus,10.40624,10.40624,0,0,1,0,0,0.0,-0.3179518273738846
Honghesaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Horaffia,25.88766,27.72418,0,1,0,0,0,1.8365200000000002,-0.17509301868002994
Hovasaurus,-50.09196,-37.33496,0,0,0,1,0,12.756999999999998,0.6743868471341543
Howesia,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3179518273738846
Hupehsuchus,15.35236,20.78674,0,0,1,0,0,5.434380000000003,0.10477651361325968
Hypselorhachis,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Indosauriscus,-42.23717,-42.23717,0,0,0,1,0,0.0,-0.3179518273738846
Isfjordosaurus,47.8035,47.8035,0,1,0,0,0,0.0,-0.3179518273738846
Jaxtasuchus,27.72418,27.72418,0,1,0,0,0,0.0,-0.3179518273738846
Jesairosaurus,-3.863414,-3.863414,0,0,1,0,0,0.0,-0.3179518273738846
Jushatyria,46.885,46.885,0,1,0,0,0,0.0,-0.3179518273738846
Kadimakara,-54.016,-54.016,0,0,0,1,0,0.0,-0.3179518273738846
Kahneria,1.681402,1.681402,0,0,1,0,0,0.0,-0.3179518273738846
Kalisuchus,-54.016,-54.016,0,0,0,1,0,0.0,-0.3179518273738846
Kapes,21.05439,49.80777,0,1,1,0,0,28.753379999999996,1.9187096915432555
Keichousaurus,15.35236,18.78245,0,0,1,0,0,3.4300900000000016,-0.051132750471534434
Kinelia,40.12712,45.40269,0,1,0,0,0,5.275570000000002,0.0924230367065714
Kitchingnathus,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.3179518273738846
Koilamasuchus,-54.97644,-54.97644,0,0,0,1,0,0.0,-0.3179518273738846
Koiloskiosaurus,26.46257,26.46257,0,1,0,0,0,0.0,-0.3179518273738846
Kudnu,-54.016,-54.016,0,0,0,1,0,0.0,-0.3179518273738846
Kwangsisaurus,7.506519,7.506519,0,0,1,0,0,0.0,-0.3179518273738846
Lagerpeton,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Langeronyx,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.22821195813768502
Lanthaniscus,42.68761,42.68761,0,1,0,0,0,0.0,-0.3179518273738846
Lanthanolania,42.68761,42.68761,0,1,0,0,0,0.0,-0.3179518273738846
Lanthanosuchus,40.12712,40.12712,0,1,0,0,0,0.0,-0.3179518273738846
Largocephalosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Lariosaurus,12.57983,27.72418,0,1,1,0,0,15.144350000000001,0.8600934971762307
Lasasaurus,-37.33496,-37.33496,0,0,0,1,0,0.0,-0.3179518273738846
Lewisuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Litorosuchus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Lotosaurus,17.90808,18.30839,0,0,1,0,0,0.4003099999999975,-0.28681260225886457
Luopingosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Luperosuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Macrocnemus,18.78245,25.88766,0,1,1,0,0,7.10521,0.23474666549287587
Macroleter,2.689371,42.68761,0,1,1,0,0,39.998239,2.7934222787573177
Majiashanosaurus,32.10397,32.10397,0,1,0,0,0,0.0,-0.3179518273738846
Malutinisuchus,51.56832,56.83089,0,1,0,0,0,5.262569999999997,0.09141179560218873
Mambawakale,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Mandaphon,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Mandasuchus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Marasuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Marcianosuchus,22.98052,22.98052,0,0,1,0,0,0.0,-0.3179518273738846
Megachirella,24.48539,24.48539,0,1,0,0,0,0.0,-0.3179518273738846
Merriamosaurus,47.8035,47.8035,0,1,0,0,0,0.0,-0.3179518273738846
Mesodapedon,-39.82536,-39.82536,0,0,0,1,0,0.0,-0.3179518273738846
Mesosuchus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3179518273738846
Microcnemus,27.55627,47.7835,0,1,0,0,0,20.227229999999995,1.2554794344564233
Mikadocephalus,20.93788,46.58566,0,1,1,0,0,25.647779999999997,1.6771319704840593
Milleretta,-63.15948,-60.48301,0,0,0,1,0,2.676470000000002,-0.1097551751703467
Millerinoides,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.3179518273738846
Milleropsis,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.13836396389109373
Millerosaurus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.13836396389109373
Mixosaurus,12.57983,20.93788,0,0,1,0,0,8.35805,0.3322023043555123
Moradisaurus,-12.38375,-9.576991,0,0,1,0,0,2.8067589999999996,-0.09962028345889608
Nanchangosaurus,15.35236,20.78674,0,0,1,0,0,5.434380000000003,0.10477651361325968
Nanoparia,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.13836396389109373
Neoprocolophon,40.81749,40.81749,0,1,0,0,0,0.0,-0.3179518273738846
Neusticosaurus,20.93788,29.56131,0,1,1,0,0,8.623429999999999,0.3528456246848171
Nochelesaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3179518273738846
Noteosuchus,-62.64909,-62.64909,0,0,0,1,0,0.0,-0.3179518273738846
Nothosaurus,-12.54747,29.8481,0,1,1,0,0,42.39557,2.9799053286042283
Nundasuchus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Nyasasaurus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Nycteroleter,42.68761,42.68761,0,1,0,0,0,0.0,-0.3179518273738846
Nyctiphruretus,42.68761,43.51609,0,1,0,0,0,0.828479999999999,-0.25350620966937576
Obirkovia,42.45765,43.07523,0,1,0,0,0,0.6175799999999967,-0.26991165189354666
Odoiporosaurus,22.30036,22.30036,0,0,1,0,0,0.0,-0.3179518273738846
Omphalosaurus,17.34627,47.8035,0,1,1,0,0,30.45723,2.051248395828003
Orenburgia,41.16511,57.37442,0,1,0,0,0,16.209310000000002,0.9429343684472257
