Time	map_scaled	mat_scaled	wmmcmm_boxcox_scaled
201.3	-0.2924601853946494	0.8789841085669369	0.0013000327175459697
208.5	0.20147468701307014	0.9737210048816964	-0.007533758619347583
227.0	1.561040899509124	1.3002438804136036	0.1673161746709397
237.0	1.8631824271102173	1.0290320677006595	1.0410282253898235
242.0	-0.6853218197606472	-0.9851092389559007	1.3409008020651123
247.2	-0.4457024073272588	-0.33586836430713574	0.14467497391925715
251.2	-0.01570606007174132	-0.14497814215874014	0.5274055572923168
251.902	0.19183134863207052	0.2880023737375194	-0.5626728307983541
254.14	-0.08562780587594598	-0.17576352300654716	-0.33901765134048384
259.1	-1.838514556869745	-1.7577578548971304	0.5776267510110513
265.1	-1.9482942701861288	-1.93931005477595	1.7549838066351673
268.8	0.7099261738583168	1.499417093270022	-2.2891386517487753
272.95	0.3553488945665653	-0.1091441034110757	-0.31972476760818574
283.5	0.6355313036972415	-0.08067453204821692	-0.5044813864470102
290.1	-0.20670862890047656	-0.4407947150097397	-1.532667277139064
