id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,
6488,1600128,1600128,20.93788,Helveticosaurus,246.7,239.7,Middle Triassic,"(246.7, 239.7)",CH,,Switzerland,Besano,,"Point 902, Monte San Giorgio, unspecified bed",Mirigioli,
6801,1337530,1337530,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 38",,
6802,1337532,1337532,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 37",,
6803,1337536,1337536,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 36",,
6804,1337540,1337540,22.30036,Neusticosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 34",,
6805,1337541,1337541,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 34",,
6806,1337549,1337549,22.30036,Neusticosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 29",,
6807,1337550,1337550,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 29",,
6808,1337557,1337557,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 24",,
6809,1337567,1337567,22.30036,Neusticosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 18",,
6810,1337578,1337578,22.30036,Ceresiosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 9",,
6811,1415286,1415286,22.30036,Neusticosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Cassina,,"Cassina, bed 34",,
6821,1417908,1417908,25.88766,Eusaurosphargis,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Prosanto,,Ducanfurgga 4,,
6830,1648022,1648022,25.88766,Prosantosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",CH,,Switzerland,Prosanto,,Ducanfurgga 4,,
6968,884857,884857,20.93788,Cymbospondylus,246.7,242,Middle Triassic,"(246.7, 242.0)",CH,,Switzerland,Besano,,"Cava Tre Fontane, Tessin collection, Monte San Giorgio",,
6982,1306712,1306712,20.93788,Clarazia,246.7,242,Middle Triassic,"(246.7, 242.0)",CH,,Switzerland,Besano,,"Val Porina, mineraletto or minerale che si divide, Monte San Giorgio",,
6983,1306715,1306715,20.93788,Hescheleria,246.7,242,Middle Triassic,"(246.7, 242.0)",CH,,Switzerland,Besano,,"Val Porina, ""minerale ondolatorio"", Monte San Giorgio",,
6984,1310837,1310837,20.93788,Mixosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",CH,,Switzerland,Besano,,"Bender collection GPIT, Monte San Giorgio indet.",,
4469,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,, Thuringia used based on all occs. Grabfeld is in Thuringia
4470,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4471,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4472,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4473,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4474,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4475,1095300,1095300,26.10174,Henodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,Thuringia,Grabfeld,,Lustnau Gipskeuper near Tübingen,,
4531,1477148,1477148,27.93197,Nothosaurus,237,227,Late Triassic,"(237.0, 227.0)",DE,,,Raibl,,"Lödensee, Ruhpolding",,
4532,1477149,1477149,27.93197,Simosaurus,237,227,Late Triassic,"(237.0, 227.0)",DE,,,Raibl,,"Rauschberg, Ruhpolding",Rauschenberg,
4533,1477150,1477150,27.93197,Placodus,237,227,Late Triassic,"(237.0, 227.0)",DE,,,Raibl,,"Kienberg, Seehaus, Ruhpolding",,
5254,1162208,1162208,41.1313,Termatosaurus,208.5,201.4,Late Triassic,"(208.5, 201.4)",DE,,,,,"Apfelstädtgrundes, southeast of Gotha",,
5660,1415674,1415674,29.61478,Apatopus,233.4,227,Late Triassic,"(233.4, 227.0)",DE,,,Hassberge,,"Schönbachsmühle quarry, near Ebelsbach",,
5974,1058582,1058582,26.46257,Pistosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Quarry at the Bindlacher Berg, near Bayreuth",,
5987,1094708,1094708,29.8481,Cymatosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Röt,,"Rüdersdorf, near Berlin (Buntsandstein)",Rudersdorf,
5991,1094793,1094793,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Rüdersdorf, near Berlin",Rudersdorf,
5992,1094796,1094796,26.46257,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Quarry at the Bindlacher Berg, near Bayreuth",,
5993,1094846,1094846,26.46257,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Quarry at the Bindlacher Berg, near Bayreuth",,
5996,1094853,1094853,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Jena,,"Rüdersdorf, near Berlin (Schaumkalk)",Rudersdorf,
5997,1094856,1094856,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Jena,,"Rüdersdorf, near Berlin (Schaumkalk)",Rudersdorf,
5999,1094869,1094869,28.4265,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,Halle/Saale,,
6007,1094909,1094909,25.02402,Placodus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,Bödigheim,,
6010,1094918,1094918,29.8481,Placodus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Rüdersdorf, near Berlin",Rudersdorf,
6012,1106822,1106822,26.46257,Thecodontosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,,,"Laineck, near Bayreuth, Bavaria (BMNH)",,
6070,1418992,1418992,29.8481,Placodus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Jena,,"Rüdersdorf, near Berlin (Schaumkalk)",Rudersdorf,
6197,1094787,1094787,26.11694,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Zuffenhausen, Stuttgart",Stuttgart-Zuffenhausen,
6202,1094801,1094801,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Wittighausen,,
6203,1094803,1094803,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Oschenberg, near Laineck","Lainecker Berg, Bayreuth",
6212,1094808,1094808,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Heldenmühle, near Crailsheim (SMNS collection)",Heldenmuhle,
6213,1094809,1094809,26.11694,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Gundelsheim,,
6214,1094810,1094810,26.11694,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Helmsheim,,
6215,1094828,1094828,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Großenbehringer, near Gotha",Grossenbehringer,
6217,1094830,1094830,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Kleinromstedt near Weimar,,
6219,1094832,1094832,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Bettenfeld near Rothenburg,,
6228,1094841,1094841,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,spinosus,Rugendorf,,
6229,1094842,1094842,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,spinosus,Forstlahm-Herlas,,
6230,1094843,1094843,26.11694,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Höfingen, near Leonberg",Hofingen,
6231,1094844,1094844,26.11694,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Zuffenhausen, Stuttgart",Stuttgart-Zuffenhausen,
6232,1094845,1094845,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Sattelweiler,,
6236,1094863,1094863,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Erfurt-Drosselberg,"Am Drosselberg, Erfurt",
6237,1094864,1094864,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Tiefthal, Erfurt",,
6238,1094874,1094874,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Oschenberg, near Laineck","Lainecker Berg, Bayreuth",
6240,1094878,1094878,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,spinosus,Weissach,,
