id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
8504,1363619,1363619,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 13, Luangwa Basin",
8505,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8506,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8507,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8508,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8509,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8510,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8511,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8512,1363617,1363617,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L39, Luangwa Basin",
8513,1363616,1363616,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8514,1363615,1363615,-47.78411,Katumbia,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L59, Luangwa Basin",
8515,1363614,1363614,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L55, Luangwa Basin",
8516,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8517,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8518,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8519,1363609,1363609,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L64, Luangwa Basin",
8520,1363608,1363608,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L29, Luangwa Basin",
8521,1363607,1363607,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8522,1363606,1363606,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L52, Luangwa Basin",
8523,1363605,1363605,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8524,1363604,1363604,-47.78411,Compsodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L45, Luangwa Basin",
8525,1359046,1359046,-47.78411,Compsodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L26, Luangwa Basin",
8526,1359044,1359044,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 13, Luangwa Basin",
8527,1359043,1359043,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8528,1359042,1359042,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L48, Luangwa Basin",
8529,1359041,1359041,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L38, Luangwa Basin",
8530,1359041,1359041,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L38, Luangwa Basin",
8531,1359041,1359041,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L38, Luangwa Basin",
8532,1359041,1359041,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L38, Luangwa Basin",
8533,1359040,1359040,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L31, Luangwa Basin",
8534,1359039,1359039,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8535,1359027,1359027,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L52, Luangwa Basin",
8536,1359027,1359027,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L52, Luangwa Basin",
8537,1359026,1359026,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L50, Luangwa Basin",
8538,1359025,1359025,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L7, Luangwa Basin",
8539,1359024,1359024,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L6, Luangwa Basin",
8540,1359023,1359023,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8541,1359023,1359023,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8542,1359023,1359023,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8543,1359023,1359023,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8544,1359023,1359023,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8545,1359022,1359022,-47.78411,Endothiodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L49, Luangwa Basin",
8546,1359021,1359021,-47.78411,Endothiodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L32, Luangwa Basin",
8547,1359017,1359017,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 17, Upper Luangwa Valley",
8548,1359013,1359013,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 10, Upper Luangwa Valley",
8549,1359012,1359012,-47.78411,Dinogorgon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 10, Upper Luangwa Valley",
8550,1359011,1359011,-47.78411,Aelurognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 10, Upper Luangwa Valley",
8552,1359004,1359004,-47.78411,Aelurognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
8553,1359003,1359003,-47.78411,Dinogorgon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
8554,1359001,1359001,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
8555,1358999,1358999,-47.78411,Syops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
8556,1358999,1358999,-47.78411,Syops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
