id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
49,283826,283826,40.08932,Aetosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
50,283826,283826,40.08932,Aetosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
51,283828,283828,40.08932,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
52,283860,283860,40.08932,Issi,227.0,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Malmros Klint,,"Iron Cake site, northern flank of Macknight Bjerg",area V
785,1549937,1549937,-25.48265,Kranosaura,227.0,208.5,Late Triassic,"(227.0, 208.5)",IN,,,Maleri,,Kranosaura type locality,
1280,1561501,1561501,29.81785,Raibliania,237.0,227.0,Late Triassic,"(237.0, 227.0)",IT,,,,Trachyceras aon,"Cave del Predil (Raibl), Fischschiefer",
1810,1382837,1382837,44.03487,Suchonosaurus,264.28,256.8,Guadalupian,"(264.28, 256.8)",RU,,,Salarevskaya,Scutosaurus karpinskii,Salarevo,
1891,604143,604143,45.57481,Plateosaurus,208.5,201.4,Late Triassic,"(208.5, 201.4)",,,,Lunde,,Snorre Field well 34/4-9S,
1892,630027,630027,39.29812,Eudimorphodon,208.5,201.4,Late Triassic,"(208.5, 201.4)",LU,,,,,"Auf dem Heftgen, Syren",SYREN 16561
1943,1162208,1162208,41.1313,Termatosaurus,208.5,201.4,Late Triassic,"(208.5, 201.4)",DE,,,,,"Apfelstädtgrundes, southeast of Gotha",
2174,1415674,1415674,29.61478,Apatopus,233.4,227.0,Late Triassic,"(233.4, 227.0)",DE,,,Hassberge,,"Schönbachsmühle quarry, near Ebelsbach",
