age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_terr_L_mean,rep_terr_L_hpd_m95,rep_terr_L_hpd_M95,rep_terr_M_mean,rep_terr_M_hpd_m95,rep_terr_M_hpd_M95,rep_terr_R_mean,rep_terr_R_hpd_m95,rep_terr_R_hpd_M95
-229,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-230,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-231,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-232,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-233,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-234,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-235,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-236,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-237,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-238,0.123930978,0.050197,0.202603,0.215101701,0.104846,0.33717,-0.091170724,-0.232597,0.044627,0.283924837,0.18818,0.389571,0.309156883,0.211741,0.413481,-0.025232047,-0.161469,0.11254
-239,0.123930978,0.050197,0.202603,0.215101701,0.104846,0.33717,-0.091170724,-0.232597,0.044627,0.283924837,0.18818,0.389571,0.309156883,0.211741,0.413481,-0.025232047,-0.161469,0.11254
-240,0.123930978,0.050197,0.202603,0.215101701,0.104846,0.33717,-0.091170724,-0.232597,0.044627,0.283924837,0.18818,0.389571,0.309156883,0.211741,0.413481,-0.025232047,-0.161469,0.11254
-241,0.123930978,0.050197,0.202603,0.215101701,0.104846,0.33717,-0.091170724,-0.232597,0.044627,0.283924837,0.18818,0.389571,0.309156883,0.211741,0.413481,-0.025232047,-0.161469,0.11254
-242,0.123930978,0.050197,0.202603,0.215101701,0.104846,0.33717,-0.091170724,-0.232597,0.044627,0.283924837,0.18818,0.389571,0.309156883,0.211741,0.413481,-0.025232047,-0.161469,0.11254
-243,0.285512117,0.188749,0.390107,0.262417985,0.166256,0.362501,0.023094134,-0.114546,0.159405,0.270871061,0.180817,0.367219,0.26958713,0.177226,0.364088,0.00128393,-0.113172,0.121714
-244,0.285512117,0.188749,0.390107,0.262417985,0.166256,0.362501,0.023094134,-0.114546,0.159405,0.270871061,0.180817,0.367219,0.26958713,0.177226,0.364088,0.00128393,-0.113172,0.121714
-245,0.285512117,0.188749,0.390107,0.262417985,0.166256,0.362501,0.023094134,-0.114546,0.159405,0.270871061,0.180817,0.367219,0.26958713,0.177226,0.364088,0.00128393,-0.113172,0.121714
