feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
rotated_lat_scaled,none,none,none,0.78,-1.480424154866279,-3.9437799035383865,3.7944915212958605,0.10656721219420433,0.06921345740556717,0.15323008596897125,-121.56255135484824,-212.49560283517303,-55.3511188794655,3.0
mean_scaled,none,none,none,1.0,-3.5913303075156082,-10.530099797367301,-1.7876320880147283,0.14328307509422303,0.08164066821336746,0.21792790293693542,-176.04682038356512,-305.32028975212404,-73.3132390780629,1.0
Mod_R_deltaTMyr_scaled,none,none,none,1.0,-7.105673832197934,-28.415183990099223,-1.4386951762443347,0.16241809234023094,0.07217060774564743,0.2590629458427429,-175.10486407408584,-281.27377036881194,-79.50674292391886,1.0
time,none,none,none,0.91,-1.7213223948767162,-3.66251402770394,1.5840205484204386,0.07503913208842278,0.04146633669734001,0.11641421169042587,-139.22201733953239,-277.91942577150735,-14.992522723021693,2.0
