genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Acerosodontosaurus,-0.2645399781685992,0,0,0,1,0
Acrodenta,-0.2645399781685992,0,0,1,0,0
Adelosaurus,-0.2645399781685992,0,1,0,0,0
Aenigmasaurus,-0.2645399781685992,0,0,0,1,0
Aenigmastropheus,-0.2645399781685992,0,0,0,1,0
Ammorhynchus,-0.1930485818942967,0,0,1,0,0
Amotosaurus,0.04495095512873,0,1,1,0,0
Anisodontosaurus,-0.1930485818942967,0,0,1,0,0
Anomoiodon,0.8362981834241895,0,1,1,0,0
Antarctanax,-0.2645399781685992,0,0,0,0,1
Anthodon,0.8996481818957338,0,0,0,1,0
Archeopelta,-0.2645399781685992,0,0,0,1,0
Archosaurus,-0.0133183834601371,0,1,0,0,0
Arganaceras,-0.2645399781685992,0,0,1,0,0
Arizonasaurus,-0.1434674745757394,0,0,1,0,0
Asilisaurus,-0.2645399781685992,0,0,0,1,0
Asperoris,-0.2645399781685992,0,0,0,1,0
Augustaburiania,0.9627922281335836,0,1,0,0,0
Australothyris,-0.2645399781685992,0,0,0,1,0
Baisesaurus,-0.2645399781685992,0,0,1,0,0
Barasaurus,0.5150793304662362,0,0,0,1,0
Barberenasuchus,-0.2645399781685992,0,0,0,1,0
Bashkyroleter,-0.2103911986082761,0,1,0,0,0
Batrachotomus,-0.2645399781685992,0,1,0,0,0
Belebey,-0.0407486465852852,0,1,0,0,0
Benggwigwishingasuchus,-0.2645399781685992,0,0,1,0,0
Bentonyx,-0.2645399781685992,0,0,1,0,0
Blomosaurus,-0.2645399781685992,0,1,0,0,0
Boreopricea,-0.2645399781685992,0,1,0,0,0
Bradysaurus,-0.2645399781685992,0,0,0,1,0
Brasinorhynchus,-0.2645399781685992,0,0,0,1,0
Bromsgroveia,-0.1771882155210521,0,1,1,0,0
Broomia,-0.080484555673662,0,0,0,1,0
Bunostegos,-0.2645399781685992,0,0,1,0,0
Bystrowisuchus,-0.2645399781685992,0,1,0,0,0
Candelaria,-0.2645399781685992,0,0,0,1,0
Captorhinus,-0.2645399781685992,0,0,0,1,0
Cartorhynchus,-0.2645399781685992,0,1,0,0,0
Chalishevia,-0.2645399781685992,0,1,0,0,0
Chanaresuchus,-0.2645399781685992,0,0,0,1,0
