genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Acerosodontosaurus	-0.3179518273738846	0	0	0	1	0
Acrodenta	-0.3179518273738846	0	0	1	0	0
Adelosaurus	-0.3179518273738846	0	1	0	0	0
Aenigmasaurus	-0.3179518273738846	0	0	0	1	0
Aenigmastropheus	-0.3179518273738846	0	0	0	1	0
Agkistrognathus	-0.3179518273738846	0	1	0	0	0
Ammorhynchus	-0.2445059304770417	0	0	1	0	0
Amotosaurus	2.6703266827895285e-07	0	1	1	0	0
Anarosaurus	-0.1651820779793111	0	1	0	0	0
Anisodontosaurus	-0.2445059304770417	0	0	1	0	0
Anomoiodon	0.8129821077563789	0	1	1	0	0
Anshunsaurus	-0.3179518273738846	0	0	1	0	0
Antarctanax	-0.3179518273738846	0	0	0	0	1
Anthodon	0.8780640294788764	0	0	0	1	0
Archeopelta	-0.3179518273738846	0	0	0	1	0
Archosaurus	-0.0598620948356713	0	1	0	0	0
Arganaceras	-0.3179518273738846	0	0	1	0	0
Arizonasaurus	-0.1935693271104209	0	0	1	0	0
Asilisaurus	-0.3179518273738846	0	0	0	1	0
Askeptosaurus	-0.1502857186339879	0	0	1	0	0
Asperoris	-0.3179518273738846	0	0	0	1	0
Atopodentatus	-0.3179518273738846	0	0	1	0	0
Augustaburiania	0.9429343684472256	0	1	0	0	0
Augustasaurus	-0.3179518273738846	0	0	1	0	0
Australothyris	-0.3179518273738846	0	0	0	1	0
Baisesaurus	-0.3179518273738846	0	0	1	0	0
Barasaurus	0.4829814645299974	0	0	0	1	0
Barberenasuchus	-0.3179518273738846	0	0	0	1	0
Barracudasauroides	-0.3179518273738846	0	0	1	0	0
Barracudasaurus	-0.1244508420503388	0	0	1	0	0
Bashkyroleter	-0.2623226763440439	0	1	0	0	0
Batrachotomus	-0.3179518273738846	0	1	0	0	0
Belebey	-0.0880422729037147	0	1	0	0	0
Benggwigwishingasuchus	-0.3179518273738846	0	0	1	0	0
Bentonyx	-0.3179518273738846	0	0	1	0	0
Besanosaurus	-0.3179518273738846	0	0	1	0	0
Blezingeria	-0.3179518273738846	0	1	0	0	0
Blomosaurus	-0.3179518273738846	0	1	0	0	0
Boreopricea	-0.3179518273738846	0	1	0	0	0
Bradysaurus	-0.3179518273738846	0	0	0	1	0
Brasinorhynchus	-0.3179518273738846	0	0	0	1	0
Bromsgroveia	-0.228211958137685	0	1	1	0	0
Broomia	-0.1288645205320811	0	0	0	1	0
Bunostegos	-0.3179518273738846	0	0	1	0	0
Bystrowisuchus	-0.3179518273738846	0	1	0	0	0
Candelaria	-0.3179518273738846	0	0	0	1	0
Captorhinus	-0.3179518273738846	0	0	0	1	0
Cartorhynchus	-0.3179518273738846	0	1	0	0	0
Ceresiosaurus	0.4349786271827446	0	0	1	0	0
Chalishevia	-0.3179518273738846	0	1	0	0	0
Chanaresuchus	-0.3179518273738846	0	0	0	1	0
Chaohusaurus	0.950327318798032	0	1	1	0	0
Chasmatosuchus	-0.0138008404088318	0	1	0	0	0
Chinchenia	-0.3179518273738846	0	0	1	0	0
Cladeiodon	-0.3179518273738846	0	1	0	0	0
Clarazia	-0.3179518273738846	0	0	1	0	0
Claudiosaurus	-0.3179518273738846	0	0	0	1	0
Coartaredens	-0.3179518273738846	0	0	1	0	0
Coelodontognathus	-0.3179518273738846	0	1	0	0	0
Coelurosauravus	5.7282400666611135	0	1	0	1	0
Coletta	-0.3179518273738846	0	0	0	1	0
Collilongus	-0.3179518273738846	0	1	0	0	0
Contectopalatus	-0.3179518273738846	0	0	1	0	0
Corosaurus	-0.3179518273738846	0	0	1	0	0
Cosesaurus	-0.3179518273738846	0	0	1	0	0
Ctenosauriscus	-0.3179518273738846	0	1	0	0	0
Cyamodus	0.9990146885851754	0	1	1	0	0
Cymatosaurus	0.2162619559825408	0	1	1	0	0
Cymbospondylus	2.1142067112312977	0	1	1	0	0
Czatkowiella	-0.3179518273738846	0	1	0	0	0
Dactylosaurus	-0.1239988950644573	0	1	0	0	0
Dawazisaurus	-0.3179518273738846	0	0	1	0	0
Decuriasuchus	-0.1917956102133344	0	0	0	1	0
Deltavjatia	-0.3179518273738846	0	1	0	0	0
Diandongosaurus	-0.3179518273738846	0	0	1	0	0
Diandongosuchus	-0.3179518273738846	0	0	1	0	0
Dianmeisaurus	-0.3179518273738846	0	0	1	0	0
Dianopachysaurus	-0.3179518273738846	0	0	1	0	0
Dinocephalosaurus	-0.3179518273738846	0	0	1	0	0
Doliovertebra	-0.3179518273738846	0	1	0	0	0
Dongusuchus	-0.1670964351776839	0	1	0	0	0
Dorosuchus	-0.3179518273738846	0	1	0	0	0
Eifelosaurus	-0.3179518273738846	0	1	0	0	0
Elessaurus	-0.3179518273738846	0	0	0	1	0
Elginia	0.5161073894762428	0	1	0	0	0
Elorhynchus	-0.3179518273738846	0	0	0	1	0
Embrithosaurus	-0.3179518273738846	0	0	0	1	0
Emeroleter	-0.3179518273738846	0	1	0	0	0
Energosuchus	-0.3179518273738846	0	1	0	0	0
