genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Gordonia	-0.3033557921828507	0	1	0	0	0
Gorgonops	0.5723376077457153	0	0	0	1	0
Gorochovetzia	-0.3033557921828507	0	1	0	0	0
Gorynychus	-0.1259175254739876	0	1	0	0	0
Hazhenia	-0.3033557921828507	0	1	0	0	0
Heleosaurus	-0.3033557921828507	0	0	0	1	0
Herpetoskylax	-0.3033557921828507	0	0	0	1	0
Hipposaurus	-0.3033557921828507	0	0	0	1	0
Hofmeyria	-0.1718659746707467	0	0	0	1	0
Homodontosaurus	-0.1718659746707467	0	0	0	1	0
Hwanghocynodon	-0.3033557921828507	0	1	0	0	0
Hyaenasuchus	-0.3033557921828507	0	0	0	1	0
Ichibengops	-0.3033557921828507	0	0	0	1	0
Icticephalus	-0.3033557921828507	0	0	0	1	0
Ictidochampsa	-0.3033557921828507	0	0	0	1	0
Ictidognathus	-0.1950942154367813	0	0	0	1	0
Ictidorhinus	-0.3033557921828507	0	0	0	1	0
Ictidosaurus	-0.1613812580107343	0	0	0	1	0
Ictidosuchops	-0.1718659746707467	0	0	0	1	0
Ictidosuchus	-0.3033557921828507	0	0	0	1	0
Idelesaurus	-0.3033557921828507	0	1	0	0	0
Impidens	-0.3033557921828507	0	0	0	1	0
Inostrancevia	5.112378824021467	0	1	0	1	0
Interpresosaurus	-0.3033557921828507	0	1	0	0	0
Isengops	-0.3033557921828507	0	0	0	1	0
Jachaleria	-0.3033557921828507	0	0	0	1	0
Jimusaria	0.8969486273759981	0	1	0	0	0
Jiufengia	-0.3033557921828507	0	1	0	0	0
Jonkeria	-0.161277031645979	0	0	0	1	0
Julognathus	-0.3033557921828507	0	1	0	0	0
Kamagorgon	-0.2751132950490207	0	1	0	0	0
Kannemeyeria	0.6521305787961628	0	0	0	1	0
Karenites	-0.3033557921828507	0	1	0	0	0
Katumbia	-0.3033557921828507	0	0	0	1	0
Kawingasaurus	-0.3033557921828507	0	0	0	1	0
Kembawacela	-0.3033557921828507	0	0	0	1	0
Keratocephalus	-0.3033557921828507	0	0	0	1	0
Keyseria	-0.3033557921828507	0	0	0	1	0
Kitchinganomodon	0.5723376077457153	0	0	0	1	0
Kombuisia	0.5082110553582558	0	0	0	1	1
Kotelcephalon	-0.3033557921828507	0	1	0	0	0
Kunpania	-0.3033557921828507	0	1	0	0	0
Kwazulusaurus	-0.3033557921828507	0	0	0	1	0
Lalieudorhynchus	-0.3033557921828507	0	0	1	0	0
Langbergia	-0.0835742833204079	0	0	0	1	0
Lanthanostegus	-0.3033557921828507	0	0	0	1	0
Lemurosaurus	-0.3033557921828507	0	0	0	1	0
Lende	-0.3033557921828507	0	0	0	1	0
Leogorgon	-0.2738090416321361	0	1	0	0	0
Leontosaurus	-0.3033557921828507	0	0	0	1	0
Leucocephalus	-0.3033557921828507	0	0	0	1	0
Lobalopex	-0.3033557921828507	0	0	0	1	0
Lophorhinus	-0.3033557921828507	0	0	0	1	0
Luangwa	-0.1618289187905039	0	0	0	1	0
Lumkuia	-0.3033557921828507	0	0	0	1	0
Lycaenodon	-0.1718659746707467	0	0	0	1	0
Lycaenops	0.5723376077457153	0	0	0	1	0
Lycedops	-0.3033557921828507	0	0	0	1	0
Lycideops	-0.3033557921828507	0	0	0	1	0
Lycosaurus	-0.2801275514168161	0	0	0	1	0
Lycosuchus	-0.3033557921828507	0	0	0	1	0
Lystrosaurus	7.602014064929581	0	1	0	1	1
Malasaurus	-0.3033557921828507	0	1	0	0	0
Mandagomphodon	-0.3033557921828507	0	0	0	1	0
Massetognathus	-0.2499759462247339	0	0	0	1	0
Megawhaitsia	-0.1143888365374913	0	1	0	0	0
Mesenosaurus	-0.3033557921828507	0	1	0	0	0
Microgomphodon	0.60995364319181	0	0	0	1	0
Microhelodon	-0.3033557921828507	0	0	0	1	0
Microsyodon	-0.3033557921828507	0	1	0	0	0
Microurania	-0.1467719111126971	0	1	0	0	0
Microvaranops	-0.3033557921828507	0	0	0	1	0
Microwhaitsia	-0.3033557921828507	0	0	0	1	0
Mirotenthes	-0.3033557921828507	0	0	0	1	0
Molybdopygus	-0.3033557921828507	0	1	0	0	0
Mormosaurus	-0.3033557921828507	0	0	0	1	0
Moschops	-0.1950942154367813	0	0	0	1	0
Moschorhinus	0.0051736119543522	0	0	0	1	0
Moschowhaitsia	-0.1143888365374913	0	1	0	0	0
Muchia	-0.3033557921828507	0	1	0	0	0
Mupashi	-0.3033557921828507	0	0	0	1	0
Myosauroides	-0.3033557921828507	0	0	0	1	0
Myosaurus	0.6479934186126477	0	0	0	1	1
Nanictidops	-0.3033557921828507	0	0	0	1	0
Nanictocephalus	-0.3033557921828507	0	0	0	1	0
Nanictosaurus	-0.1718659746707467	0	0	0	1	0
Nanocynodon	-0.3033557921828507	0	1	0	0	0
Nanogomphodon	-0.3033557921828507	0	1	0	0	0
Niaftasuchus	-0.3033557921828507	0	1	0	0	0
Niassodon	-0.3033557921828507	0	0	0	1	0
Nikkasaurus	-0.3033557921828507	0	1	0	0	0
Niuksenitia	-0.3033557921828507	0	1	0	0	0
Nochnitsa	-0.3033557921828507	0	1	0	0	0
Notaelurodon	-0.3033557921828507	0	0	0	1	0
Nothogomphodon	0.1526675871146906	0	1	0	0	0
Notictoides	-0.3033557921828507	0	0	0	0	1
Notosyodon	-0.3033557921828507	0	1	0	0	0
Nshimbodon	-0.3033557921828507	0	0	0	1	0
Nythosaurus	-0.3033557921828507	0	0	0	1	0
Odontocyclops	0.5723376077457153	0	0	0	1	0
Olivierosuchus	-0.19852286415715	0	0	0	1	0
Ophidostoma	-0.3033557921828507	0	0	0	1	0
