,occurrence_no,locality,county_original,state,cc,notes
0,147591,West Virginia,Ohio,West Virginia,US,
1,148250,Texas,Archer,Texas,US,
2,149619,Rio Grande do Sul,Santa Maria,Rio Grande do Sul,BR,
3,149745,Utah,San Juan,Utah,US,
4,149837,Texas,Crosby,Texas,US,
5,149868,La Rioja,,La Rioja,AR,
6,157309,Oklahoma,Seminole,Oklahoma,US,
7,219912,Texas,,Texas,US,
8,220196,Texas,Wichita,Texas,US,
9,220197,Texas,Wichita,Texas,US,
10,229267,Western Cape,Beaufort West,Western Cape,ZA,
11,229267,Western Cape,Beaufort West,Western Cape,ZA,
12,229267,Western Cape,Beaufort West,Western Cape,ZA,
13,229267,Western Cape,Beaufort West,Western Cape,ZA,
14,229267,Western Cape,Beaufort West,Western Cape,ZA,
15,229267,Western Cape,Beaufort West,Western Cape,ZA,
16,229267,Western Cape,Beaufort West,Western Cape,ZA,
17,229267,Western Cape,Beaufort West,Western Cape,ZA,
18,229267,Western Cape,Beaufort West,Western Cape,ZA,
19,229267,Western Cape,Beaufort West,Western Cape,ZA,
20,229267,Western Cape,Beaufort West,Western Cape,ZA,
21,229267,Western Cape,Beaufort West,Western Cape,ZA,
22,229268,,,,ZA,
23,256438,San Juan,,San Juan,AR,
24,256439,San Juan,,San Juan,AR,
25,272315,La Rioja,,La Rioja,AR,
26,272316,La Rioja,,La Rioja,AR,
27,272317,La Rioja,,La Rioja,AR,
28,272318,La Rioja,,La Rioja,AR,
29,272319,La Rioja,,La Rioja,AR,
30,272320,La Rioja,,La Rioja,AR,
31,283943,,,,GL,delete
32,283944,,,,GL,delete
33,286245,,,,AA,delete
34,286246,,,,AA,delete
35,287317,Oklahoma,Blaine,Oklahoma,US,
36,287346,Oklahoma,Blaine,Oklahoma,US,
37,287347,Oklahoma,Blaine,Oklahoma,US,
38,287716,Oklahoma,Blaine,Oklahoma,US,
39,287746,Oklahoma,Blaine,Oklahoma,US,
