occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
1395196,Mendoza,,Mendoza,AR,,Pelorocephalus,237,208.5
1395197,Mendoza,Las Heras,Mendoza,AR,,Pelorocephalus,237,208.5
1395198,Mendoza,,Mendoza,AR,,Pelorocephalus,237,208.5
1423653,San Juan,Valle Fertil,San Juan,AR,,Promastodonsaurus,237,208.5
882295,Austria,Bludenz,Vorarlberg,AT,,Tatrasuchus,242,237
1370351,Austria,,,AT,,Mastodonsaurus,244.7,242
1423607,Austria,Baden,Lower Austria,AT,,Metoposaurus,237,233.4
399460,New South Wales,,New South Wales,AU,,Paracyclotosaurus,247.2,242
1087030,New South Wales,,New South Wales,AU,,Watsonisuchus,248.9,244.7
1087247,New South Wales,,New South Wales,AU,,Microposaurus,247.2,242
1087277,New South Wales,,New South Wales,AU,,Platycepsion,248.9,244.7
1087300,New South Wales,,New South Wales,AU,,Notobrachyops,247.2,242
1087301,New South Wales,,New South Wales,AU,,Bulgosuchus,251.4,247.2
1087308,New South Wales,,New South Wales,AU,,Subcyclotosaurus,247.2,242
1087312,New South Wales,,New South Wales,AU,,Trucheosaurus,259.51,254.14
1639800,New South Wales,,New South Wales,AU,,Arenaerpeton,251.902,247.2
821549,Queensland,,Queensland,AU,,Lapillopsis,251.902,251.2
850612,Queensland,,Queensland,AU,,Warrenisuchus,251.902,251.2
1087050,Queensland,,Queensland,AU,,Watsonisuchus,251.902,251.2
1087055,Queensland,,Queensland,AU,,Watsonisuchus,251.902,251.2
1087056,Queensland,,Queensland,AU,,Keratobrachyops,251.902,251.2
1087060,Queensland,,Queensland,AU,,Xenobrachyops,251.902,251.2
1087061,Queensland,,Queensland,AU,,Rewana,251.902,251.2
1087061,Queensland,,Queensland,AU,,Rewana,251.902,251.2
1087070,Queensland,,Queensland,AU,,Rewana,251.902,251.2
1087071,Queensland,,Queensland,AU,,Plagiobatrachus,251.902,251.2
1087079,Queensland,,Queensland,AU,,Acerastea,251.902,251.2
