Time	mat_z_trans	map_z_trans	wmm_z_trans	cmm_z_trans	wmmcmm_z_trans	wetmon_z_trans	drymon_z_trans	wetdry_z_trans
201.3	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.4	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.5	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.6	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.7	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.8	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
201.9	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.1	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.2	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.3	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.4	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.5	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.6	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.7	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.8	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
202.9	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.1	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.2	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.3	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.4	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.5	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.6	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.7	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.8	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
203.9	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834
