Time,mat_z_trans,map_z_trans,wmm_z_trans,cmm_z_trans,wmmcmm_z_trans,wetmon_z_trans,drymon_z_trans,wetdry_z_trans
201.3,1.0306027460061875,1.9297541377985783,0.8880251202435653,0.6200717775804894,-0.123821317492733,2.9194589328589697,0.9928889501909468,3.225504834367122
202.0,,,,,,,,
203.0,,,,,,,,
204.0,,,,,,,,
205.0,,,,,,,,
206.0,,,,,,,,
207.0,,,,,,,,
208.0,,,,,,,,
208.5,0.8253769071782923,-0.7762129855626598,1.1456253543341386,0.2392168088518695,0.2958420480340427,-1.0130819035519698,-0.783552858646408,-0.7995516602304639
209.0,,,,,,,,
210.0,,,,,,,,
211.0,,,,,,,,
212.0,,,,,,,,
213.0,,,,,,,,
214.0,,,,,,,,
215.0,,,,,,,,
216.0,,,,,,,,
217.0,,,,,,,,
218.0,,,,,,,,
219.0,,,,,,,,
220.0,,,,,,,,
221.0,,,,,,,,
222.0,,,,,,,,
223.0,,,,,,,,
224.0,,,,,,,,
225.0,,,,,,,,
226.0,,,,,,,,
227.0,0.171043840402369,1.635367202362574,0.0517641284478746,0.1226059709632239,-0.0774660716757855,0.999466737961668,0.9480735150244796,0.6613164577105388
228.0,,,,,,,,
229.0,,,,,,,,
230.0,,,,,,,,
231.0,,,,,,,,
232.0,,,,,,,,
233.0,,,,,,,,
234.0,,,,,,,,
235.0,,,,,,,,
236.0,,,,,,,,
237.0,0.0022328710336584,-0.4359039420566464,1.6618868743891786,-0.8598408723510258,1.4097125744960184,-0.6318549391049182,-0.8059886572865698,-0.2675946451216235
238.0,,,,,,,,
239.0,,,,,,,,
240.0,,,,,,,,
241.0,,,,,,,,
242.0,-0.8772023012767208,-0.0857895169229927,-0.2226676480130193,-0.7735688990039792,0.5332353431936053,-0.2046644832274921,0.4174693147340264,-0.580855739677032
243.0,,,,,,,,
244.0,,,,,,,,
245.0,,,,,,,,
246.0,,,,,,,,
247.0,,,,,,,,
247.2,-1.4749151317766784,-0.4840766207710338,-0.4431404956871368,-1.303851210779007,0.8697432611316019,-0.5564914637655674,-0.2160518287346022,-0.5953151426579848
248.0,,,,,,,,
249.0,,,,,,,,
250.0,,,,,,,,
251.0,,,,,,,,
251.2,-1.1927732849169188,-0.3925944547620824,1.0447621776701497,-1.6627882031773864,1.7980330909944382,-0.1941557158378825,-0.3443574478243515,-0.0118038656898602
251.902,-0.598438929194821,-0.7187278892695514,-1.8488660562729025,0.2653600174921175,-1.006712726548196,-0.7152334830038019,-0.1184127333575225,-0.881127436816191
252.0,,,,,,,,
253.0,,,,,,,,
254.0,,,,,,,,
254.14,-1.0135359971447486,-0.1050445288320102,1.0825169099487688,-1.4791532182390723,1.6649874124814572,-0.0637287355956491,0.0544013967350739,-0.1258149232728126
255.0,,,,,,,,
256.0,,,,,,,,
257.0,,,,,,,,
258.0,,,,,,,,
259.0,,,,,,,,
259.1,-1.4616346973549748,0.1762606041564291,-0.9305730343746073,-0.9838495404911844,0.4011792384823496,0.6525437669879602,0.2351266896827622,0.7113355621128622
260.0,,,,,,,,
261.0,,,,,,,,
262.0,,,,,,,,
263.0,,,,,,,,
264.0,,,,,,,,
265.0,,,,,,,,
265.1,-0.720370219757093,1.9656731296110657,-2.069371168872748,0.2186911117334242,-1.0631469667941758,1.0824207746546606,2.865255767331509,-0.6227707167800188
266.0,,,,,,,,
267.0,,,,,,,,
268.0,,,,,,,,
268.8,0.7136952596850293,0.6040936231666758,-0.0533937576147204,0.7367103304027562,-0.6214123286334982,-0.025145027189779,0.6289977827183225,-0.4921083370961603
269.0,,,,,,,,
270.0,,,,,,,,
271.0,,,,,,,,
272.0,,,,,,,,
272.95,1.2203416278404065,-1.0457769141153508,0.0218444437966768,1.2182724589889804,-0.9804803532355836,-0.6451223665402871,-1.0657782229076052,-0.0963343195920169
273.0,,,,,,,,
274.0,,,,,,,,
275.0,,,,,,,,
276.0,,,,,,,,
277.0,,,,,,,,
278.0,,,,,,,,
279.0,,,,,,,,
280.0,,,,,,,,
281.0,,,,,,,,
282.0,,,,,,,,
283.0,,,,,,,,
283.5,1.170179813955914,-0.0669449627976193,-0.0686290550215466,1.282866861535696,-1.0716750304377378,0.3177152334705403,-0.7198144861525383,0.9539571569046988
284.0,,,,,,,,
285.0,,,,,,,,
286.0,,,,,,,,
287.0,,,,,,,,
288.0,,,,,,,,
289.0,,,,,,,,
290.0,,,,,,,,
290.1,1.0045018779791854,-0.8681852573216273,-0.2213534887988301,1.1061188506535122,-0.9934193309176912,-0.6570322520019908,-1.0342630452551498,-0.1353951846720567
291.0,,,,,,,,
292.0,,,,,,,,
293.0,,,,,,,,
293.52,1.2008956173409124,-1.3318916246837484,-0.0384303041748426,1.2531377558395862,-1.0345988430781128,-1.2650950761144633,-1.0539941362523724,-0.9434420394889994
