genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Bergamodactylus,20.34746,20.34746,0,0,1,0,0,0.0,-0.3368251980293161
Besanosaurus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3368251980293161
Blezingeria,26.46257,26.46257,0,1,0,0,0,0.0,-0.3368251980293161
Blikanasaurus,-48.88284,-48.88284,0,0,0,1,0,0.0,-0.3368251980293161
Blomosaurus,45.21636,45.21636,0,1,0,0,0,0.0,-0.3368251980293161
Bobosaurus,29.81785,29.81785,0,1,0,0,0,0.0,-0.3368251980293161
Bolosaurus,-2.980824,-0.7299915,0,0,1,0,0,2.2508325,-0.16738640424841325
Boreopricea,52.70026,52.70026,0,1,0,0,0,0.0,-0.3368251980293161
Bradysaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3368251980293161
Brasinorhynchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Brazilosaurus,-51.53025,-44.21616,0,0,0,1,0,7.31409,0.21376689943016325
Bromsgroveia,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.2499804130684901
Broomia,-65.18245,-62.75164,0,0,0,1,0,2.430810000000001,-0.1538380080404757
Bunostegos,-9.576991,-9.576991,0,0,1,0,0,0.0,-0.3368251980293161
Buriolestes,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.08383222099746447
Bystrowisuchus,41.16511,41.16511,0,1,0,0,0,0.0,-0.3368251980293161
Callawayia,19.11306,26.04535,0,1,1,0,0,6.932289999999998,0.1850256530399725
Calyptosuchus,-1.470099,1.625439,0,0,1,0,0,3.0955380000000003,-0.1037984291236119
Camelotia,34.05859,35.96879,0,1,0,0,0,1.9101999999999961,-0.19302863214523544
Camposaurus,1.353064,1.353064,0,0,1,0,0,0.0,-0.3368251980293161
Candelaria,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Captorhinikos,0.2572943,2.461234,0,0,1,0,0,2.2039397000000003,-0.17091641346456288
Captorhinoides,0.2572943,0.2572943,0,0,1,0,0,0.0,-0.3368251980293161
Captorhinus,-47.78411,1.521104,0,0,1,1,0,49.305214,3.374786388914307
Cargninia,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.3368251980293161
Carnufex,-0.5164049,-0.5164049,0,0,1,0,0,0.0,-0.3368251980293161
Cartorhynchus,32.10397,32.10397,0,1,0,0,0,0.0,-0.3368251980293161
Caseosaurus,3.836582,3.836582,0,0,1,0,0,0.0,-0.3368251980293161
Ceresiosaurus,12.62107,22.30036,0,0,1,0,0,9.679290000000002,0.3918150816252362
Chalishevia,51.56832,51.56832,0,1,0,0,0,0.0,-0.3368251980293161
Chanaresuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3368251980293161
Chaohusaurus,15.79962,32.10397,0,1,1,0,0,16.304349999999996,0.8905381874654562
Chasmatosuchus,45.89776,49.80777,0,1,0,0,0,3.9100099999999998,-0.042486379804829014
Chelyoposuchus,42.70672,42.70672,0,1,0,0,0,0.0,-0.3368251980293161
Chinchenia,15.06738,15.06738,0,0,1,0,0,0.0,-0.3368251980293161
Chindesaurus,1.353064,3.836582,0,0,1,0,0,2.483518,-0.1498702405843884
Chinshakiangosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.3368251980293161
Chirotherium,29.61478,29.61478,0,1,0,0,0,0.0,-0.3368251980293161
Chromogisaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Cladeiodon,29.56131,29.56131,0,1,0,0,0,0.0,-0.3368251980293161
Clarazia,20.93788,20.93788,0,0,1,0,0,0.0,-0.3368251980293161
Claudiosaurus,-47.63135,-47.63135,0,0,0,1,0,0.0,-0.3368251980293161
Clevosaurus,-49.47713,52.14119,0,1,0,1,0,101.61832000000001,7.312826904844529
Coahomasuchus,-1.470099,-0.5164049,0,0,1,0,0,0.9536941000000001,-0.26503274881776273
Coartaredens,21.05439,21.05439,0,0,1,0,0,0.0,-0.3368251980293161
Coburgosuchus,34.47747,34.47747,0,1,0,0,0,0.0,-0.3368251980293161
Coelodontognathus,41.16511,41.16511,0,1,0,0,0,0.0,-0.3368251980293161
Coelophysis,-1.470099,20.01137,0,0,1,0,0,21.481469,1.2802627887497342
Coelurosauravus,-50.09196,27.6348,0,1,0,1,0,77.72676,5.514311418710368
Coletta,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.3368251980293161
Collilongus,29.45002,29.45002,0,1,0,0,0,0.0,-0.3368251980293161
Colobomycter,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
