genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Abajudon,-56.95375,-56.95375,0,0,0,1,0,0.0,-0.29742455904134807
Abdalodon,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.29742455904134807
Acratophorus,-56.92756,-56.92756,0,0,0,1,0,0.0,-0.29742455904134807
Adelobasileus,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.29742455904134807
Aelurognathus,-63.15948,-29.13487,0,0,0,1,0,34.02461,1.8406948480773286
Aelurosaurus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Aelurosuchus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29742455904134807
Agudotherium,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29742455904134807
Akidnognathus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Aleodon,-49.04351,-46.55859,0,0,0,1,0,2.4849199999999954,-0.14127124304044952
Alepognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Alopecideops,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Alopecodon,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Alopecognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Alopecorhinus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Aloposaurus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.6687695277866947
Alrausuchus,42.68761,42.68761,0,1,0,0,0,0.0,-0.29742455904134807
Andescynodon,-49.50839,-49.50839,0,0,0,1,0,0.0,-0.29742455904134807
Angelosaurus,2.689371,2.689371,0,0,1,0,0,0.0,-0.29742455904134807
Angonisaurus,-74.17096,-46.55859,0,0,0,1,1,27.61236999999999,1.4377472525838702
Annatherapsidus,44.03487,46.3931,0,1,0,0,0,2.358229999999999,-0.14923249072816314
Anningia,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Anomocephalus,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.29742455904134807
Antecosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.29742455904134807
Anteosaurus,-62.75164,40.12712,0,1,0,1,0,102.87876,6.167515769041902
Apsisaurus,-2.746595,-2.746595,0,0,1,0,0,0.0,-0.29742455904134807
Archaeosyodon,44.97893,44.97893,0,1,0,0,0,0.0,-0.29742455904134807
Arctognathus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.6687695277866947
Arctops,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Arctotraversodon,10.58739,10.58739,0,0,1,0,0,0.0,-0.29742455904134807
Arisierpeton,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29742455904134807
Ascendonanus,15.09507,15.09507,0,0,1,0,0,0.0,-0.29742455904134807
Aulacephalodon,-63.15948,-57.40221,0,0,0,1,0,5.757270000000005,0.06436447304519623
Aulacocephalus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.29742455904134807
Australobarbarus,44.38761,44.38761,0,1,0,0,0,0.0,-0.29742455904134807
Australosyodon,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.29742455904134807
Avenantia,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Baldwinonus,-0.4817778,-0.4817778,0,0,1,0,0,0.0,-0.29742455904134807
Basilodon,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Bauria,-63.33496,-61.37537,0,0,0,1,0,1.9595900000000057,-0.17428317963991774
Beishanodon,47.95446,47.95446,0,1,0,0,0,0.0,-0.29742455904134807
Biarmosuchoides,40.69209,40.69209,0,1,0,0,0,0.0,-0.29742455904134807
Biarmosuchus,43.11683,44.97893,0,1,0,0,0,1.862099999999998,-0.18040948824419023
Biseridens,39.6978,39.6978,0,1,0,0,0,0.0,-0.29742455904134807
Blattoidealestes,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Bolodon,37.62532,37.62532,0,1,0,0,0,0.0,-0.29742455904134807
Bolotridon,-63.33496,-63.33496,0,0,0,1,0,0.0,-0.29742455904134807
Bonacynodon,-49.47713,-49.04351,0,0,0,1,0,0.4336200000000048,-0.27017571365223675
Boreogomphodon,-0.5164049,1.982645,0,0,1,0,0,2.4990499,-0.14038331476116414
Botucaraitherium,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29742455904134807
Brachyprosopus,-65.24442,-62.75164,0,0,0,1,0,2.4927800000000033,-0.14077731765702942
Brachyzostrodon,37.62532,46.8713,0,1,0,0,0,9.245979999999996,0.28359633365458975
Brasilitherium,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29742455904134807
Brasilodon,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29742455904134807
Bulbasaurus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.29742455904134807
Bullacephalus,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.29742455904134807
Burnetia,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.29742455904134807
Cabarzia,14.5677,14.5677,0,0,1,0,0,0.0,-0.29742455904134807
Callibrachion,10.6131,10.6131,0,0,1,0,0,0.0,-0.29742455904134807
Candelariodon,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.29742455904134807
Caodeyao,38.44569,38.44569,0,1,0,0,0,0.0,-0.29742455904134807
Casea,0.2572943,2.461234,0,0,1,0,0,2.2039397000000003,-0.1589281517441207
Cerdorhinus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.29742455904134807
Cerdosuchus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.29742455904134807
Chalepotherium,37.62532,37.62532,0,1,0,0,0,0.0,-0.29742455904134807
Chaliminia,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29742455904134807
Charassognathus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.29742455904134807
Chiniquodon,-52.00118,-47.29913,0,0,0,1,0,4.70205,-0.0019459522845807246
Choerosaurus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.29742455904134807
Chthomaloporus,44.97893,44.97893,0,1,0,0,0,0.0,-0.29742455904134807
Chthonosaurus,43.51609,43.51609,0,1,0,0,0,0.0,-0.29742455904134807
Cistecephaloides,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.29742455904134807
Cistecephalus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.6687695277866947
Cistecynodon,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29742455904134807
Clelandina,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Clepsydrops,3.303666,3.303666,0,0,1,0,0,0.0,-0.29742455904134807
Colobodectes,-62.75164,-58.47538,0,0,0,1,0,4.276260000000001,-0.02870275750165918
Compsodon,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.6687695277866947
Cotylorhynchus,1.059264,2.689371,0,0,1,0,0,1.630107,-0.1949880164217558
Counillonia,-2.617971,-2.617971,0,0,1,0,0,0.0,-0.29742455904134807
Cricodon,-63.33496,-46.55859,0,0,0,1,0,16.77637,0.7568088995641599
Criocephalosaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Cromptodon,-49.50839,-49.50839,0,0,0,1,0,0.0,-0.29742455904134807
Cryptocynodon,-60.85079,-57.40221,0,0,0,1,0,3.448580000000007,-0.08071448286409458
Ctenorhachis,-2.980824,-2.980824,0,0,1,0,0,0.0,-0.29742455904134807
Ctenospondylus,-2.980824,-0.5077499,0,0,1,0,0,2.4730741000000003,-0.14201564389279658
Cutleria,5.857367,5.857367,0,0,1,0,0,0.0,-0.29742455904134807
Cynariognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Cyniscops,-47.78411,-47.78411,0,0,0,1,0,0.0,-0.29742455904134807
Cynognathus,-74.17096,-46.55859,0,0,0,1,1,27.61236999999999,1.4377472525838702
Cynosaurus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.15234560313205725
Cyonosaurus,-63.15948,-60.48301,0,0,0,1,0,2.676470000000002,-0.12923416833382992
Dalongkoua,61.09881,61.09881,0,1,0,0,0,0.0,-0.29742455904134807
Daptocephalus,-63.50161,-47.78411,0,0,0,1,0,15.717500000000001,0.6902691068489532
Daqingshanodon,38.44569,38.44569,0,1,0,0,0,0.0,-0.29742455904134807
Davletkulia,42.20409,42.20409,0,1,0,0,0,0.0,-0.29742455904134807
Delectosaurus,44.7139,47.69551,0,1,0,0,0,2.9816099999999963,-0.11005905491186325
Delphinognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29742455904134807
Deuterosaurus,40.69209,42.6534,0,1,0,0,0,1.9613099999999974,-0.17417509418705798
Diademodon,-74.17096,-46.55859,0,0,0,1,1,27.61236999999999,1.4377472525838702
Dicynodon,-63.15948,45.43791,0,1,0,1,0,108.59739,6.526876648861864
Dicynodontipus,-60.80844,-60.80844,0,0,0,1,0,0.0,-0.29742455904134807
Dicynodontoides,-63.15948,-42.23717,0,0,0,1,0,20.922310000000003,1.0173413428382962
