genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Bystrowisuchus,41.16511,41.16511,0,1,0,0,0,0.0,-0.29876440904981494
Calyptosuchus,-1.470099,1.625439,0,0,1,0,0,3.0955380000000003,-0.06963538113612866
Camelotia,34.05859,35.96879,0,1,0,0,0,1.9101999999999961,-0.15737306799028905
Camposaurus,1.353064,1.353064,0,0,1,0,0,0.0,-0.29876440904981494
Candelaria,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.29876440904981494
Captorhinikos,0.2572943,2.461234,0,0,1,0,0,2.2039397000000003,-0.13563071111382405
Captorhinoides,0.2572943,0.2572943,0,0,1,0,0,0.0,-0.29876440904981494
Captorhinus,-47.78411,1.521104,0,0,1,1,0,49.305214,3.350764608166667
Cargninia,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Carnufex,-0.5164049,-0.5164049,0,0,1,0,0,0.0,-0.29876440904981494
Cartorhynchus,32.10397,32.10397,0,1,0,0,0,0.0,-0.29876440904981494
Caseosaurus,3.836582,3.836582,0,0,1,0,0,0.0,-0.29876440904981494
Chalishevia,51.56832,51.56832,0,1,0,0,0,0.0,-0.29876440904981494
Chanaresuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Chasmatosuchus,45.89776,49.80777,0,1,0,0,0,3.9100099999999998,-0.009348872741492334
Chindesaurus,1.353064,3.836582,0,0,1,0,0,2.483518,-0.11493656873703496
Chinshakiangosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Chirotherium,29.61478,29.61478,0,1,0,0,0,0.0,-0.29876440904981494
Chromogisaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Cladeiodon,29.56131,29.56131,0,1,0,0,0,0.0,-0.29876440904981494
Claudiosaurus,-47.63135,-47.63135,0,0,0,1,0,0.0,-0.29876440904981494
Clevosaurus,-49.47713,52.14119,0,1,0,1,0,101.61832000000001,7.222935172677789
Coahomasuchus,-1.470099,-0.5164049,0,0,1,0,0,0.9536941000000001,-0.22817280201413392
Coartaredens,21.05439,21.05439,0,0,1,0,0,0.0,-0.29876440904981494
Coburgosuchus,34.47747,34.47747,0,1,0,0,0,0.0,-0.29876440904981494
Coelodontognathus,41.16511,41.16511,0,1,0,0,0,0.0,-0.29876440904981494
Coelophysis,-1.470099,20.01137,0,0,1,0,0,21.481469,1.2912752254589475
Coelurosauravus,-50.09196,27.6348,0,1,0,1,0,77.72676,5.454502700473761
Coletta,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.29876440904981494
Collilongus,29.45002,29.45002,0,1,0,0,0,0.0,-0.29876440904981494
Colobomycter,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Colobops,9.712786,9.712786,0,0,1,0,0,0.0,-0.29876440904981494
Coloradisaurus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Coloradisuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Cornualbus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Cosesaurus,12.62107,12.62107,0,0,1,0,0,0.0,-0.29876440904981494
Crosbysaurus,-1.470099,1.358284,0,0,1,0,0,2.828383,-0.08940996166212475
Ctenosauriscus,28.45267,28.45267,0,1,0,0,0,0.0,-0.29876440904981494
Czatkowiella,29.45002,29.45002,0,1,0,0,0,0.0,-0.29876440904981494
Daemonosaurus,8.831093,8.831093,0,0,1,0,0,0.0,-0.29876440904981494
Dagasuchus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Decuriasuchus,-49.04351,-47.42171,0,0,0,1,0,1.6218000000000004,-0.17872018492127364
Delorhynchus,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Deltadectes,30.98263,37.62532,0,1,0,0,0,6.642690000000002,0.1929217219012394
Deltavjatia,44.38761,44.38761,0,1,0,0,0,0.0,-0.29876440904981494
Desmatosuchus,-1.470099,9.714393,0,0,1,0,0,11.184491999999999,0.5291019520377893
Diandongosuchus,18.78245,18.78245,0,0,1,0,0,0.0,-0.29876440904981494
Dimetropus,15.55887,15.55887,0,0,1,0,0,0.0,-0.29876440904981494
Dimorphodon,38.29723,38.29723,0,1,0,0,0,0.0,-0.29876440904981494
Diphydontosaurus,-1.470099,37.53662,0,1,1,0,0,39.006719,2.588478973707016
Dolabrosaurus,3.836582,3.836582,0,0,1,0,0,0.0,-0.29876440904981494
Dolerosaurus,29.81785,29.81785,0,1,0,0,0,0.0,-0.29876440904981494
Dolichobrachium,9.714393,9.714393,0,0,1,0,0,0.0,-0.29876440904981494
Dongusuchus,46.885,48.82432,0,1,0,0,0,1.9393200000000022,-0.15521763094094645
Dorosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.29876440904981494
Doswellia,-1.470099,3.84681,0,0,1,0,0,5.316909,0.0947885664508992
Dracoraptor,38.29723,38.29723,0,1,0,0,0,0.0,-0.29876440904981494
Drepanosaurus,3.836582,32.92995,0,1,1,0,0,29.093367999999998,1.8547013628370574
Dromomeron,-52.85442,6.088668,0,0,1,1,0,58.943087999999996,4.064151651315416
Dynamosuchus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Dyoplax,27.85164,27.85164,0,1,0,0,0,0.0,-0.29876440904981494
Ebrachosuchus,29.61478,29.61478,0,1,0,0,0,0.0,-0.29876440904981494
Effigia,8.831093,8.831093,0,0,1,0,0,0.0,-0.29876440904981494
Efraasia,32.59323,32.59323,0,1,0,0,0,0.0,-0.29876440904981494
Eifelosaurus,25.02402,25.02402,0,1,0,0,0,0.0,-0.29876440904981494
Elachistosuchus,42.70672,42.70672,0,1,0,0,0,0.0,-0.29876440904981494
Elessaurus,-46.32232,-46.32232,0,0,0,1,0,0.0,-0.29876440904981494
Elginia,27.72345,38.44569,0,1,0,0,0,10.72224,0.49488646141510684
Elorhynchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Embrithosaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29876440904981494
Emeroleter,44.38761,44.38761,0,1,0,0,0,0.0,-0.29876440904981494
Energosuchus,51.56832,51.56832,0,1,0,0,0,0.0,-0.29876440904981494
Eodromaeus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Eohupehsuchus,15.35236,15.35236,0,0,1,0,0,0.0,-0.29876440904981494
Eohyosaurus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29876440904981494
Eomurruna,-54.016,-52.15324,0,0,0,1,0,1.8627600000000015,-0.16088453549100268
Eoraptor,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Eorasaurus,43.04599,43.04599,0,1,0,0,0,0.0,-0.29876440904981494
Eorhynchochelys,27.01127,27.01127,0,1,0,0,0,0.0,-0.29876440904981494
Eretmorhipis,20.78674,20.78674,0,0,1,0,0,0.0,-0.29876440904981494
Erpetosuchus,9.712786,9.712786,0,0,1,0,0,0.0,-0.29876440904981494
Erythrosuchus,-63.33496,-61.37537,0,0,0,1,0,1.9595900000000057,-0.15371726318716303
Erythrovenator,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Eshanosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Eucoelophysis,3.836582,8.831093,0,0,1,0,0,4.994510999999999,0.0709249471571555
Eudibamus,15.55887,15.55887,0,0,1,0,0,0.0,-0.29876440904981494
Eudimorphodon,20.34746,39.29812,0,1,1,0,0,18.950659999999996,1.10394694649574
Eumetabolodon,40.04971,42.97892,0,1,0,0,0,2.9292100000000048,-0.0819468348979066
Eunotosaurus,-65.18245,-61.12582,0,0,0,1,0,4.0566300000000055,0.0015038120172494404
Euparkeria,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29876440904981494
Eusaurosphargis,20.93788,27.06795,0,1,1,0,0,6.13007,0.1549780357668375
Euscolosuchus,1.982645,1.982645,0,0,1,0,0,0.0,-0.29876440904981494
Fasolasuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Faxinalipterus,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Feeserpeton,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Feralisaurus,21.05439,21.05439,0,0,1,0,0,0.0,-0.29876440904981494
Fodonyx,21.05439,21.05439,0,0,1,0,0,0.0,-0.29876440904981494
Fraserosphenodon,-1.470099,24.95607,0,1,1,0,0,26.426169,1.6572776148092978
Fraxinisaura,27.72418,27.72418,0,1,0,0,0,0.0,-0.29876440904981494
Fugusuchus,40.04971,40.04971,0,1,0,0,0,0.0,-0.29876440904981494
Fuyuansaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.29876440904981494
Galesphyrus,-61.36501,-58.47538,0,0,0,1,0,2.889629999999997,-0.08487651204120948
Gamatavus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.29876440904981494
Gansurhinus,38.44569,39.6978,0,1,0,0,0,1.2521100000000018,-0.20608431688457382
Garjainia,-60.68525,48.31328,0,1,0,1,0,108.99853,7.769211891974682
Garzapelta,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.29876440904981494
Gecatogomphius,41.45729,41.45729,0,1,0,0,0,0.0,-0.29876440904981494
Gephyrosaurus,34.05859,34.05859,0,1,0,0,0,0.0,-0.29876440904981494
Glaurung,27.6348,27.6348,0,1,0,0,0,0.0,-0.29876440904981494
Gnathovorax,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.050003139396048814
Gojirasaurus,1.357201,1.357201,0,0,1,0,0,0.0,-0.29876440904981494
Gomphiosauridion,1.982645,1.982645,0,0,1,0,0,0.0,-0.29876440904981494
Gondwanax,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.29876440904981494
Gorgetosuchus,-0.5164049,-0.5164049,0,0,1,0,0,0.0,-0.29876440904981494
Gracilisuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Grallator,3.837634,3.837634,0,0,1,0,0,0.0,-0.29876440904981494
Graoullyodon,37.62532,37.62532,0,1,0,0,0,0.0,-0.29876440904981494
Gresslyosaurus,29.0864,32.59323,0,1,0,0,0,3.5068299999999972,-0.039191905349795185
Guaibasaurus,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Gualosuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Guchengosuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.29876440904981494
Gyposaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Halazhaisuchus,42.97892,42.97892,0,1,0,0,0,0.0,-0.29876440904981494
Haligonia,10.58739,35.96879,0,1,1,0,0,25.3814,1.5799447229616272
Helveticosaurus,20.93788,20.93788,0,0,1,0,0,0.0,-0.29876440904981494
Hemilopas,29.45002,29.56131,0,1,0,0,0,0.11129000000000033,-0.29052682013424863
Hemiprotosuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Heptasuchus,9.714393,9.714393,0,0,1,0,0,0.0,-0.29876440904981494
Herrerasaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Hesperosuchus,1.353064,8.831093,0,0,1,0,0,7.478028999999999,0.25475278746993546
Heterodontichnites,1.357201,1.722526,0,0,1,0,0,0.3653249999999999,-0.2717233705865276
Heteropelta,26.0552,26.0552,0,1,0,0,0,0.0,-0.29876440904981494
Horaffia,25.88766,27.72418,0,1,0,0,0,1.8365200000000002,-0.16282679744755285
Hovasaurus,-50.09196,-37.33496,0,0,0,1,0,12.756999999999998,0.6454976252378903
Howesia,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29876440904981494
Hupehsuchus,15.35236,20.78674,0,0,1,0,0,5.434380000000003,0.10348366760554477
Hwiccewyrm,24.95607,24.95607,0,1,0,0,0,0.0,-0.29876440904981494
Hyperodapedon,-52.00118,10.58739,0,0,1,1,0,62.58857,4.333987055350785
Hypselorhachis,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.29876440904981494
Hypsognathus,10.58739,35.96879,0,1,1,0,0,25.3814,1.5799447229616272
Hypuronector,6.739012,6.739012,0,0,1,0,0,0.0,-0.29876440904981494
Icarosaurus,6.739012,6.739012,0,0,1,0,0,0.0,-0.29876440904981494
Idiosaura,1.982645,1.982645,0,0,1,0,0,0.0,-0.29876440904981494
Ignotosaurus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Incertovenator,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.29876440904981494
Indosauriscus,-42.23717,-42.23717,0,0,0,1,0,0.0,-0.29876440904981494
Ingentia,-52.85442,-52.85442,0,0,0,1,0,0.0,-0.29876440904981494
Issi,40.08932,40.08932,0,1,0,0,0,0.0,-0.29876440904981494
Ixalerpeton,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.050003139396048814
Jaklapallisaurus,-25.48265,-25.48265,0,0,0,1,0,0.0,-0.29876440904981494
Jaxtasuchus,27.72418,27.72418,0,1,0,0,0,0.0,-0.29876440904981494
Jesairosaurus,-3.863414,-3.863414,0,0,1,0,0,0.0,-0.29876440904981494
Jingshanosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Jupijkam,13.4263,13.4263,0,0,1,0,0,0.0,-0.29876440904981494
Jushatyria,46.885,46.885,0,1,0,0,0,0.0,-0.29876440904981494
Kadimakara,-54.016,-54.016,0,0,0,1,0,0.0,-0.29876440904981494
Kahneria,1.681402,1.681402,0,0,1,0,0,0.0,-0.29876440904981494
Kalisuchus,-54.016,-54.016,0,0,0,1,0,0.0,-0.29876440904981494
Kapes,21.05439,49.80777,0,1,1,0,0,28.753379999999996,1.8295357470564344
Kholumolumo,-56.03159,-56.03159,0,0,0,1,0,0.0,-0.29876440904981494
Kinelia,40.12712,45.40269,0,1,0,0,0,5.275570000000002,0.09172868965890911
Kitchingnathus,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.29876440904981494
Kocurypelta,38.38995,38.38995,0,1,0,0,0,0.0,-0.29876440904981494
Koilamasuchus,-54.97644,-54.97644,0,0,0,1,0,0.0,-0.29876440904981494
Koiloskiosaurus,26.46257,26.46257,0,1,0,0,0,0.0,-0.29876440904981494
Kranosaura,-25.48265,-25.48265,0,0,0,1,0,0.0,-0.29876440904981494
Krzyzanowskisaurus,1.353064,1.722526,0,0,1,0,0,0.36946199999999996,-0.27141715344802736
Kudnu,-54.016,-54.016,0,0,0,1,0,0.0,-0.29876440904981494
Kuehneosaurus,24.95607,35.96879,0,1,0,0,0,11.012719999999998,0.5163875381353303
Kuehneosuchus,35.96879,35.96879,0,1,0,0,0,0.0,-0.29876440904981494
Kuruxuchampsa,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Labidosaurikos,-1.18553,2.461234,0,0,1,0,0,3.646764,-0.028834112490500798
Labidosauriscus,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Labidosaurus,-1.18553,1.059264,0,0,1,0,0,2.2447939999999997,-0.13260671139387423
Lagerpeton,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Lanceirosphenodon,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Langeronyx,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.21337224036940333
Langobardisaurus,20.34746,32.92995,0,1,1,0,0,12.582489999999996,0.63258054695902
Lanthaniscus,42.68761,42.68761,0,1,0,0,0,0.0,-0.29876440904981494
Lanthanolania,42.68761,42.68761,0,1,0,0,0,0.0,-0.29876440904981494
Lanthanosuchus,40.12712,40.12712,0,1,0,0,0,0.0,-0.29876440904981494
Laquintasaura,-7.284298,-7.284298,0,0,1,0,0,0.0,-0.29876440904981494
Largocephalosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.29876440904981494
Lasasaurus,-37.33496,-37.33496,0,0,0,1,0,0.0,-0.29876440904981494
Lepidus,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.29876440904981494
Leptopleuron,28.80492,28.80492,0,1,0,0,0,0.0,-0.29876440904981494
Leptosuchus,-1.470099,3.84681,0,0,1,0,0,5.316909,0.0947885664508992
Lessemsaurus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Lewisuchus,-52.00118,-49.98075,0,0,0,1,0,2.0204299999999975,-0.1492139393519309
Leyesaurus,-52.85442,-52.85442,0,0,0,1,0,0.0,-0.29876440904981494
Libognathus,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.29876440904981494
Liliensternus,30.98263,42.70672,0,1,0,0,0,11.724089999999997,0.5690425262462689
Litorosuchus,18.78245,18.78245,0,0,1,0,0,0.0,-0.29876440904981494
Lophostropheus,35.75617,35.75617,0,1,0,0,0,0.0,-0.29876440904981494
Lotosaurus,17.90808,18.30839,0,0,1,0,0,0.4003099999999975,-0.2691338113430101
Lucasuchus,-0.5164049,-0.5164049,0,0,1,0,0,0.0,-0.29876440904981494
Lucianosaurus,1.357201,1.357201,0,0,1,0,0,0.0,-0.29876440904981494
Lucianovenator,-52.85442,-52.85442,0,0,0,1,0,0.0,-0.29876440904981494
Lufengosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Lukousaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Luperosuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Machaeroprosopus,-1.470099,8.831093,0,0,1,0,0,10.301191999999999,0.46372085500193994
Macrocnemus,18.78245,25.88766,0,1,1,0,0,7.10521,0.22715704965061212
Macrocollum,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Macroleter,2.689371,42.68761,0,1,1,0,0,39.998239,2.661870420931046
Maehary,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Malerisaurus,-1.470099,-1.470099,0,0,1,0,0,0.0,-0.29876440904981494
Malutinisuchus,51.56832,56.83089,0,1,0,0,0,5.262569999999997,0.09076644097616668
Mambawakale,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.29876440904981494
Mandaphon,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.29876440904981494
Mandasuchus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.29876440904981494
Marasuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.29876440904981494
Marcianosuchus,22.98052,22.98052,0,0,1,0,0,0.0,-0.29876440904981494
Massospondylus,-49.50568,-49.50568,0,0,0,1,0,0.0,-0.29876440904981494
Mbiresaurus,-47.03927,-47.03927,0,0,0,1,0,0.0,-0.29876440904981494
Megachirella,24.48539,24.48539,0,1,0,0,0,0.0,-0.29876440904981494
Megalancosaurus,20.34746,32.92995,0,1,1,0,0,12.582489999999996,0.63258054695902
Megalosaurus,37.62532,37.62532,0,1,0,0,0,0.0,-0.29876440904981494
Megapnosaurus,12.36827,12.36827,0,0,1,0,0,0.0,-0.29876440904981494
Melanorosaurus,-56.03159,-56.03159,0,0,0,1,0,0.0,-0.29876440904981494
Mesodapedon,-39.82536,-39.82536,0,0,0,1,0,0.0,-0.29876440904981494
Mesosuchus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.29876440904981494
Metamosaurus,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Microcnemus,27.55627,47.7835,0,1,0,0,0,20.227229999999995,1.1984375465671249
Microleter,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Micromenodon,1.982645,1.982645,0,0,1,0,0,0.0,-0.29876440904981494
Microsphenodon,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Milleretta,-63.15948,-60.48301,0,0,0,1,0,2.676470000000002,-0.10065442967300085
Millerinoides,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.29876440904981494
