feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-14.594462659135964,0.7784864795207977,0.38044166564941406,1.0826541185379028,-146.19274025286654,-227.61656236364513,-70.97184062651341,1.0
Temperate_N,none,0_1,none,0.94,-4.714051311067161,-22.77358012702055,10.613358905984205,0.6599579767882824,0.18422675132751465,1.1314448118209839,-62.107679700674105,-119.43006118855189,-15.66157599604081,3.0
Tropical,none,0_1,none,1.0,-14.738702830979358,-40.0,-3.596270778412264,0.41261065021157267,0.08607178181409836,0.6509674191474915,-76.43945949708936,-131.9762424216213,-17.37283588764292,2.0
Temperate_S,none,0_1,none,0.93,-4.528728389041004,-27.97300710093151,3.3661035474981515,0.5876386751234531,0.1138414815068245,0.8842617869377136,-47.539242755070894,-89.55699429241095,-12.840548764991382,5.0
Antarctic,none,0_1,none,0.62,-1.3552547086353117,-23.752574025564357,6.485094812568945,0.08879946324974299,0.04544847831130028,0.1448184847831726,-2.567520103880527,-10.35093035083851,2.144856514220713,8.0
mean_pt_1myr_z_trans,none,none,none,0.98,-8.248737983097044,-33.68875263394227,3.7687657541668207,0.31386682763695717,0.07525324821472168,0.6047150492668152,-29.112302927417478,-59.390528404569025,-0.7542834189081589,6.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.85,-5.694180060366236,-40.0,1.5181229405121246,0.6334863533079624,0.19110500812530518,1.2629438638687134,-71.89032046508684,-130.26288693340837,-17.03962614625688,4.0
246.7-252,none,0_1,none,0.99,16.29551269864949,2.795396229455443,40.0,0.30351259976625444,0.0644131451845169,0.6744134426116943,-26.188670396870087,-62.94535381194528,-0.44824969575869034,7.0
