age	mean_minmax	Mod_R_deltaTMyr_boxcox_minmax
300	0.46453144893876264	0.29501905788047034
299	0.3825119762072271	0.4652460691687084
298	0.19522504440087252	0.682360799085715
297	0.2814010979897934	0.4774114478063284
296	0.40369195214326314	0.5665082476026168
295	0.49387176746077177	0.4886767552621554
294	0.07042810807172728	0.9287248697803581
293	0.12365456194128166	0.3630547276004224
292	0.2922703252781811	0.6530382538165038
291	0.11721415415577452	0.6634447238176872
290	0.22871570236686178	0.5424832041209344
288	0.2874417775003	0.3856425820863427
287	0.537168425416013	0.765410151078816
285	0.2147428186104392	0.8426163643805908
283	0.020143848430864697	0.693184263360175
281	0.28695142639670035	0.7850837732585514
280	0.3369527324921697	0.3488894374925673
279	0.25108342606142875	0.4765305357329562
277	0.09299728309175048	0.6352898037664775
276	0.03714280981247686	0.37407899357003505
275	0.20003351594800245	0.6435064462181423
274	0.2836519522917378	0.46998524493758725
273	0.32578095923977957	0.31082346691066326
272	0.25714135469813204	0.4222531588911553
271	0.12611785476089388	0.5846951892795061
270	0.20367976575991253	0.4516163984029435
269	0.4359723370676445	0.7441403853424775
268	0.17007377897596987	0.7840635466030798
267	0.2367747956206836	0.41545656225500555
266	0.0	0.7497322479778308
265	0.11113003573391511	0.5416220732394355
264	0.17029728518966447	0.38737727063638827
263	0.3531745984422163	0.6756625852854603
262	0.0436519994259319	0.8300507503109706
261	0.4627178487390511	0.9253683787944745
260	0.26396682091152845	0.6991805828439233
259	0.42944539794153647	0.64784899500708
258	0.46632303134513187	0.28199193172910364
257	0.42646178055387285	0.298761850371965
256	0.2907679378306103	0.5940116689935593
255	0.17028637771201405	0.5626057384273623
254	0.22378665978278	0.36422426171223976
253	0.08265423426155305	0.6045304961935735
252	0.6084472843850599	1.0
251	0.9486737984264808	0.8592827224029922
250	0.9701003086135049	0.17088516354204492
249	0.9088757076134373	0.3953274866442571
248	0.8904979700240934	0.14127910682292927
247	0.7300176933257263	0.639409753528383
246	0.6816766197702773	0.3412989101864109
245	0.6347259583808076	0.3347733990657084
244	0.9204474916934333	0.805682663429627
243	0.9483804717277771	0.2238765921496927
242	0.6410584594843831	0.8278643987075474
241	1.0	0.8760407534425565
240	0.8134061484234487	0.6813167523493402
239	0.6171523576122651	0.6955867515415766
238	0.5608306567663086	0.3759936264523699
237	0.5385220291858168	0.1787951946843634
236	0.5196546295108173	0.14629691252260935
235	0.4970220979885598	0.18163447385949594
234	0.5618466330616858	0.40871946160490547
233	0.5535288044934181	0.0
232	0.8235107986234693	0.7886240193481205
231	0.811247980846924	0.06681932632269683
229	0.5421234202200722	0.7876711974213335
227	0.4998483367323474	0.31158174398982713
226	0.24972336935839312	0.7658814931814985
222	0.21705933087661622	0.25627416333089903
217	0.4405488873846761	0.732891796912949
216	0.38981414181359275	0.3521761333115218
215	0.7694620061784421	0.893755742279188
214	0.8465477718401573	0.4501222966740989
213	0.6086150101368943	0.7511625708460614
212	0.5486090372116039	0.3906456717048103
211	0.48336271187196234	0.41024779927912614
210	0.43041055580920506	0.36187816079368823
209	0.44154459566080195	0.04978563289808252
208	0.514023976449578	0.43525716493702743
207	0.5432500419055897	0.23315879103413775
206	0.4652498357795185	0.4529850067971118
205	0.37399598513111254	0.49162791377162607
204	0.43953860318255566	0.41131649820657556
203	0.46173756878225225	0.1778261477617747
202	0.307123028123085	0.6292225800825595
