,id,genus,county,state,occurrence_no
5,4405,Araeoscelis,Archer,Texas,147523
6,4406,Araeoscelis,Archer,Texas,147523
51,4359,Postosuchus,Garza,Texas,149917
52,4360,Postosuchus,Garza,Texas,149917
63,4347,Plateosaurus,Freiburg,Baden-WÃ¼rttemberg,220082
64,4348,Plateosaurus,Freiburg,Baden-WÃ¼rttemberg,220082
65,4344,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083
66,4345,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083
67,4346,Proganochelys,Freiburg,Baden-WÃ¼rttemberg,220083
72,4338,Captorhinus,Baylor,Texas,221283
73,4339,Captorhinus,Baylor,Texas,221283
74,4336,Eoraptor,,San Juan,256434
75,4337,Eoraptor,,San Juan,256434
95,4315,Aetosaurus,,,283826
96,4316,Aetosaurus,,,283826
105,4304,Rothianiscus,Blaine,Oklahoma,287715
106,4305,Rothianiscus,Blaine,Oklahoma,287715
107,4306,Rothianiscus,Blaine,Oklahoma,287715
116,4289,Bolosaurus,Wichita,Texas,295924
117,4290,Bolosaurus,Wichita,Texas,295924
118,4291,Bolosaurus,Wichita,Texas,295924
119,4292,Bolosaurus,Wichita,Texas,295924
120,4293,Bolosaurus,Wichita,Texas,295924
121,4294,Bolosaurus,Wichita,Texas,295924
122,4295,Bolosaurus,Wichita,Texas,295924
129,4281,Captorhinus,Baylor/Willbarger,Texas,296041
130,4282,Captorhinus,Baylor/Willbarger,Texas,296041
139,4268,Araeoscelis,Baylor,Texas,296100
140,4269,Araeoscelis,Baylor,Texas,296100
141,4270,Araeoscelis,Baylor,Texas,296100
142,4271,Araeoscelis,Baylor,Texas,296100
143,4272,Araeoscelis,Baylor,Texas,296100
163,4247,Omphalosaurus,Pershing,Nevada,361674
164,4248,Omphalosaurus,Pershing,Nevada,361674
173,4236,Psephoderma,,Lombardia,382582
174,4237,Psephoderma,,Lombardia,382582
175,4238,Psephoderma,,Lombardia,382582
178,4230,Plateosauravus,Herschel,Eastern Cape,385607
179,4231,Plateosauravus,Herschel,Eastern Cape,385607
180,4232,Plateosauravus,Herschel,Eastern Cape,385607
181,4233,Plateosauravus,Herschel,Eastern Cape,385607
248,4162,Gresslyosaurus,Liestal,Basel-Landschaft,479551
249,4163,Gresslyosaurus,Liestal,Basel-Landschaft,479551
