occurrence_no,locality,county_original,state,cc,notes
1425281,Czechia,Pilsen-North,Pilsen,CZ,
1425282,Czechia,Pilsen-North,Pilsen,CZ,
1425288,Czechia,Pilsen-North,Pilsen,CZ,
1425289,Czechia,Pilsen-North,Pilsen,CZ,
1425291,Czechia,Pilsen-North,Pilsen,CZ,
1315325,Czechia,,Rakovnik,CZ,
1338234,Czechia,,Rakovnik,CZ,
1425279,Czechia,,South Moravia,CZ,
1336075,Czechia,,,CZ,
1338556,Czechia,,,CZ,
1338612,Czechia,,,CZ,
1338793,Czechia,,,CZ,
1338887,Czechia,,,CZ,
1396075,Czechia,,,CZ,
1425274,Czechia,,,CZ,
1546686,Czechia,,,CZ,
728366,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
906409,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
906411,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
906412,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929764,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929765,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929766,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929771,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929772,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929773,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929774,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929776,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929777,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929780,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929781,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929782,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929783,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929795,Baden-Wurttemberg,Hohenlohekreis,Baden-Wurttemberg,DE,
929799,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929800,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
929801,Baden-Wurttemberg,Ludwigsburg,Baden-Wurttemberg,DE,
929802,Baden-Wurttemberg,Ludwigsburg,Baden-Wurttemberg,DE,
929802,Baden-Wurttemberg,Ludwigsburg,Baden-Wurttemberg,DE,
929803,Baden-Wurttemberg,Ludwigsburg,Baden-Wurttemberg,DE,
930385,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930387,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930388,Baden-Wurttemberg,Heilbronn,Baden-Wurttemberg,DE,
930389,Baden-Wurttemberg,Heilbronn,Baden-Wurttemberg,DE,
930389,Baden-Wurttemberg,Heilbronn,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
