accepted_name	min_ma	max_ma	geoplate	paleolng	paleolat	terrestrial
Colobomycter	283.5	290.1	101.0	-29.29	-0.39	1
Labidosauriscus	283.5	290.1	101.0	-29.29	-0.39	1
Dimetropus	283.5	290.1	305.0	21.71	7.41	1
Metamosaurus	283.5	290.1	101.0	-30.3	-0.95	1
Captorhinus	283.5	290.1	101.0	-29.29	-0.39	1
Captorhinus	283.5	290.1	101.0	-27.73	0.45	1
Dimetropus	283.5	290.1	305.0	21.71	7.41	1
Delorhynchus	283.5	290.1	101.0	-29.29	-0.39	1
Captorhinus	273.01	283.5	101.0	-28.93	1.81	1
Captorhinoides	273.01	283.5	101.0	-29.19	1.89	1
Labidosaurus	273.01	283.5	101.0	-28.88	1.73	1
Captorhinus	273.01	283.5	101.0	-28.93	1.77	1
Captorhinus	273.01	283.5	101.0	-28.93	1.77	1
Captorhinus	273.01	283.5	101.0	-28.93	1.77	1
Captorhinus	273.01	283.5	101.0	-28.93	1.77	1
Labidosaurus	273.01	283.5	101.0	-28.93	1.77	1
Labidosaurus	273.01	283.5	101.0	-28.93	1.77	1
Captorhinus	273.01	283.5	101.0	-28.95	1.77	1
Captorhinus	273.01	283.5	101.0	-28.95	1.77	1
Labidosaurus	273.01	283.5	101.0	-28.95	1.77	1
Captorhinus	273.01	283.5	101.0	-28.88	1.73	1
Labidosaurus	273.01	283.5	101.0	-28.88	1.73	1
Bolosaurus	273.01	283.5	101.0	-29.0	1.73	1
Araeoscelis	273.01	283.5	101.0	-29.0	1.73	1
Captorhinus	273.01	283.5	101.0	-29.02	1.77	1
Labidosaurus	273.01	283.5	101.0	-29.02	1.77	1
Labidosaurus	273.01	283.5	101.0	-29.02	1.77	1
Captorhinus	273.01	283.5	101.0	-29.05	1.64	1
Captorhinus	273.01	283.5	101.0	-29.0	1.73	1
Captorhinus	273.01	283.5	101.0	-28.41	1.95	1
Labidosaurus	273.01	283.5	101.0	-28.41	1.95	1
Acleistorhinus	273.01	283.5	101.0	-28.41	1.95	1
Captorhinikos	273.01	283.5	101.0	-26.9	2.21	1
Captorhinikos	273.01	283.5	101.0	-26.9	2.21	1
Labidosaurikos	273.01	283.5	101.0	-26.67	2.98	1
Labidosaurikos	273.01	283.5	101.0	-29.21	1.89	1
Captorhinikos	273.01	283.5	101.0	-29.21	1.89	1
Captorhinikos	273.01	283.5	101.0	-29.19	1.89	1
Labidosaurikos	273.01	283.5	101.0	-29.04	1.83	1
Captorhinus	273.01	283.5	101.0	-29.01	1.8	1
Labidosaurus	273.01	283.5	101.0	-28.95	1.77	1
Captorhinus	273.01	283.5	101.0	-28.95	1.77	1
Captorhinus	273.01	283.5	101.0	-29.0	1.73	1
Captorhinus	273.01	283.5	101.0	-29.23	1.85	1
Labidosaurus	273.01	283.5	101.0	-29.23	1.88	1
Captorhinus	273.01	283.5	101.0	-29.24	1.84	1
Labidosaurikos	273.01	283.5	101.0	-29.08	1.83	1
Labidosaurikos	273.01	283.5	101.0	-29.17	1.9	1
Captorhinikos	273.01	283.5	101.0	-29.17	1.9	1
