occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
789844,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797626,Arkhangelsk,Mezen',Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
797634,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1304819,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Peramodon,264.28,256.8
1304873,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Vivaxosaurus,264.28,256.8
1304874,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Vivaxosaurus,264.28,256.8
1304875,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Vivaxosaurus,264.28,256.8
1304876,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Vivaxosaurus,264.28,256.8
1333312,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Dvinia,264.28,256.8
1333313,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Dvinia,264.28,256.8
1374683,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Alrausuchus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
