Time	map_scaled	mat_scaled	wmmcmm_scaled
293.52	-0.20670862890047653	-0.44079471500973977	-0.8596969403919411
290.1	0.6355313036972414	-0.08067453204821706	-0.028253037810379616
283.5	0.35534889456656527	-0.10914410341107583	0.07393666317364048
272.95	0.7099261738583168	1.4994170932700215	-3.436919248685374
268.8	-1.9482942701861286	-1.93931005477595	0.8637723524359239
265.1	-1.8385145568697447	-1.7577578548971304	0.4764338432749126
259.1	-0.08562780587594598	-0.1757635230065473	0.06366095057252316
254.14	0.1918313486320705	0.2880023737375192	-0.06232513748776859
251.902	-0.01570606007174132	-0.14497814215874028	0.45701948463099706
251.2	-0.44570240732725874	-0.33586836430713585	0.29835991092509184
247.2	-0.6853218197606472	-0.985109238955901	0.7402377178132602
242.0	1.863182427110217	1.0290320677006592	0.6429088101282597
237.0	1.5610408995091238	1.3002438804136032	0.30832531296448507
227.0	0.20147468701307011	0.9737210048816961	0.22920941874872075
208.5	-0.29246018539464935	0.8789841085669367	0.2333298997076235
