Time	map_minmax	mat_minmax	wmmcmm_log_minmax
293.52	0.4569319924010129	0.43577616811433534	0.6719710886874797
290.1	0.6779066957738964	0.5405010175884084	0.8388399693797775
283.5	0.6043964971337155	0.5322219160089079	0.8581697439636926
272.95	0.6974253432875615	1.0	0.0
268.8	0.0	0.0	1.0
265.1	0.028802409678709395	0.05279633773269432	0.9320561973294001
259.1	0.4886994234102118	0.5128486372556553	0.8562368325707901
254.14	0.5614951339821355	0.6477142072115611	0.8323414042224142
251.902	0.5070444774030127	0.5218011884533567	0.9285715205658764
251.2	0.394228269564058	0.4662893045701392	0.8997981045519499
247.2	0.3313604019464069	0.27748663233204357	0.9786503436420535
242.0	1.0	0.863209552454124	0.9616213394336777
237.0	0.9207284862018397	0.9420793787115105	0.9016210715324302
227.0	0.5640252133048924	0.847124803522999	0.8870893927235945
208.5	0.4344337421677109	0.8195748141705164	0.8878495774364161
