accepted_name,terrestrial,paleolat_normalized
Cosesaurus,1.0,0.5
Crosbysaurus,1.0,0.1
Ctenosauriscus,1.0,0.8
Cyamodus,0.0,0.7
Cymatosaurus,0.0,0.8
Cymbospondylus,0.0,0.7
Czatkowiella,1.0,0.8
Dactylosaurus,0.0,0.8
Daemonosaurus,1.0,0.2
Dagasuchus,1.0,-1.4
Dawazisaurus,0.0,-0.5
Decuriasuchus,1.0,-1.3
Delatorrichnus,1.0,1.3
Delorhynchus,1.0,-0.2
Deltadectes,1.0,0.9
Deltavjatia,1.0,1.1
Desmatosuchus,1.0,0.2
Deuterotetrapous,1.0,0.8
Deuterotrisauropus,1.0,0.9
Diandongosaurus,0.0,-0.5
Diandongosuchus,1.0,-0.4
Dianmeisaurus,0.0,-0.5
Dianopachysaurus,0.0,-0.5
Dijaquesopus,0.0,-1.8
Dilophosauripus,1.0,0.7
Dimetropus,1.0,0.3
Dimorphodon,0.0,1.0
Dinocephalosaurus,0.0,-0.5
Diphydontosaurus,1.0,0.9
Dolabrosaurus,1.0,0.2
Dolerosaurus,1.0,0.4
Dolichobrachium,1.0,0.7
Doliovertebra,0.0,0.8
Dongusuchus,1.0,1.2
Dorosuchus,1.0,1.2
Doswellia,1.0,0.2
Dracoraptor,1.0,1.0
Drepanosaurus,1.0,0.4
Dromomeron,1.0,0.0
Dromopus,1.0,0.0
Dyoplax,1.0,0.8
Ebrachosuchus,1.0,0.8
Effigia,1.0,0.2
Efraasia,1.0,0.9
Eifelosaurus,1.0,0.8
Elachistosuchus,1.0,1.1
Elessaurus,1.0,-1.3
Elginia,1.0,0.7
Embrithosaurus,1.0,-1.9
Emeroleter,1.0,1.1
Endennasaurus,0.0,0.6
Energosuchus,1.0,1.2
Eodromaeus,1.0,-1.3
Eohupehsuchus,1.0,-0.4
Eohyosaurus,1.0,-1.8
Eomurruna,1.0,-2.4
Eoplesiosaurus,0.0,1.0
Eoraptor,1.0,-1.4
Eorasaurus,1.0,1.0
Eorhynchochelys,1.0,-0.1
Eosauropus,1.0,0.4
Eretmorhipis,1.0,-0.2
Erpetosuchus,1.0,0.3
Erythrosuchus,1.0,-1.8
Erythrovenator,1.0,-1.4
Eshanosaurus,1.0,1.0
Eubrontes,1.0,0.5
Eucoelophysis,1.0,0.2
Eudibamus,1.0,0.1
Eudimorphodon,0.0,0.7
Eumetabolodon,1.0,0.4
Eunotosaurus,1.0,-1.9
Euparkeria,1.0,-1.8
Eurhinosaurus,0.0,1.1
Eurycleidus,0.0,1.0
Eusaurosphargis,1.0,0.6
Euscolosuchus,1.0,0.3
Evazoum,1.0,0.1
Fasolasuchus,1.0,-1.5
Faxinalipterus,1.0,-1.4
Feeserpeton,1.0,-0.2
Feralisaurus,1.0,0.8
Fodonyx,1.0,0.8
Fraserosphenodon,1.0,0.5
Fraxinisaura,1.0,0.8
Fugusuchus,1.0,0.3
Fuyuansaurus,1.0,-0.4
Galesphyrus,1.0,-1.8
Gamatavus,1.0,-1.3
Gansurhinus,1.0,0.5
Garjainia,1.0,-0.2
Garzapelta,1.0,0.1
Gecatogomphius,1.0,0.7
Gephyrosaurus,1.0,1.0
Germanosaurus,0.0,0.8
Glaurung,1.0,0.7
Glyphoderma,0.0,-0.4
Gnathovorax,1.0,-1.4
Gojirasaurus,1.0,0.2
Gomphiosauridion,1.0,0.3
Gorgetosuchus,1.0,0.2
Gracilisuchus,1.0,-1.3
Grallator,1.0,0.4
Graoullyodon,1.0,1.0
Gregaripus,1.0,0.2
Gresslyosaurus,1.0,0.8
Grippia,0.0,1.5
Guaibasaurus,1.0,-1.4
Gualosuchus,1.0,-1.3
Guanlingsaurus,0.0,0.1
Guchengosuchus,1.0,0.4
Guizhouichthyosaurus,0.0,-0.2
Gulosaurus,0.0,1.1
Gunakadeit,0.0,1.2
Gwyneddichnium,1.0,0.3
Gyposaurus,1.0,1.1
Halazhaisuchus,1.0,0.4
Haligonia,1.0,0.8
Hamatopus,1.0,0.8
Hanosaurus,0.0,-0.4
Helcura,1.0,0.5
Helveticosaurus,1.0,0.4
Hemilopas,1.0,0.8
Hemiprotosuchus,1.0,-1.5
Henodus,0.0,0.8
Heptasuchus,1.0,0.6
Herrerasaurus,1.0,-1.3
Hescheleria,0.0,0.4
Hesperosuchus,1.0,0.2
Heterodontichnites,1.0,0.2
Heteropelta,1.0,0.3
Himalayasaurus,0.0,-1.2
Hispaniasaurus,0.0,0.4
Honghesaurus,0.0,-0.5
Horaffia,1.0,0.8
Hovasaurus,1.0,-1.4
