,genus,county,state,occurrence_no,age_max,age_min
315,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14
316,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14
323,Mycterosaurus,Baylor,Texas,787993,290.1,273.01
324,Mycterosaurus,Baylor,Texas,787993,290.1,273.01
325,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
326,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
327,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
328,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
329,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
330,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
331,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
332,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
333,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
334,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
335,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
336,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
337,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
338,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
339,Cotylorhynchus,Knox,Texas,788180,283.5,266.9
340,Gorgodon,Knox,Texas,788182,283.5,266.9
341,Gorgodon,Knox,Texas,788182,283.5,266.9
342,Knoxosaurus,Knox,Texas,788184,283.5,266.9
343,Knoxosaurus,Knox,Texas,788184,283.5,266.9
346,Angelosaurus,Knox,Texas,788190,283.5,266.9
347,Angelosaurus,Knox,Texas,788190,283.5,266.9
349,Caseoides,Knox,Texas,788192,283.5,266.9
350,Caseoides,Knox,Texas,788192,283.5,266.9
352,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9
353,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9
354,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9
355,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9
358,Cotylorhynchus,Knox,Texas,788199,283.5,266.9
359,Cotylorhynchus,Knox,Texas,788199,283.5,266.9
360,Cotylorhynchus,Knox,Texas,788199,283.5,266.9
361,Cotylorhynchus,Knox,Texas,788199,283.5,266.9
370,Cotylorhynchus,Knox,Texas,788509,283.5,266.9
371,Cotylorhynchus,Knox,Texas,788509,283.5,266.9
372,Cotylorhynchus,Knox,Texas,788509,283.5,266.9
374,Cotylorhynchus,Knox,Texas,788517,283.5,266.9
375,Cotylorhynchus,Knox,Texas,788517,283.5,266.9
378,Dimacrodon,Hardeman,Texas,788527,283.5,266.9
379,Dimacrodon,Hardeman,Texas,788527,283.5,266.9
380,Dimacrodon,Hardeman,Texas,788527,283.5,266.9
381,Cotylorhynchus,Knox,Texas,788965,283.5,266.9
382,Cotylorhynchus,Knox,Texas,788965,283.5,266.9
383,Cotylorhynchus,Knox,Texas,788965,283.5,266.9
393,Ophiacodon,Rio Arriba,New Mexico,789382,298.9,286.1
394,Ophiacodon,Rio Arriba,New Mexico,789382,298.9,286.1
397,Sinophoneus,,Gansu,789658,273.01,266.9
398,Sinophoneus,,Gansu,789658,273.01,266.9
399,Sinophoneus,,Gansu,789658,273.01,266.9
400,Sinophoneus,,Gansu,789658,273.01,266.9
401,Biseridens,,Gansu,789659,273.01,266.9
402,Biseridens,,Gansu,789659,273.01,266.9
403,Biseridens,,Gansu,789659,273.01,266.9
404,Varanosaurus,Baylor,Texas,789745,283.5,273.01
405,Varanosaurus,Baylor,Texas,789745,283.5,273.01
413,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7
414,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7
415,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7
416,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7
417,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7
419,Ophiacodon,Archer,Texas,789971,298.9,286.1
420,Ophiacodon,Archer,Texas,789971,298.9,286.1
422,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
423,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
424,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
425,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
426,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
427,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52
471,Archaeothyris,Jefferson,Ohio,791558,309.8,307.4
472,Archaeothyris,Jefferson,Ohio,791558,309.8,307.4
473,Ophiacodon,Archer,Texas,791563,290.1,283.5
474,Ophiacodon,Archer,Texas,791563,290.1,283.5
489,Casea,Knox,Texas,794392,283.5,273.01
490,Casea,Knox,Texas,794392,283.5,273.01
494,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
495,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
496,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
497,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
498,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
499,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
500,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
501,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
502,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
503,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
504,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
505,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
506,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
507,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
508,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14
512,Diictodon,Beaufort West,Western Cape,794757,259.51,254.14
513,Diictodon,Beaufort West,Western Cape,794757,259.51,254.14
515,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14
516,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14
517,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14
