genus	rotated_lat_scaled
Kawingasaurus	-0.35
Kembawacela	-0.35
Kenomagnathus	0.93
Keratocephalus	-0.74
Keyseria	-0.69
Kitchinganomodon	-0.635
Knoxosaurus	0.92
Kombuisia	-0.76
Kotelcephalon	2.09
Kuehneotherium	1.9125
Kunpania	2.54
Kwazulusaurus	-0.76
Lalieudorhynchus	1.22
Langbergia	-0.6672727272727272
Lanthanostegus	-0.81
Lemurosaurus	-0.75
Lende	-0.35
Leogorgon	2.075
Leontosaurus	-0.69
Lepagia	1.9400000000000002
Leucocephalus	-0.69
Lisowicia	1.93
Lobalopex	-0.69
Lophorhinus	-0.69
Luangwa	-0.3383333333333334
Lumkuia	-0.76
Lupeosaurus	0.84
Lycaenodon	-0.72
Lycaenops	-0.6204761904761904
Lycedops	-0.74
Lycideops	-0.71
Lycosaurus	-0.745
Lycosuchus	-0.72
Lystrosaurus_Temperate_N	2.479
Lystrosaurus_Temperate_S	-0.5874603174603175
Macromerion	1.34
Madysaurus	2.32
Malasaurus	2.09
Mandagomphodon	-0.31
Martensius	1.33
Massetognathus	-0.41444444444444445
Mastersonia	0.92
Maubeugia	1.91
Megawhaitsia	2.045
Melanedaphodon	0.9
Menadon	-0.262
Mesenosaurus_Temperate_N	2.05
Mesenosaurus_Tropical_S	0.9
Meurthodon	1.91
Microconodon	0.9566666666666667
Microgomphodon	-0.711111111111111
Microhelodon	-0.71
Microscalenodon	1.91
Microsyodon	1.93
Microurania	2.0599999999999996
Microvaranops	-0.74
Microwhaitsia	-0.69
Milosaurus	0.93
Minicynodon	-0.3
Mirotenthes	-0.69
Mitredon	2.16
Mobaceras	-0.62
Moghreberia	1.06
Mojo	1.91
Molybdopygus	2.06
Morganucodon	1.91
Mormosaurus	-0.79
Moschops	-0.7373684210526316
Moschorhinus	-0.7176923076923077
Moschowhaitsia	2.03
Muchia	2.09
Mucrotherium	1.91
Mupashi	-0.41
Mycterosaurus	0.855
Myosauroides	-0.75
Myosaurus	-0.69
Nanictidops	-0.75
