,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
85,295992,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
86,295994,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
87,296001,Texas,Baylor,Texas,US,,Varanosaurus,290.1,273.01
88,296002,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
89,296003,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
90,296004,Texas,Baylor,Texas,US,,Glaucosaurus,290.1,273.01
91,296009,Texas,Baylor/Wilbarger,Texas,US,,Dimetrodon,283.5,273.01
92,296013,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
93,296014,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
94,296020,Texas,Baylor,Texas,US,,Ophiacodon,290.1,273.01
95,296022,Texas,Baylor,Texas,US,,Secodontosaurus,290.1,273.01
96,296023,Texas,Baylor,Texas,US,,Dimetrodon,290.1,273.01
97,296046,Texas,Baylor/Willbarger,Texas,US,,Varanosaurus,283.5,273.01
98,296047,Texas,Baylor/Willbarger,Texas,US,,Tetraceratops,283.5,273.01
99,296048,Texas,Baylor/Willbarger,Texas,US,,Dimetrodon,283.5,273.01
100,296049,Texas,Baylor/Willbarger,Texas,US,,Dimetrodon,283.5,273.01
101,296050,Texas,Baylor/Willbarger,Texas,US,,Edaphosaurus,283.5,273.01
102,296051,Texas,Baylor/Willbarger,Texas,US,,Edaphosaurus,283.5,273.01
103,296066,Texas,Baylor,Texas,US,,Varanops,283.5,273.01
104,296067,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
105,296068,Texas,Baylor,Texas,US,,Dimetrodon,283.5,273.01
106,296069,Texas,Baylor,Texas,US,,Edaphosaurus,283.5,273.01
107,296070,Texas,Baylor,Texas,US,,Casea,283.5,273.01
108,296075,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
109,296076,Texas,Baylor,Texas,US,,Dimetrodon,283.5,273.01
110,296094,Texas,Baylor,Texas,US,,Edaphosaurus,283.5,273.01
111,296095,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
112,296096,Texas,Baylor,Texas,US,,Dimetrodon,283.5,273.01
113,296098,Texas,Baylor,Texas,US,,Trichasaurus,283.5,273.01
114,296110,Texas,Baylor,Texas,US,,Dimetrodon,283.5,273.01
115,296118,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
116,296119,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
117,296123,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
118,296130,Texas,Wilbarger,Texas,US,,Dimetrodon,283.5,273.01
119,296131,Texas,Wilbarger,Texas,US,,Dimetrodon,283.5,273.01
120,296134,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
121,296137,Texas,Baylor,Texas,US,,Ophiacodon,283.5,273.01
122,296145,Texas,Archer,Texas,US,,Dimetrodon,293.52,283.5
123,299696,Orenburg,Sol'-Iletsk,Orenburg,RU,,Rhadiodromus,247.2,242.0
124,299717,Tatarstan,Tetyushi,Tatarstan,RU,,Inostrancevia,264.28,254.14
125,299718,Tatarstan,Tetyushi,Tatarstan,RU,,Vivaxosaurus,264.28,254.14
126,338260,Western Cape,Beaufort West,Western Cape,ZA,,Gorgonops,264.28,259.51
127,343884,North Carolina,Durham,North Carolina,US,,Plinthogomphodon,237.0,208.5
128,346292,Texas,Archer,Texas,US,,Edaphosaurus,298.9,290.1
129,346293,Texas,Archer,Texas,US,,Dimetrodon,298.9,290.1
130,366211,Marrakech,,Marrakech,MA,,Moghreberia,237.0,201.4
131,366211,Marrakech,,Marrakech,MA,,Moghreberia,237.0,201.4
132,366442,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
133,366442,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
134,366442,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
135,366442,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
136,366442,San Juan,,San Juan,AR,,Ischigualastia,237.0,227.0
137,367509,Texas,Baylor,Texas,US,,Dimetrodon,283.5,273.01
138,367510,New Mexico,Rio Arriba,New Mexico,US,,Elcabrosaurus,303.7,298.9
139,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
140,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
141,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
142,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
143,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
144,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
145,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
146,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
147,367591,New Mexico,Rio Arriba,New Mexico,US,,Ophiacodon,303.7,298.9
148,368038,KwaZulu-Natal,Bergville,KwaZulu-Natal,ZA,,Olivierosuchus,251.902,247.2
149,368040,KwaZulu-Natal,Bergville,KwaZulu-Natal,ZA,,Thrinaxodon,251.902,247.2
150,368042,KwaZulu-Natal,Bergville,KwaZulu-Natal,ZA,,Tetracynodon,251.902,247.2
151,380706,Lorraine,Meuthe-et-Moselle,Lorraine,FR,,Brachyzostrodon,208.5,201.4
152,382160,Rio Grande do Sul,,Rio Grande do Sul,BR,,Stahleckeria,242.0,237.0
153,382161,Rio Grande do Sul,,Rio Grande do Sul,BR,,Dinodontosaurus,242.0,237.0
