id,Rotated Lat,Rotated Lon,genus,locality
3422,-0.4818,-24.8936,Edaphosaurus,West Virginia
3421,-2.9808,-38.7628,Ophiacodon,Texas
3420,-49.4771,-10.0175,Therioherpeton,Rio Grande do Sul
3419,5.8574,-44.6091,Ophiacodon,Utah
3418,-1.4701,-41.4649,Adelobasileus,Texas
3417,-49.9808,-33.9335,Massetognathus,La Rioja
3416,-0.5219,-37.7808,Ophiacodon,Oklahoma
3415,-2.7466,-38.9219,Edaphosaurus,Texas
3414,-0.73,-37.6741,Ophiacodon,Texas
3413,-0.73,-37.6741,Dimetrodon,Texas
3401,-60.8508,-19.3342,Diictodon,Western Cape
3402,-60.8508,-19.3342,Diictodon,Western Cape
3403,-60.8508,-19.3342,Diictodon,Western Cape
3404,-60.8508,-19.3342,Diictodon,Western Cape
3405,-60.8508,-19.3342,Diictodon,Western Cape
3406,-60.8508,-19.3342,Diictodon,Western Cape
3407,-60.8508,-19.3342,Diictodon,Western Cape
3408,-60.8508,-19.3342,Diictodon,Western Cape
3409,-60.8508,-19.3342,Diictodon,Western Cape
3410,-60.8508,-19.3342,Diictodon,Western Cape
3411,-60.8508,-19.3342,Diictodon,Western Cape
3412,-60.8508,-19.3342,Diictodon,Western Cape
3399,-52.0012,-29.5316,Ischigualastia,San Juan
3398,-52.0012,-29.5316,Exaeretodon,San Juan
3397,-49.9808,-33.9335,Dinodontosaurus,La Rioja
3396,-49.9808,-33.9335,Jachaleria,La Rioja
3395,-49.9808,-33.9335,Dinodontosaurus,La Rioja
3394,-49.9808,-33.9335,Chiniquodon,La Rioja
3393,-49.9808,-33.9335,Massetognathus,La Rioja
3392,-49.9808,-33.9335,Probainognathus,La Rioja
3387,2.6894,-35.9903,Cotylorhynchus,Oklahoma
3386,2.6894,-35.9903,Cotylorhynchus,Oklahoma
3385,2.6894,-35.9903,Angelosaurus,Oklahoma
3384,2.6894,-35.9903,Cotylorhynchus,Oklahoma
3383,2.6894,-35.9903,Varanodon,Oklahoma
3382,2.6894,-35.9903,Cotylorhynchus,Oklahoma
3381,2.6894,-35.9903,Angelosaurus,Oklahoma
3380,40.1271,34.4515,Ulemosaurus,Tatarstan
3379,40.1271,34.4515,Ulemica,Tatarstan
3377,44.0349,28.9755,Elph,Arkhangelsk
3378,44.0349,28.9755,Elph,Arkhangelsk
3376,44.0349,28.9755,Elph,Arkhangelsk
3375,-2.9673,-38.9083,Dimetrodon,Texas
3374,-2.9673,-38.9083,Ophiacodon,Texas
3373,-2.9673,-38.9083,Dimetrodon,Texas
3372,-2.9673,-38.9083,Ophiacodon,Texas
3371,-2.9673,-38.9083,Dimetrodon,Texas
3370,-2.9673,-38.9083,Dimetrodon,Texas
