id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
2351,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2352,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2353,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2354,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2355,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2356,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2357,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2358,851246,851246,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2359,873711,873711,27.06795,Eusaurosphargis,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2360,873713,873713,27.06795,Amotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2361,877604,877604,48.82432,Sarmatosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2362,877605,877605,48.82432,Vjushkovisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2363,877610,877610,48.82432,Uralosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2364,877687,877687,48.82432,Uralosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2365,877701,877701,48.82432,Dorosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2366,877774,877774,48.82432,Dongusuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2367,879452,879452,46.885,Dongusuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2368,879453,879453,46.885,Uralosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2369,879454,879454,46.885,Vjushkovisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2370,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2371,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2372,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2373,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2374,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2375,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2376,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2377,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2378,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2379,880670,880670,17.90808,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2380,880672,880672,18.30839,Lotosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2381,880673,880673,23.39688,Rhombopholis,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2382,880676,880676,23.39688,Langeronyx,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2383,880677,880677,23.39688,Bromsgroveia,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2384,899258,899258,42.97892,Halazhaisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2385,902067,902067,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2386,902068,902068,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2387,902069,902069,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2388,902069,902069,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2389,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2390,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2391,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2392,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2393,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2394,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2395,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2396,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2397,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2398,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2399,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2400,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2401,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2402,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2403,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2404,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2405,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2406,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2407,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2408,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2409,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2410,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2411,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2412,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2413,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2414,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2415,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2416,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2417,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2418,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2419,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
