stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Ladinian,-237.857557,0.051211134,0.000186485,0.153761059,0.123409977,0.002142363,0.313782194,-0.072198843,-0.336609728,0.104561467
Ladinian,-237.857567,0.051211134,0.000186485,0.153761059,0.123409977,0.002142363,0.313782194,-0.072198843,-0.336609728,0.104561467
Ladinian,-237.9815364,0.051211134,0.000186485,0.153761059,0.123409977,0.002142363,0.313782194,-0.072198843,-0.336609728,0.104561467
Ladinian,-237.9815464,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.1055158,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.1055258,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.2294952,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.2295052,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.3534746,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.3534846,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.477454,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.477464,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.6014334,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
