Time	map_minmax	mat_minmax	wmmcmm_boxcox_minmax
201.3	0.4344337421677109	0.8195748141705164	0.5663623463522902
208.5	0.5640252133048924	0.847124803522999	0.5641779932750038
227.0	0.9207284862018397	0.9420793787115105	0.6074135617053819
237.0	1.0	0.863209552454124	0.8234584663070157
242.0	0.3313604019464069	0.27748663233204357	0.8976086879585924
247.2	0.394228269564058	0.4662893045701392	0.6018150169074258
251.2	0.5070444774030127	0.5218011884533567	0.6964537394761784
251.902	0.5614951339821355	0.6477142072115611	0.4269074041937712
254.14	0.4886994234102118	0.5128486372556553	0.48221116459158175
259.1	0.028802409678709395	0.05279633773269432	0.7088720562397126
265.1	0.0	0.0	1.0000000000000002
268.8	0.6974253432875615	1.0	0.0
272.95	0.6043964971337155	0.5322219160089079	0.48698176289339673
283.5	0.6779066957738964	0.5405010175884084	0.44129654422357073
290.1	0.4569319924010129	0.43577616811433534	0.187054517362959
