stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.0447645,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.0447745,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.168824,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.168834,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.2928834,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.2928934,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.4169428,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.4169528,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.5410022,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.5410122,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.6650617,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.6650717,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.7891211,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.7891311,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.9131805,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-235.9131905,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.03724,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.03725,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.1612994,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.1613094,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.2853588,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.2853688,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.4094183,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.4094283,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.5334777,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.5334877,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.6575371,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.6575471,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.7815966,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.7816066,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.905656,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Carnian,-236.905666,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.0297154,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.0297254,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.1537748,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.1537848,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.2778343,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-237.2778443,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
