Time,mean_z_trans,Mod_R_deltaTMyr_z_trans,208-217,217-227,227-237,237-242,242-246.7,246.7-252,252-259.5,259.5-264.3,264.3-274.4,274.4-283.5,283.5-290.1
208,,,1,0,0,0,0,0,0,0,0,0,0
209,,,1,0,0,0,0,0,0,0,0,0,0
210,,,1,0,0,0,0,0,0,0,0,0,0
211,,,1,0,0,0,0,0,0,0,0,0,0
212,,,1,0,0,0,0,0,0,0,0,0,0
213,,,1,0,0,0,0,0,0,0,0,0,0
214,,,1,0,0,0,0,0,0,0,0,0,0
215,,,1,0,0,0,0,0,0,0,0,0,0
216,,,1,0,0,0,0,0,0,0,0,0,0
217,,,0,1,0,0,0,0,0,0,0,0,0
218,,,0,1,0,0,0,0,0,0,0,0,0
219,,,0,1,0,0,0,0,0,0,0,0,0
220,,,0,1,0,0,0,0,0,0,0,0,0
221,,,0,1,0,0,0,0,0,0,0,0,0
222,,,0,1,0,0,0,0,0,0,0,0,0
223,,,0,1,0,0,0,0,0,0,0,0,0
224,,,0,1,0,0,0,0,0,0,0,0,0
225,,,0,1,0,0,0,0,0,0,0,0,0
226,,,0,1,0,0,0,0,0,0,0,0,0
227,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
228,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
229,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
230,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
231,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
232,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
233,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
234,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
235,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
236,0.382853707,-1.035018983,0,0,1,0,0,0,0,0,0,0,0
237,0.742399336,0.831026493,0,0,0,1,0,0,0,0,0,0,0
238,0.742399336,0.831026493,0,0,0,1,0,0,0,0,0,0,0
239,0.742399336,0.831026493,0,0,0,1,0,0,0,0,0,0,0
240,0.742399336,0.831026493,0,0,0,1,0,0,0,0,0,0,0
241,0.742399336,0.831026493,0,0,0,1,0,0,0,0,0,0,0
242,0.94087146,0.084910612,0,0,0,0,1,0,0,0,0,0,0
243,0.94087146,0.084910612,0,0,0,0,1,0,0,0,0,0,0
244,0.94087146,0.084910612,0,0,0,0,1,0,0,0,0,0,0
245,0.94087146,0.084910612,0,0,0,0,1,0,0,0,0,0,0
246,0.94087146,0.084910612,0,0,0,0,1,0,0,0,0,0,0
247,0.94087146,0.084910612,0,0,0,0,0,1,0,0,0,0,0
248,0.94087146,0.084910612,0,0,0,0,0,1,0,0,0,0,0
249,0.94087146,0.084910612,0,0,0,0,0,1,0,0,0,0,0
250,0.94087146,0.084910612,0,0,0,0,0,1,0,0,0,0,0
251,0.94087146,0.084910612,0,0,0,0,0,1,0,0,0,0,0
251.2,1.590873654,1.430727745,0,0,0,0,0,1,0,0,0,0,0
252,1.590873654,1.430727745,0,0,0,0,0,0,1,0,0,0,0
253,1.590873654,1.430727745,0,0,0,0,0,0,1,0,0,0,0
254,1.590873654,1.430727745,0,0,0,0,0,0,1,0,0,0,0
254.14,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
255,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
256,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
257,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
258,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
259,-0.427245263,-1.475899184,0,0,0,0,0,0,1,0,0,0,0
260,-0.427245263,-1.475899184,0,0,0,0,0,0,0,1,0,0,0
261,-0.427245263,-1.475899184,0,0,0,0,0,0,0,1,0,0,0
262,-0.427245263,-1.475899184,0,0,0,0,0,0,0,1,0,0,0
263,-0.427245263,-1.475899184,0,0,0,0,0,0,0,1,0,0,0
264,-0.427245263,-1.475899184,0,0,0,0,0,0,0,1,0,0,0
265,-0.427245263,-1.475899184,0,0,0,0,0,0,0,0,1,0,0
265.1,-1.435390012,1.184505421,0,0,0,0,0,0,0,0,1,0,0
266,-1.435390012,1.184505421,0,0,0,0,0,0,0,0,1,0,0
267,-1.435390012,1.184505421,0,0,0,0,0,0,0,0,1,0,0
268,-1.435390012,1.184505421,0,0,0,0,0,0,0,0,1,0,0
268.8,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
269,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
270,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
271,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
272,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
273,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
274,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,1,0,0
275,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
276,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
277,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
278,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
279,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
280,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
281,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
282,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
283,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,1,0
284,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
285,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
286,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
287,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
288,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
289,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
290,-0.767960511,-0.712796116,0,0,0,0,0,0,0,0,0,0,1
290.1,-1.026402371,-0.307455988,0,0,0,0,0,0,0,0,0,0,1
