Time	mat_z_trans	map_z_trans	wmm_z_trans	cmm_z_trans	wmmcmm_z_trans	wetmon_z_trans	drymon_z_trans	wetdry_z_trans	208-217	217-227	227-237	237-242	242-246.7	246.7-252	252-259.5	259.5-264.3	264.3-274.4	274.4-283.5	283.5-290.1
198	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
199	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
200	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
201	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
201.3	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
202	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
203	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
204	1.03060274600619	1.92975413779858	0.888025120243565	0.620071777580489	-0.123821317492733	2.91945893285897	0.992888950190947	3.22550483436712	0	0	0	0	0	0	0	0	0	0	0
205	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	0	0	0	0	0	0	0	0	0	0	0
206	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	0	0	0	0	0	0	0	0	0	0	0
207	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	0	0	0	0	0	0	0	0	0	0	0
208	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
208.5	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
209	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
210	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
211	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
212	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
213	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
214	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
215	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
216	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	1	0	0	0	0	0	0	0	0	0	0
217	0.825376907178292	-0.77621298556266	1.14562535433414	0.23921680885187	0.295842048034043	-1.01308190355197	-0.783552858646408	-0.799551660230464	0	1	0	0	0	0	0	0	0	0	0
218	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
219	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
220	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
221	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
222	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
223	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
224	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
225	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
226	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	1	0	0	0	0	0	0	0	0	0
227	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	0	1	0	0	0	0	0	0	0	0
228	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	0	1	0	0	0	0	0	0	0	0
229	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	0	1	0	0	0	0	0	0	0	0
230	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	0	1	0	0	0	0	0	0	0	0
231	0.171043840402369	1.63536720236257	0.0517641284478746	0.122605970963224	-0.0774660716757856	0.999466737961668	0.948073515024479	0.661316457710539	0	0	1	0	0	0	0	0	0	0	0
232	0.00223287103365849	-0.435903942056646	1.66188687438918	-0.859840872351026	1.40971257449602	-0.631854939104918	-0.80598865728657	-0.267594645121624	0	0	1	0	0	0	0	0	0	0	0
