Time	mat_z_trans	map_z_trans	wmm_z_trans	cmm_z_trans	wmmcmm_z_trans	wetmon_z_trans	drymon_z_trans	wetdry_z_trans	208-217	217-227	227-237	237-242	242-246.7	246.7-252	252-259.5	259.5-264.3	264.3-274.4	274.4-283.5	283.5-290.1
201.3	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
202	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
203	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
204	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
205	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
206	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
207	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	0	0	0	0	0	0	0	0	0	0	0
208	1.030602746	1.929754138	0.88802512	0.620071778	-0.123821317	2.919458933	0.99288895	3.225504834	1	0	0	0	0	0	0	0	0	0	0
208.5	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
209	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
210	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
211	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
212	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
213	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
214	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
215	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
216	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	1	0	0	0	0	0	0	0	0	0	0
217	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
218	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
219	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
220	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
221	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
222	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
223	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
224	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
225	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
226	0.825376907	-0.776212986	1.145625354	0.239216809	0.295842048	-1.013081904	-0.783552859	-0.79955166	0	1	0	0	0	0	0	0	0	0	0
227	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
228	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
229	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
230	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
231	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
232	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
233	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
234	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
235	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
236	0.17104384	1.635367202	0.051764128	0.122605971	-0.077466072	0.999466738	0.948073515	0.661316458	0	0	1	0	0	0	0	0	0	0	0
237	0.002232871	-0.435903942	1.661886874	-0.859840872	1.409712574	-0.631854939	-0.805988657	-0.267594645	0	0	0	1	0	0	0	0	0	0	0
238	0.002232871	-0.435903942	1.661886874	-0.859840872	1.409712574	-0.631854939	-0.805988657	-0.267594645	0	0	0	1	0	0	0	0	0	0	0
239	0.002232871	-0.435903942	1.661886874	-0.859840872	1.409712574	-0.631854939	-0.805988657	-0.267594645	0	0	0	1	0	0	0	0	0	0	0
240	0.002232871	-0.435903942	1.661886874	-0.859840872	1.409712574	-0.631854939	-0.805988657	-0.267594645	0	0	0	1	0	0	0	0	0	0	0
241	0.002232871	-0.435903942	1.661886874	-0.859840872	1.409712574	-0.631854939	-0.805988657	-0.267594645	0	0	0	1	0	0	0	0	0	0	0
242	-0.877202301	-0.085789517	-0.222667648	-0.773568899	0.533235343	-0.204664483	0.417469315	-0.58085574	0	0	0	0	1	0	0	0	0	0	0
243	-0.877202301	-0.085789517	-0.222667648	-0.773568899	0.533235343	-0.204664483	0.417469315	-0.58085574	0	0	0	0	1	0	0	0	0	0	0
244	-0.877202301	-0.085789517	-0.222667648	-0.773568899	0.533235343	-0.204664483	0.417469315	-0.58085574	0	0	0	0	1	0	0	0	0	0	0
245	-0.877202301	-0.085789517	-0.222667648	-0.773568899	0.533235343	-0.204664483	0.417469315	-0.58085574	0	0	0	0	1	0	0	0	0	0	0
246	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143	0	0	0	0	0	1	0	0	0	0	0
247	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143	0	0	0	0	0	1	0	0	0	0	0
247.2	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143	0	0	0	0	0	1	0	0	0	0	0
248	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143	0	0	0	0	0	1	0	0	0	0	0
249	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143	0	0	0	0	0	1	0	0	0	0	0
