genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI
Aetobarbakinoides,-0.298764409,0,0,1,0,232.00764617917918,231.49065365465466,0.516992524524511,0.8362347022222222,0.870736198888889,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Aetosauroides,0.136824844,0,0,1,0,237.65991253153152,208.86137063563564,28.79854189589588,0.2353943066666667,0.5779743511111111,1.0479048684333334,0.4811184669333334,0.5482462787000002,1.0196765273,-0.6087386682333336,0.5944174946666667,-0.3727957835333334,0.8583284227333332,1.0479048684333334,0.4811184669333334,0.5482462787000002,1.0196765273,-0.6087386682333336,0.5944174946666667,-0.3727957835333334,0.8583284227333332
Aetosaurus,1.162510882,1,1,0,0,227.49606426926928,207.7545984964965,19.741465772772784,0.16202964111111112,0.17611249888888886,1.179411013142857,0.48113318833333324,0.6509328247619047,1.1368648139523807,-0.6565094341428571,0.5964098791904762,-0.38959157385714294,0.8675970687619048,1.179411013142857,0.48113318833333324,0.6509328247619047,1.1368648139523807,-0.6565094341428571,0.5964098791904762,-0.38959157385714294,0.8675970687619048
Agnosphitys,-0.298764409,1,0,0,0,233.6421365045045,232.6699820840841,0.9721544204203951,0.3986829588888889,0.43630616555555557,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Ahvaytum,-0.298764409,0,0,1,0,232.97062327427426,232.4486046806807,0.5220185935935717,0.8236479099999999,0.8716786366666667,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Alwalkeria,-0.298764409,0,0,1,0,232.7122933883884,232.21092205005004,0.5013713383383447,0.8323291766666667,0.8719499622222222,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Amanasaurus,-0.050003139,0,0,1,0,237.33135478178178,208.13441185585586,29.196942925925924,0.24095295000000003,1.3283659522222222,1.0479048684333334,0.4811184669333334,0.5482462787000002,1.0196765273,-0.6087386682333336,0.5944174946666667,-0.3727957835333334,0.8583284227333332,1.0479048684333334,0.4811184669333334,0.5482462787000002,1.0196765273,-0.6087386682333336,0.5944174946666667,-0.3727957835333334,0.8583284227333332
Ammorhynchus,-0.228876805,0,1,0,0,246.76947884184185,244.66773073173175,2.101748110110094,4.96121472111111,0.26579311666666666,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999
Ammosaurus,-0.298764409,1,0,0,0,201.16852687187188,199.68964321221222,1.4788836596596582,2.221430912222222,1.4361476977777778,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633
Amotosaurus,0.003783601,1,1,0,0,246.91771955855853,243.4198837837838,3.497835774774728,1.8591616000000002,0.18831176111111114,-0.30850061100000004,-0.48859968574999996,-0.5434249135,-0.08179975225,-0.2304753545,-0.61479241375,-0.0804176885,-0.6961617097499999,-0.30850061100000004,-0.48859968574999996,-0.5434249135,-0.08179975225,-0.2304753545,-0.61479241375,-0.0804176885,-0.6961617097499999
Ancistronychus,-0.298764409,0,1,0,0,218.3555914874875,217.5082597137137,0.8473317737737887,0.26307522777777775,0.2780725966666666,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Angistorhinus,0.319827667,0,1,0,0,237.0198948048048,210.10923226326327,26.91066254154154,0.42354837,0.20550122777777777,1.0375139480357143,0.4812095528571429,0.5398193663214287,1.0105283234642857,-0.6052392057500001,0.5945135042142857,-0.37141522314285724,0.8578746995,1.0375139480357143,0.4812095528571429,0.5398193663214287,1.0105283234642857,-0.6052392057500001,0.5945135042142857,-0.37141522314285724,0.8578746995
Anisodontosaurus,-0.228876805,0,1,0,0,246.7769033923924,239.26395453053053,7.512948861861872,4.944203073333334,1.4182984688888889,-0.25281134466666666,-0.37658510477777773,-0.24089354422222226,-0.15514463144444446,0.004552379333333338,-0.5446300543333333,-0.18807635066666664,-0.5686771804444444,-0.25281134466666666,-0.37658510477777773,-0.24089354422222226,-0.15514463144444446,0.004552379333333338,-0.5446300543333333,-0.18807635066666664,-0.5686771804444444
Anomoepus,-0.298764409,1,0,0,0,200.65459743343342,200.20351965865865,0.45107777477477384,1.7638723211111111,1.4408592555555555,0.636282831,-0.125708183,0.935990845,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633,0.636282831,-0.125708183,0.9359908450000001,0.23202465,0.315160617,-0.214917596,-0.605214952,-0.006092633
Anomoiodon,0.777378248,1,1,0,0,247.04397016016014,243.57150205505505,3.4724681051050936,0.9275187233333334,0.24920276444444445,-0.38045833920000005,-0.3958999604,-0.7354643836,-0.0803851288,-0.33914143760000004,-0.5220762748000001,0.007927040799999997,-0.6225102065999999,-0.38045833920000005,-0.3958999604,-0.7354643836,-0.0803851288,-0.33914143760000004,-0.5220762748000001,0.007927040799999997,-0.6225102065999999
Antarctanax,-0.298764409,0,0,0,1,250.00163467867867,249.89894297597596,0.10269170270271388,5.626944404444445,4.242737171111111,-1.743744482,-0.676594417,0.269638942,-2.255303398,2.175326743,-0.431060027,-0.737230785,-0.208189018,-1.743744482,-0.676594417,0.269638942,-2.255303398,2.175326743,-0.431060027,-0.737230785,-0.208189018
Anthodon,0.839307093,0,0,1,0,261.10795194194196,254.3450326986987,6.76291924324326,0.26774928555555555,0.22229553,-1.1665194605,-0.17490601749999998,0.523674909375,-1.6192432186249999,1.746417353625,-0.441031743,0.741365203375,-0.827926275875,-1.1665194605,-0.17490601749999998,0.523674909375,-1.6192432186249999,1.746417353625,-0.441031743,0.741365203375,-0.827926275875
Apachesuchus,-0.298764409,0,1,0,0,222.30355604304305,221.24865015715716,1.054905885885887,0.3496896133333333,0.17741476333333336,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Apatopus,1.609237497,1,1,0,0,234.04257252552551,204.98546728428428,29.05710524124123,0.38977719777777775,0.6179501844444445,1.1118972693124998,0.5080891136875001,0.59342089053125,1.0721911896249998,-0.6306164052500001,0.6406863728749999,-0.35468519071875,0.9057634106562501,1.1118972693124998,0.5080891136875001,0.59342089053125,1.0721911896249998,-0.6306164052500001,0.6406863728749999,-0.35468519071875,0.9057634106562501
Apatosuchus,-0.298764409,1,0,0,0,215.34103970970972,214.7893301121121,0.5517095975976076,0.5812094855555555,0.5801071844444444,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Aphelosaurus,-0.298764409,0,1,0,0,296.3300241831832,295.8707587507508,0.45926543243240303,1.57847216,1.0698481933333335,-0.376663572,2.655796018,-1.252281141,0.225201016,-0.902483815,2.75642069,1.748790818,2.550479943,-0.376663572,2.655796018,-1.252281141,0.225201016,-0.902483815,2.75642069,1.748790818,2.550479943
Araeoscelis,-0.16587831,0,1,0,0,289.3285818768769,272.3499775495496,16.978604327327332,0.44082552555555554,0.32211227000000003,0.9897035053157895,-1.3260833321578946,0.3043082621578947,0.9701943403684211,-0.7007396175789474,-0.952060240894737,-1.5300165601578946,-0.5002180588947368,0.9897035053157895,-1.3260833321578946,0.3043082621578947,0.9701943403684211,-0.7007396175789474,-0.952060240894737,-1.5300165601578946,-0.5002180588947368
Archeopelta,-0.298764409,0,0,1,0,240.36173487587587,239.50568937837838,0.8560454974974903,0.5208385033333333,0.41958062111111116,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743
Archosaurus,-0.05317856,1,0,0,0,262.2911381781782,254.18853484284284,8.102603335335345,0.21343316888888889,0.8039974444444444,-1.2406020002222222,-0.1987634083333333,0.30732219222222223,-1.5914508846666664,1.600475661888889,-0.4290739113333333,0.6956989678888889,-0.7949675140000001,-1.2406020002222222,-0.1987634083333333,0.30732219222222223,-1.5914508846666664,1.600475661888889,-0.4290739113333333,0.6956989678888889,-0.7949675140000001
Arcticodactylus,-0.298764409,1,0,0,0,216.45200926026027,215.84974877777776,0.6022604824825066,0.553026761111111,0.5391973144444445,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Arganaceras,-0.298764409,0,1,0,0,256.50519434734736,256.43220968868866,0.0729846586586973,3.976265338888889,2.7245692277777778,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359
Arganasuchus,-0.298764409,0,1,0,0,234.19461652252252,230.61392606706707,3.5806904554554535,0.9495875411111112,0.5426185766666667,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Arizonasaurus,-0.180407969,0,1,0,0,246.80349621721723,244.61274280780782,2.1907534094094103,3.8691741866666667,0.20375984333333333,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999
Asilisaurus,-0.298764409,0,0,1,0,246.68642532132134,241.99719966966967,4.689225651651668,4.04916476,0.5020561722222222,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.769319312,-0.22765890400000002,-0.8189142149999998,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.769319312,-0.22765890400000002,-0.8189142149999998
Asperoris,-0.298764409,0,0,1,0,245.23983672372373,244.62233396196194,0.6175027617617843,1.249592031111111,0.25905798888888887,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215
Asylosaurus,-0.298764409,1,0,0,0,208.23025907507508,202.38542357557557,5.84483549949951,1.0351876022222222,0.8675048066666666,1.0815364485714285,0.774340364857143,0.7686897701428572,0.8953301552857142,-0.37383492014285713,1.005822499857143,-0.06099015999999998,1.2181131695714285,1.0815364485714285,0.774340364857143,0.7686897701428572,0.8953301552857142,-0.37383492014285713,1.005822499857143,-0.06099015999999998,1.2181131695714285
Augustaburiania,0.901034606,1,0,0,0,250.87070783283284,247.2426623123123,3.628045520520544,0.9215946388888889,0.2912079033333333,-1.206016867,-0.350847738,-0.6169916610000001,-1.1650150165,0.7007604864999999,-0.291135873,-0.18796241350000004,-0.26804660599999997,-1.206016867,-0.350847738,-0.6169916610000001,-1.1650150165,0.7007604864999999,-0.291135873,-0.18796241350000004,-0.26804660599999997
Australothyris,-0.298764409,0,0,1,0,262.46412511211213,261.9436243913914,0.5205007207207473,0.8338408455555555,0.34364455555555556,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419
Austriadactylus,-0.298764409,1,0,0,0,211.66271821521522,211.09304368668668,0.5696745285285374,0.5786246733333333,0.5838689522222221,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Avicranium,-0.298764409,0,1,0,0,206.014488996997,205.6913662862863,0.32312271071069176,1.2848983,2.4907164100000005,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Azendohsaurus,-0.298764409,0,1,0,0,233.50998167667666,232.78181242742744,0.7281692492492198,1.0475249644444447,0.4967137322222222,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Baeotherates,-0.298764409,0,1,0,0,286.78742753753755,286.68193701701705,0.10549052052050456,0.23860355888888887,0.19546813444444444,1.338319205,-1.667559157,0.618942645,1.264485545,-0.788961814,-1.343779767,-1.810145641,-0.849676723,1.338319205,-1.667559157,0.618942645,1.264485545,-0.7889618140000001,-1.343779767,-1.810145641,-0.849676723
Baisesaurus,-0.298764409,0,1,0,0,249.2882378058058,249.18917486086087,0.09906294494493295,5.667869668888889,3.3428972200000002,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.9535314460194027,-0.19789615975467123,-1.033301507859429,-0.6530793946084561,0.008390461880405042,-0.22543567843579868,0.0699418713850243,-0.29615222654742746
Barasaurus,0.463365415,0,0,1,0,261.6933976446446,247.14297079879879,14.550426845845834,0.31733504,0.3810133522222222,-0.7834620293333333,-0.3864801542222222,0.2935208826111111,-1.0684568319444445,1.1232777288333333,-0.5697920998333333,0.2915158526111111,-0.795702062611111,-0.7834620293333333,-0.3864801542222222,0.2935208826111111,-1.0684568319444445,1.1232777288333333,-0.5697920998333333,0.2915158526111111,-0.795702062611111
Barberenasuchus,-0.298764409,0,0,1,0,240.54129825525524,239.73270884184183,0.8085894134134151,0.5536727355555556,0.3968999866666667,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743
Bashkyroleter,-0.245830369,1,0,0,0,274.00024856356356,264.47787993093095,9.522368632632606,2.46058983,0.8731229055555555,0.26783659600000004,0.03750075327272726,-0.23308571745454545,0.3885603551818182,-0.4791525825454546,0.06022819672727271,0.7887807086363634,-0.2528604950909091,0.26783659600000004,0.03750075327272726,-0.23308571745454545,0.3885603551818182,-0.4791525825454546,0.06022819672727271,0.7887807086363634,-0.2528604950909091
Batrachopus,-0.298764409,0,1,0,0,204.0754096796797,203.6048903063063,0.4705193733734063,1.4733291144444447,1.89915922,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665
Batrachotomus,-0.298764409,1,0,0,0,239.3907067227227,237.27096605205205,2.119740670670666,0.790017801111111,0.6095497933333334,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743
Beesiiwo,-0.298764409,0,1,0,0,233.13428193793794,232.29756674474476,0.8367151931931858,0.7748180288888891,0.4704813866666667,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Belebey,-0.07999347,1,0,0,0,272.3679902642643,264.1935766816817,8.174413582582588,1.0684731077777778,0.4178490855555556,0.04781628119999999,0.1533711893,-0.495505411,0.2751322054,-0.524086416,0.08909928619999999,0.9490229736999998,-0.28449754279999995,0.04781628119999999,0.1533711893,-0.495505411,0.2751322054,-0.524086416,0.08909928619999999,0.9490229736999998,-0.28449754279999995
Benggwigwishingasuchus,-0.298764409,0,1,0,0,244.6007514904905,244.06363906606606,0.5371124244244356,0.9301652722222222,0.5631857433333334,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.7693193120000001,-0.227658904,-0.818914215
Bentonyx,-0.298764409,0,1,0,0,244.37459361361363,243.8718129139139,0.5027806996997128,1.0626043233333333,0.5417299933333333,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215
Bergamodactylus,-0.298764409,0,1,0,0,215.58918225725725,214.74964746046047,0.8395347967967837,0.20136537222222223,0.30826066999999996,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Blikanasaurus,-0.298764409,0,0,1,0,204.83132238138137,204.44215973073074,0.3891626506506327,1.2831934044444446,2.1608112100000003,0.932414708,1.167003166,0.905312061,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665,0.932414708,1.167003166,0.9053120610000001,0.558768521,0.004693377,1.556154685,0.380521132,1.689356665
Blomosaurus,-0.298764409,1,0,0,0,251.59774778578577,251.50939713613613,0.0883506496496409,5.733415092222222,4.524472892222223,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,-0.2801678186729536,-0.7878237395591996,0.34969352333440196,-0.5019728434467269,0.6461721368549328,-0.8763968269675351,-0.3127836383794559,-0.9109240665743612
Bolosaurus,-0.132159747,0,1,0,0,296.9409152332332,274.55641957757757,22.384495655655655,0.3691763966666667,0.22499490666666666,1.035522558761905,-1.3144945894761904,0.31206067499999995,1.0354804255238095,-0.755009967,-0.9460968751904766,-1.614201635142857,-0.45853289795238084,1.035522558761905,-1.3144945894761904,0.31206067499999995,1.0354804255238095,-0.755009967,-0.9460968751904766,-1.614201635142857,-0.45853289795238084
Boreopricea,-0.298764409,1,0,0,0,250.10914711911911,248.16156324624626,1.9475838728728547,3.708119753333334,2.191264343333333,-1.3852594053333334,-0.45942996433333333,-0.32144812666666667,-1.528444477,1.1922825719999999,-0.33777725766666666,-0.3710518706666667,-0.24809407666666664,-1.3852594053333334,-0.45942996433333333,-0.32144812666666667,-1.528444477,1.1922825719999999,-0.33777725766666666,-0.3710518706666667,-0.24809407666666664
Bradysaurus,-0.298764409,0,0,1,0,264.3829662672673,257.7378799059059,6.645086361361393,2.629562054444444,0.9855395877777778,-1.5319891520000002,-0.17668963655555556,-0.8007639497777777,-1.3500031525555556,0.7640471975555556,-0.3057300717777778,0.6506989433333333,-0.6301642115555556,-1.5319891520000002,-0.17668963655555556,-0.8007639497777777,-1.3500031525555556,0.7640471975555556,-0.3057300717777778,0.6506989433333333,-0.6301642115555556
Brasinorhynchus,-0.298764409,0,0,1,0,241.27908334934932,237.80597865465467,3.473104694694655,0.6332936855555555,0.5265310466666667,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743
Bromsgroveia,-0.21337224,1,1,0,0,246.71048622022022,241.41285438838838,5.297631831831836,2.0827341522222222,0.8031194744444445,-0.25710223371428576,-0.5548137752857143,-0.40625386342857145,-0.08281019757142857,-0.1528567237142857,-0.6810182272857144,-0.1435210665714286,-0.7487699262857141,-0.25710223371428576,-0.5548137752857143,-0.40625386342857145,-0.08281019757142857,-0.1528567237142857,-0.6810182272857144,-0.1435210665714286,-0.7487699262857141
Broomia,-0.118837969,0,0,1,0,264.3237662872873,261.37035483283285,2.9534114544544536,0.7585103255555555,0.12820173444444444,-1.6887919805,-0.0822967275,-1.58008401925,-1.1260120224999999,0.12714835399999996,-0.185032201,0.722314372,-0.5164446167500001,-1.6887919805,-0.0822967275,-1.58008401925,-1.1260120224999999,0.12714835399999996,-0.185032201,0.722314372,-0.5164446167500001
Bunostegos,-0.298764409,0,1,0,0,253.34983414314314,253.2720273173173,0.07780682582583154,2.8413931255555553,2.8723361511111114,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972
Buriolestes,-0.050003139,0,0,1,0,237.4506097257257,209.55775494194194,27.892854783783775,0.21362956777777778,1.0803391255555557,1.0428885620344828,0.4811624394482759,0.5441781141034483,1.0152601530344825,-0.6070492725517243,0.5944638441034484,-0.37212930610344835,0.8581093839310344,1.0428885620344828,0.4811624394482759,0.5441781141034483,1.0152601530344825,-0.6070492725517243,0.5944638441034484,-0.37212930610344835,0.8581093839310344
Bystrowisuchus,-0.298764409,1,0,0,0,248.02432585385387,247.8208726836837,0.20345317017017805,2.5979672088888885,2.183279921111111,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194
Calyptosuchus,-0.069635381,0,1,0,0,233.2338682122122,208.0483235885886,25.1855446236236,0.4120538788888889,1.2294089944444446,1.114411949923077,0.4871362977307693,0.5797744595384616,1.0862004057692307,-0.6508237890769232,0.6119375215384615,-0.37780777876923083,0.8811701076923076,1.114411949923077,0.4871362977307693,0.5797744595384616,1.0862004057692307,-0.6508237890769232,0.6119375215384615,-0.37780777876923083,0.8811701076923076
