genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI
Abyssomedon,-0.298764409,0,1,0,0,287.02697065465463,286.8400255105105,0.18694514414414698,0.4230607633333333,0.2002192888888889,1.338319205,-1.667559157,0.618942645,1.264485545,-0.788961814,-1.343779767,-1.810145641,-0.849676723,1.338319205,-1.667559157,0.618942645,1.264485545,-0.788961814,-1.343779767,-1.810145641,-0.849676723
Acadiella,-0.298764409,0,1,0,0,233.15196393393393,232.2739189059059,0.8780450280280263,0.7825517288888889,0.45937672,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Acaenasuchus,-0.298764409,0,1,0,0,226.67159414014014,209.905381007007,16.766213133133135,0.7131451366666667,0.8045667066666667,1.193377754,0.47984326399999994,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.47984326399999994,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Acallosuchus,-0.298764409,0,1,0,0,218.91900568068067,217.99588074774775,0.9231249329329216,0.26507354333333333,0.30867051666666667,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Acerosodontosaurus,-0.298764409,0,0,1,0,255.63731933533535,255.5355842222222,0.10173511311313632,1.1500538466666665,1.228207132222222,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.7693218219999998,2.534502489,-0.505604034,0.987962875,-1.00590359
Acleistorhinus,-0.298764409,0,1,0,0,277.51584510010014,277.1779081391391,0.33793696096103076,1.2642706655555556,1.1337869266666667,0.822347339,-1.32411463,0.110798469,0.845616325,-0.697127282,-0.871430848,-1.748380345,-0.314802983,0.822347339,-1.32411463,0.11079846899999998,0.845616325,-0.697127282,-0.8714308479999999,-1.748380345,-0.314802983
Acrodenta,-0.298764409,0,1,0,0,256.75551705405405,256.6824125825826,0.07310447147148125,3.9481850033333337,2.7689967644444446,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.7693218220000002,2.534502489,-0.505604034,0.987962875,-1.00590359
Actiosaurus,-0.298764409,1,0,0,0,205.65139826526527,205.1410436176176,0.5103546476476595,0.7926055311111111,0.9172682433333332,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.0801275990964971,0.7780501041553525,0.7699805292367388,0.8921504399743952,-0.37025871864042775,1.0110218437429195,-0.0568189174331753,1.2225653114828317
Adamanasuchus,-0.298764409,0,1,0,0,217.83420876376377,216.93737274874874,0.8968360150150261,0.27186732444444445,0.2872690111111111,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548,1.193377754,0.479843264,0.666223052,1.147751381,-0.657731143,0.593073361,-0.392123629,0.864680548
Adelosaurus,-0.298764409,1,0,0,0,256.83223436536537,256.72910483783784,0.10312952752752835,0.9071174566666667,1.3731100344444445,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359
Aenigmasaurus,-0.298764409,0,0,1,0,248.69575380380383,248.54915714814814,0.14659665565568503,4.549437601111111,2.4631500077777777,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194
Aenigmaspina,-0.298764409,1,0,0,0,232.36182754754753,231.4275771941942,0.9342503533533204,0.3880770522222223,0.45001591666666674,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484,0.900076196,0.506931675,0.34512828,0.919133473,-0.632075257,0.663140243,-0.338950471,0.925927484
Aenigmastropheus,-0.298764409,0,0,1,0,256.50844433533535,256.40440225025026,0.10404208508509782,1.1389646488888892,1.3002836822222221,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359
