genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI
Abyssomedon,-0.336825198,0,1,0,0,287.77284423323323,287.62781351651654,0.14503071671668977,0.769771521111111,0.26486082666666666,-0.5716772167290223,-0.6924326478003656,-0.27291295844176433,-0.18639783513980657
Acadiella,-0.336825198,0,1,0,0,232.2541432972973,231.27658335735737,0.9775599399399368,1.4812018422222224,0.9200877288888888,1.5684498774080835,1.1752785107296455,1.5684498774080835,1.1752785107296455
Acaenasuchus,-0.336825198,0,1,0,0,226.72095913613614,209.64077691391392,17.08018222222222,1.096897281111111,0.9879124188888889,0.27058393969808126,0.05252973587967434,0.27058393969808126,0.05252973587967434
Acallosuchus,-0.336825198,0,1,0,0,216.76420336936937,215.8995355125125,0.8646678568568689,0.69300427,0.8717776033333333,-0.1629800864626323,-0.7630838993406391,-0.1629800864626323,-0.7630838993406391
Acerosodontosaurus,-0.336825198,0,0,1,0,255.18081707507508,255.07870804004006,0.10210903503502777,1.2194596644444444,1.272938661111111,-1.039392073271287,-0.1464531124841439,-0.9769770935151132,-0.1290011358915875
Acleistorhinus,-0.336825198,0,1,0,0,279.1502368088088,278.8456316936937,0.3046051151151232,1.1484927533333333,1.0608719999999998,-0.7168292213150312,-0.452459647265861,-0.7168292213150312,-0.452459647265861
Acrodenta,-0.336825198,0,1,0,0,256.60955075275274,256.5190844104104,0.09046634234232442,2.081169813333333,2.0668969977777776,-0.0166731716554773,-0.8592163467668951,-0.25269329385877554,-0.49008230279831155
Actiosaurus,-0.336825198,1,0,0,0,205.1905243073073,204.76537016916916,0.42515413813814007,1.2470930966666667,1.1168671133333332,-0.2261302860853477,-0.4048549564327162,-0.2261302860853477,-0.4048549564327162
Adamanasuchus,-0.336825198,0,1,0,0,215.74537261961962,214.7315045015015,1.0138681181181255,0.4416058677777778,0.5193532422222222,1.3526730267431406,2.144833208630812,1.3526730267431406,2.144833208630812
Adelosaurus,-0.336825198,1,0,0,0,257.6909667517518,257.5843565745746,0.10661017717717414,1.229360361111111,1.5289804288888889,0.1424633191005636,-0.885594468960644,0.08480206770996822,-0.876036664036082
Aenigmasaurus,-0.336825198,0,0,1,0,248.65646756456457,248.46094597697697,0.1955215875875922,2.8929662966666667,2.4340714755555553,1.9092488182519396,-0.6703432065006151,1.87687170198019,-0.8375088899646761
Aenigmaspina,-0.336825198,1,0,0,0,231.23499203103103,229.82243167467468,1.4125603563563516,0.4268160455555556,0.5973915288888889,1.5194935163054322,-1.1032137679001923,1.5194935163054322,-1.1032137679001923
Aenigmastropheus,-0.336825198,0,0,1,0,256.2626098878879,256.14505604504507,0.117553842842824,1.1706249155555555,1.1623964166666665,-0.5583983187478894,-0.0119614923970951,-0.44797687500653816,-0.18465996271643986
Aetobarbakinoides,-0.336825198,0,0,1,0,232.4677971001001,231.7057640850851,0.762033015015021,1.2550154166666667,0.9636240333333334,1.5684498774080835,1.1752785107296455,1.5684498774080835,1.1752785107296455
Aetosauroides,0.106173916,0,0,1,0,235.25914550950952,208.33696894994995,26.922176559559574,0.2812797266666667,0.29594606888888886,0.4354532931070555,-0.1652306541623476,0.4354532931070555,-0.1652306541623476
Aetosaurus,1.14930802,1,1,0,0,227.33639307507508,208.72005135235236,18.616341722722723,0.12479451222222224,0.1228114811111111,0.25214048468517486,-0.11881430028988642,0.25214048468517486,-0.11881430028988642
Agkistrognathus,-0.336825198,1,0,0,0,248.81297151551553,248.58713053953954,0.2258409759759843,2.4639375933333336,1.7759426177777777,1.9092488182519396,-0.6703432065006151,1.8872419481844003,-0.7839664657454442
Agnosphitys,-0.336825198,1,0,0,0,233.51996097998,232.0207356206206,1.4992253593594,0.7542858988888889,0.5123529933333334,0.4906114689205105,-1.1380913736053158,0.4906114689205105,-1.1380913736053158
Ahvaytum,-0.336825198,0,0,1,0,232.27713253753754,231.61963651651652,0.6574960210210179,0.8712606355555554,0.8409033077777778,1.5684498774080835,1.1752785107296455,1.5684498774080835,1.1752785107296455
Alexeyisaurus,-0.336825198,1,0,0,0,217.11749946546547,216.29937335135133,0.8181261141141363,0.6862012344444444,0.6961999388888889,0.0395662262926427,0.7642394012632303,0.0395662262926427,0.7642394012632303
