clade	species	ts	te
0.0	Abyssomedon	112.76988483883885	112.632503001001
0.0	Acadiella	57.22156160960961	56.27935678878879
0.0	Acaenasuchus	51.732243491491495	34.59686545045045
0.0	Acallosuchus	41.761767936936934	40.8831743993994
0.0	Acerosodontosaurus	80.18025954154153	80.0822195925926
0.0	Acleistorhinus	104.15356693393393	103.82982013313314
0.0	Acrodenta	81.60625086886886	81.52048243243243
0.0	Actiosaurus	30.18027904804805	29.768089702702703
0.0	Adamanasuchus	40.71036951051051	39.77044172872873
0.0	Adelosaurus	82.68942505705705	82.5887062132132
0.0	Aenigmasaurus	73.66042237437438	73.46010106706707
0.0	Aenigmaspina	56.28168953353354	54.79050713413414
0.0	Aenigmastropheus	81.26411178878878	81.14275803503504
0.0	Aetobarbakinoides	57.486553380380386	56.715185474474474
0.0	Aetosauroides	60.30644951051051	33.46801241841842
0.0	Aetosaurus	52.37223333433434	33.73614011211211
0.0	Agkistrognathus	73.81407155955957	73.58537407607606
0.0	Agnosphitys	58.57330107007007	56.992714317317315
0.0	Ahvaytum	57.2783786996997	56.63157696996997
0.0	Alexeyisaurus	42.15155384184184	41.27219211011011
0.0	Alwalkeria	58.05264866866867	57.47298126826827
0.0	Amanasaurus	59.94485654454454	34.61410896096096
0.0	Ammorhynchus	71.68203215815817	69.73200335035035
0.0	Ammosaurus	25.995557858858856	24.69995525225225
0.0	Amotosaurus	71.79996952052052	68.3498492982983
0.0	Anarosaurus	71.89309631231231	67.02590854654656
0.0	Ancistronychus	46.51701987987989	45.61995917817818
0.0	Angistorhinus	61.94017581981982	36.150519877877876
0.0	Anisodontosaurus	71.81170436336336	65.22889206506507
0.0	Anomoepus	25.478640434434435	25.233448724724724
0.0	Anomoiodon	72.00302996296298	68.20314134534534
0.0	Anshunsaurus	65.44910697797798	51.47907728528528
0.0	Antarctanax	73.55387443443443	73.43093294594594
0.0	Anthodon	86.29364042942942	79.30981905705706
0.0	Apachesuchus	44.5581857007007	43.32713545545546
0.0	Apatopus	59.79108746746747	34.222186317317316
0.0	Apatosuchus	40.62069225525526	39.48203080380381
0.0	Aphelosaurus	121.00585591291292	120.7010941041041
0.0	Araeoscelis	113.5103554834835	98.7615270910911
