Time	Mod_R_deltaTMyr_scaled
202	0.1553161732057887
203	-1.015368406021189
204	-0.6321676687074131
205	-0.4048549564327159
206	-0.5220302755285569
207	-0.9532418933600832
208	-0.5708398289672241
209	-1.1131932854629325
210	-0.7434797986353205
211	-0.6347871891715813
212	-0.6811170847177921
213	0.8919316077296167
214	-0.5301148366668154
215	2.144833208630812
216	-0.7630838993406389
217	0.7642394012632303
222	-0.9228468133005512
226	0.9997227630057856
227	-0.8378756768124475
229	1.1676979474806397
231	-1.103213767900192
232	1.1752785107296455
233	-1.138091373605315
234	-0.6385162334720734
235	-1.011535254676323
236	-1.0448227365392992
237	-1.014398882218793
238	-0.713689691882884
239	0.5234483093508732
240	0.4380448974548507
241	1.961768834357048
242	1.5054011739054374
243	-0.9646740467309332
244	1.3144315938900808
245	-0.7965389385741259
246	-0.7842463317383721
247	0.2071750858766484
248	-1.0491518362093226
249	-0.6703432065006147
250	-1.022197667782779
251	1.7963094980175247
252	3.4369011219489054
253	0.0361209522064405
254	-0.7386338194010479
255	-0.1464531124841437
256	-0.0119614923970949
257	-0.8592163467668947
258	-0.8855944689606436
259	0.251364994062338
260	0.5455263496600073
261	2.493327156929834
262	1.5248565411905397
263	0.4051870233954643
264	-0.688532227889528
265	-0.2291298336273127
266	0.8816940463736234
267	-0.6219262800404748
268	1.139176894002053
269	0.8420667526700514
270	-0.5259052419027204
271	-0.0532519428507572
272	-0.6047872473926899
273	-0.8391671308453255
274	-0.4723595687539049
275	0.2284856620724008
276	-0.7178204412503985
277	0.1860085672924259
279	-0.4524596472658608
280	-0.7695682293260777
281	1.147213535253501
283	0.5088180640253925
285	1.638931884954161
287	0.9962012252474048
288	-0.6924326478003654
290	-0.2258452939875421
291	0.3360403969899347
292	0.2791008242860916
293	-0.7410547313849409
294	2.5320313297489974
295	-0.4143504911631133
296	-0.1304571632934495
297	-0.4497476998590343
298	0.4441724180913202
299	-0.4864959883941365
300	-0.8652521173051212
