id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
7189,1491821,1491821,-0.5219476,Edaphosaurus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7190,1491820,1491820,-0.5219476,Dimetrodon,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7191,1491818,1491818,-2.746595,Edaphosaurus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7192,1491391,1491391,-2.746595,Edaphosaurus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7193,1491390,1491390,-2.746595,Dimetrodon,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7194,1339974,1339974,12.59509,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7195,1091172,1091172,-2.746595,Lupeosaurus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7196,814377,814377,12.79505,Ophiacodon,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7197,814375,814375,12.79505,Sphenacodon,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7198,791571,791571,-2.746595,Ophiacodon,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7199,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7200,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7201,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7202,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7203,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7204,789977,789977,16.09361,Haptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7205,754405,754405,12.79505,Hypselohaptodus,298.9,293.52,Cisuralian,"(298.9, 293.52)"
7206,1547020,1547020,3.33761,Edaphosaurus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7207,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7208,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7209,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7210,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7211,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7212,1340016,1340016,3.33761,Sphenacodon,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7213,753788,753788,1.512874,Ophiacodon,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7214,296145,296145,-2.967327,Dimetrodon,293.52,283.5,Cisuralian,"(293.52, 283.5)"
7215,1340454,1340454,16.6404,Edaphosaurus,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7216,853657,853657,-0.5077499,Ophiacodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7217,791587,791587,-2.967327,Ophiacodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7218,791566,791566,-2.967327,Ophiacodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
