accepted_name;accepted_rank;early_interval;late_interval;max_ma;min_ma;time_bins;age;Rotated Longitude;Rotated latitude;group;niche_adequability
Notosyodon gusevi;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;44.08246;45.51481;Dicynodontia;0.155041128396988
Syodon biarmicum;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;43.04599;36.28562;Dicynodontia;0.364332407712936
Titanophoneus potens;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;43.04599;36.28562;Dicynodontia;0.364332407712936
Anteosaurus;genus;Wordian;Early Severodvinian;268;252.3;Wordian;265;43.04599;36.28562;Dicynodontia;0.364332407712936
Titanophoneus;genus;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Deuterosaurus biarmicus;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Deuterosaurus jubilaei;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Deuterosaurus;genus;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Ulemosaurus gigas;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;43.51609;40.82952;Dicynodontia;0.444861173629761
Syodon biarmicum;species;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Dinocephalia;clade;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Dinocephalia;clade;Wordian;Early Severodvinian;268;252.3;Wordian;265;45.43791;42.55595;Dicynodontia;0.60832154750824
Gorgonopsia;order;Wordian;;264.28;259.51;Wordian;265;42.6534;40.33982;Gorgonopsia;0.383995682001114
Gorgonopidae;family;Wordian;;273.01;259.51;Wordian;265;-56.95375;-1.203179;Gorgonopsia;0.209760844707489
Biarmosuchoides romanovi;species;Wordian;;266.9;264.28;Wordian;265;43.51609;40.82952;Gorgonopsia;0.444861173629761
Aelurosaurus whaitsi;species;Wordian;;273.01;259.51;Wordian;265;-65.24442;-28.45468;Gorgonopsia;0.264549165964127
Aelurosaurus felinus;species;Wordian;;273.01;259.51;Wordian;265;-65.24442;-28.45468;Gorgonopsia;0.264549165964127
Cerdodon tenuidens;species;Wordian;;273.01;259.51;Wordian;265;-65.24442;-28.45468;Gorgonopsia;0.264549165964127
Aelurosaurus felinus;species;Wordian;;273.01;259.51;Wordian;265;-62.75164;-28.45468;Gorgonopsia;0.264549165964127
Ustia atra;species;Wordian;;264.28;259.51;Wordian;265;44.03487;28.97547;Gorgonopsia;0.244418367743492
Suchogorgon golubevi;species;Wordian;;264.28;259.51;Wordian;265;44.03487;28.97547;Gorgonopsia;0.244418367743492
Suchogorgon golubevi;species;Wordian;;264.28;259.51;Wordian;265;44.03487;28.97547;Gorgonopsia;0.244418367743492
Dinosaurus murchisoni;species;Wordian;;266.9;264.28;Wordian;265;45.43791;42.55595;Gorgonopsia;0.60832154750824
Rhopalodon wangenheimi;species;Wordian;;266.9;264.28;Wordian;265;45.43791;42.55595;Gorgonopsia;0.60832154750824
