age	mean_minmax	Mod_R_deltaTMyr_boxcox_minmax
202	0.307123028123085	0.6292225873982655
203	0.46173756878225225	0.17782615286912906
204	0.43953860318255566	0.4113165061822338
205	0.37399598513111254	0.49162792185152043
206	0.4652498357795185	0.4529850148795085
207	0.5432500419055897	0.23315879718958174
208	0.514023976449578	0.435257172988074
209	0.44154459566080195	0.04978563461050267
210	0.43041055580920506	0.3618781684908372
211	0.48336271187196234	0.41024780725052457
212	0.5486090372116039	0.39064567958437035
213	0.6086150101368943	0.7511625765591887
214	0.8465477718401573	0.45012230475283027
215	0.7694620061784421	0.893755745100242
216	0.38981414181359275	0.352176140934193
217	0.4405488873846761	0.732891802918902
222	0.21705933087661622	0.25627416985362694
226	0.24972336935839312	0.7658814986455718
227	0.4998483367323474	0.31158175122857856
229	0.5421234202200722	0.7876712024953847
231	0.811247980846924	0.06681932856879591
232	0.8235107986234693	0.7886240244045402
233	0.5535288044934181	0.0
234	0.5618466330616858	0.4087194695700783
235	0.4970220979885598	0.18163447904678098
236	0.5196546295108173	0.1462969169228498
237	0.5385220291858168	0.17879519981216752
238	0.5608306567663086	0.37599363424616195
239	0.6171523576122651	0.6955867580884846
240	0.8134061484234487	0.6813167590826867
241	1.0	0.8760407566798873
242	0.6410584594843831	0.8278644029963361
243	0.9483804717277771	0.2238765981460975
244	0.9204474916934333	0.8056826681622633
245	0.6347259583808076	0.3347734065381823
246	0.6816766197702773	0.3412989177177159
247	0.7300176933257263	0.6394097607424785
248	0.8904979700240934	0.14127911110307917
249	0.9088757076134373	0.3953274945481239
250	0.9701003086135049	0.17088516850070257
251	0.9486737984264808	0.8592827260195246
252	0.6084472843850599	1.0
253	0.08265423426155305	0.6045305037304185
254	0.22378665978278	0.36422426942641084
255	0.17028637771201405	0.5626057462568048
256	0.2907679378306103	0.5940116766136917
257	0.42646178055387285	0.29876185746483575
258	0.46632303134513187	0.2819919386129679
259	0.42944539794153647	0.6478490021324501
260	0.26396682091152845	0.6991805893420785
261	0.4627178487390511	0.9253683808337589
262	0.0436519994259319	0.8300507545546248
263	0.3531745984422163	0.6756625920895074
264	0.17029728518966447	0.3873772784980925
265	0.11113003573391511	0.5416220811754203
266	0.0	0.7497322537145366
267	0.2367747956206836	0.4154565702464408
268	0.17007377897596987	0.7840635517434531
269	0.4359723370676445	0.7441403911702982
270	0.20367976575991253	0.45161640648365475
271	0.12611785476089388	0.5846951969679077
272	0.25714135469813204	0.4222531669059988
273	0.32578095923977957	0.3108234741411186
274	0.2836519522917378	0.4699852530307527
275	0.20003351594800245	0.6435064533896808
276	0.03714280981247686	0.37407900135152794
277	0.09299728309175048	0.635289811022392
279	0.25108342606142875	0.47653054382527893
280	0.3369527324921697	0.3488894450885106
281	0.28695142639670035	0.7850837783802392
283	0.020143848430864697	0.6931842699392718
285	0.2147428186104392	0.8426163683600534
287	0.537168425416013	0.7654101565510457
288	0.2874417775003	0.3856425899382731
290	0.22871570236686178	0.5424832120530779
291	0.11721415415577452	0.66344473076832
292	0.2922703252781811	0.65303826088528
293	0.12365456194128166	0.3630547353061559
294	0.07042810807172728	0.9287248717337353
295	0.49387176746077177	0.48867676334562454
296	0.40369195214326314	0.566508255409285
297	0.2814010979897934	0.47741145589832706
298	0.19522504440087252	0.6823608058058095
299	0.3825119762072271	0.4652460772607578
300	0.46453144893876264	0.2950190649284878
