Time	mean_scaled	Mod_R_deltaTMyr_cbrt_scaled
202	-0.4931045403671729	0.42935962511584186
203	0.12415695875649892	-1.377220414556072
204	0.03553290873736475	-0.514178950791068
205	-0.22613028608534883	-0.18191542832337376
206	0.13817884300368766	-0.3440472604239553
207	0.4495759726660826	-1.1865701466831393
208	0.33289791056432927	-0.4170252561820595
209	0.04354135295660962	-1.7852634155084843
210	-0.0009086328002239155	-0.7097114456354614
211	0.21049015992509715	-0.5184783261893073
212	0.470970477104569	-0.5967687977721412
213	0.7105299431569164	1.015362259026463
214	1.660419472003658	-0.3558915245147613
215	1.3526730267431395	1.7532852036417326
216	-0.16298008646263348	-0.7472777346036326
217	0.03956622629264168	0.9249123773568372
222	-0.8526622672275789	-1.1043708428693868
226	-0.7222589217547838	1.088906676400481
227	0.2763050662846735	-0.9015896026012665
229	0.445078205589434	1.1988914675655553
231	1.519493516305431	-1.7336508156885906
232	1.5684498774080826	1.2037311379454754
233	0.4906114689205094	-1.9314100799233376
234	0.5238184060534182	-0.5246212560921216
235	0.2650219854280188	-1.3643752843057377
236	0.3553769434858662	-1.4819942544363245
237	0.43070051498376577	-1.3739557887730212
238	0.5197623641799632	-0.6545839549234058
239	0.7446132569171914	0.7431289756577254
240	1.5281094831347233	0.6746212371975387
241	2.273040717030111	1.6585243720597636
242	0.8400526393767992	1.4052457250214172
243	2.06696212138491	-1.2191545479135162
244	1.9554463929321833	1.2908059307842261
245	0.8147716463490351	-0.8139982948509089
246	1.0022109098915064	-0.7890798191622835
247	1.195201060784633	0.47672427022703734
248	1.8358801052800693	-1.4984100630016117
249	1.9092488182519383	-0.5781678134186738
250	2.153673364840078	-1.4005265020180344
251	2.0681331579316864	1.5696878158997327
252	0.7098603382893699	2.3399540247753308
253	-1.3892424043400375	0.31576012252345403
254	-0.8258050188212296	-0.7005876170429904
255	-1.039392073271288	0.1267878910021269
256	-0.5583983187478905	0.2678849998353791
257	-0.01667317165547847	-0.9493591548857698
258	0.14246331910056254	-1.011149276815789
259	-0.0047617942800461995	0.5161818705992759
260	-0.6653953549718592	0.7604720460634078
261	0.12807049155305736	1.924560370342964
262	-1.5449494797623886	1.4165998530604866
263	-0.30925468244955073	0.6476340423143111
264	-1.0393485277808234	-0.6097177585431687
265	-1.275559591386986	0.03405408463905798
266	-1.7192196259628896	1.008247774940076
267	-0.7739529991861616	-0.4974932027728291
268	-1.0402408227741686	1.1805900821226711
269	0.021295445954244964	0.9804884570330208
270	-0.9060769744494869	-0.3497126510587467
271	-1.215724315857621	0.2257408505281501
272	-0.6926443930580395	-0.4699964625346685
273	-0.41861722188769845	-0.9044279619358951
274	-0.5868071856160424	-0.27323630570849033
275	-0.9206337529742207	0.4958534409125443
276	-1.5709358593212068	-0.6620943076789031
277	-1.3479502606696	0.45753384971469946
279	-0.7168292213150323	-0.24575711969168015
280	-0.3740165945712713	-0.7599438449603328
281	-0.5736348259940685	1.1857619433476536
283	-1.6388001387170865	0.7315552076382348
285	-0.8619103872818943	1.4821139626344981
287	0.42529657633345247	1.08654219711682
288	-0.5716772167290234	-0.6165781704793223
290	-0.806126997583877	0.037835439134972254
291	-1.2512702066893227	0.5896237531210211
292	-0.552400396921142	0.5405431090548398
293	-1.225558422094539	-0.7051377898300034
294	-1.438052283076108	1.9429091534593517
295	0.25244504579461147	-0.19444513316860976
296	-0.10757625463591117	0.14417038564416923
297	-0.5957931819835496	-0.24204960067255146
298	-0.9398304232422383	0.6796142208243305
299	-0.19213223263089502	-0.29305785565070874
300	0.1353108557084112	-0.9632183716905078
