age	mean_minmax	Mod_R_deltaTMyr_log_minmax
202	0.307123028123085	0.7048183738023278
203	0.46173756878225225	0.23674011625386654
204	0.43953860318255566	0.4978406185176673
205	0.37399598513111254	0.5776534940758445
206	0.4652498357795185	0.5398062789380064
207	0.5432500419055897	0.3030646939621715
208	0.514023976449578	0.5221023751880011
209	0.44154459566080195	0.07032565836969684
210	0.43041055580920506	0.446396878687243
211	0.48336271187196234	0.49674792508599236
212	0.5486090372116039	0.476556078463946
213	0.6086150101368943	0.8087740631755438
214	0.8465477718401573	0.5369622383283646
215	0.7694620061784421	0.9214607405186765
216	0.38981414181359275	0.43608029100801826
217	0.4405488873846761	0.7936713658494445
222	0.21705933087661622	0.32988577097220606
226	0.24972336935839312	0.8208257856702332
227	0.4998483367323474	0.392088286739714
229	0.5421234202200722	0.8384824952819628
231	0.811247980846924	0.09361386927497439
232	0.8235107986234693	0.8392496342689824
233	0.5535288044934181	0.0
234	0.5618466330616858	0.49518382018210244
235	0.4970220979885598	0.24140491699908306
236	0.5196546295108173	0.19752394293457465
237	0.5385220291858168	0.23792854206034775
238	0.5608306567663086	0.4612747335688855
239	0.6171523576122651	0.7623302802290377
240	0.8134061484234487	0.75015754267808
241	1.0	0.9079349889772214
242	0.6410584594843831	0.8704905905183753
243	0.9483804717277771	0.29215119518910465
244	0.9204474916934333	0.8529147300303564
245	0.6347259583808076	0.41738655738903807
246	0.6816766197702773	0.42442483521277885
247	0.7300176933257263	0.7137984319149308
248	0.8904979700240934	0.19118232822446468
249	0.9088757076134373	0.4814047342520379
250	0.9701003086135049	0.22819878038085312
251	0.9486737984264808	0.8950210038036446
252	0.6084472843850599	1.0
253	0.08265423426155305	0.682815141502426
254	0.22378665978278	0.44888044978827163
255	0.17028637771201405	0.6446620775736472
256	0.2907679378306103	0.6733378999341767
257	0.42646178055387285	0.3779093182688563
258	0.46632303134513187	0.35914666715287014
259	0.42944539794153647	0.7211951860859387
260	0.26396682091152845	0.7653796545590872
261	0.4627178487390511	0.9452841484594586
262	0.0436519994259319	0.872211318920215
263	0.3531745984422163	0.7453055472280355
264	0.17029728518966447	0.47316142963883356
265	0.11113003573391511	0.6251768296690685
266	0.0	0.8075974923939854
267	0.2367747956206836	0.5020657672780964
268	0.17007377897596987	0.8355741557720076
269	0.4359723370676445	0.8029883594163228
270	0.20367976575991253	0.5384473020561725
271	0.12611785476089388	0.6648911510591861
272	0.25714135469813204	0.5089750771428929
273	0.32578095923977957	0.39125352465338115
274	0.2836519522917378	0.5565800510589093
275	0.20003351594800245	0.717393846814566
276	0.03714280981247686	0.4592657445823399
277	0.09299728309175048	0.7101734617237925
279	0.25108342606142875	0.5629860288140965
280	0.3369527324921697	0.43256845132102123
281	0.28695142639670035	0.8363972207634925
283	0.020143848430864697	0.7602881292636385
285	0.2147428186104392	0.8820608938403489
287	0.537168425416013	0.8204414256863162
288	0.2874417775003	0.4713564554235656
290	0.22871570236686178	0.6259817167558686
291	0.11721415415577452	0.7347644789385563
292	0.2922703252781811	0.7257244918765744
293	0.12365456194128166	0.4476429260232633
294	0.07042810807172728	0.947790452263304
295	0.49387176746077177	0.5747981828736235
296	0.40369195214326314	0.6482568015167323
297	0.2814010979897934	0.5638460033315317
298	0.19522504440087252	0.7510516691652485
299	0.3825119762072271	0.5519237612122208
300	0.46453144893876264	0.37374307592493294
