Time	mean_scaled	Mod_R_deltaTMyr_log_scaled
202	-0.4931045403671729	0.5349322393331585
203	0.12415695875649892	-1.5385590599328043
204	0.03553290873736475	-0.38193704011614504
205	-0.22613028608534883	-0.02838226509619287
206	0.13817884300368766	-0.19603771591924146
207	0.4495759726660826	-1.244754695837936
208	0.33289791056432927	-0.27446240195558785
209	0.04354135295660962	-2.2757411975995234
210	-0.0009086328002239155	-0.6098223247238008
211	0.21049015992509715	-0.38677744935713293
212	0.470970477104569	-0.4762232153412349
213	0.7105299431569164	0.9954347599020444
214	1.660419472003658	-0.20863623628149236
215	1.3526730267431395	1.494613778038741
216	-0.16298008646263348	-0.6555227059015618
217	0.03956622629264168	0.9285328882681713
222	-0.8526622672275789	-1.1259427900926855
226	-0.7222589217547838	1.0488214347388247
227	0.2763050662846735	-0.8503983204309465
229	0.445078205589434	1.1270370603594968
231	1.519493516305431	-2.172579168795901
232	1.5684498774080826	1.1304353297498413
233	0.4906114689205094	-2.5872695337124645
234	0.5238184060534182	-0.3937061153591404
235	0.2650219854280188	-1.517894943191568
236	0.3553769434858662	-1.7122787165430862
237	0.43070051498376577	-1.5332945757790903
238	0.5197623641799632	-0.5439164593020696
239	0.7446132569171914	0.7896982654343279
240	1.5281094831347233	0.7357755185578705
241	2.273040717030111	1.4346974548919924
242	0.8400526393767992	1.2688263998737475
243	2.06696212138491	-1.2930992715271008
244	1.9554463929321833	1.1909689193962516
245	0.8147716463490351	-0.7383321365569433
246	1.0022109098915064	-0.7071540000082013
247	1.195201060784633	0.5747120668793185
248	1.8358801052800693	-1.740370777459521
249	1.9092488182519383	-0.4547446582247399
250	2.153673364840078	-1.576395437357295
251	2.0681331579316864	1.3774911320935253
252	0.7098603382893699	1.842526693366699
253	-1.3892424043400375	0.4374624039075066
254	-0.8258050188212296	-0.5988206108307812
255	-1.039392073271288	0.26845210526429303
256	-0.5583983187478905	0.3954801549653587
257	-0.01667317165547847	-0.913208261467026
258	0.14246331910056254	-0.9963229825906247
259	-0.0047617942800461995	0.6074781805986821
260	-0.6653953549718592	0.8032063723365331
261	0.12807049155305736	1.600146620650985
262	-1.5449494797623886	1.2764488760560444
263	-0.30925468244955073	0.7142821674194583
264	-1.0393485277808234	-0.49126081789897663
265	-1.275559591386986	0.18213642761288787
266	-1.7192196259628896	0.990222791093005
267	-0.7739529991861616	-0.3632204920783479
268	-1.0402408227741686	1.1141537089712314
269	0.021295445954244964	0.9698052712184494
270	-0.9060769744494869	-0.20205770658307723
271	-1.215724315857621	0.35806277866784003
272	-0.6926443930580395	-0.3326136573075516
273	-0.41861722188769845	-0.8540961463714923
274	-0.5868071856160424	-0.12173332346418037
275	-0.9206337529742207	0.5906390222365073
276	-1.5709358593212068	-0.5528158711349128
277	-1.3479502606696	0.5586541876033398
279	-0.7168292213150323	-0.09335614737349844
280	-0.3740165945712713	-0.6710794400971282
281	-0.5736348259940685	1.1177997191651527
283	-1.6388001387170865	0.780651952792677
285	-0.8619103872818943	1.3200804858755872
287	0.42529657633345247	1.0471187983322285
288	-0.5716772167290234	-0.49925648586774596
290	-0.806126997583877	0.18570191339321965
291	-1.2512702066893227	0.6675873828813393
292	-0.552400396921142	0.6275420823013276
293	-1.225558422094539	-0.604302588935936
294	-1.438052283076108	1.6112490357851739
295	0.25244504579461147	-0.04103071188692844
296	-0.10757625463591117	0.284375999824762
297	-0.5957931819835496	-0.08954663550078047
298	-0.9398304232422383	0.7397363166972613
299	-0.19213223263089502	-0.14235973865922824
300	0.1353108557084112	-0.9316638660832356
