feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-34.59062147779419,-40.0,-2.966013944917505,0.12406680675223469,0.030339468270540237,0.24490174651145935,-37.641245019949906,-74.05275018083597,-3.9230458048614025,3.0
Temperate_N,none,0_1,none,0.96,-11.12244348564147,-40.0,-1.29509063312882,0.45391965540125967,0.0174766443669796,1.1504170894622803,-91.48510847307759,-276.36989974549783,1.886132096424035,1.0
Tropical,none,0_1,none,0.65,-2.6185757529804294,-40.0,11.176395496193534,0.20595245895441622,0.006521351169794798,0.5135183334350586,-23.657795471928676,-66.7127144618966,2.3188273875917105,4.0
Temperate_S,none,0_1,none,0.97,-19.504900227288374,-40.0,-1.1731973846845543,0.22913266258314252,0.026318753138184547,0.6324880123138428,-47.05418625590947,-100.50389156734121,-1.0034436196547603,2.0
Antarctic,none,0_1,none,0.56,-1.1736647086936596,-40.0,9.90950378647449,0.013639479890698566,0.0011749352561309934,0.025798995047807693,-2.7121465077649725,-15.915922879724718,3.0818756101892717,6.0
time,none,none,none,0.74,-1.1714779341921489,-2.4379252252080046,1.4916347397844276,0.013639483301667497,0.0011749344412237406,0.025799043476581573,0.0,0.0,0.0,5.0
