genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI,Stage
Abajudon,-0.297424559,0,0,1,0,266.1942694744745,259.87117556456457,6.323093909909915,1.4825818155555557,1.7282567188888889,-0.917950967251633,0.7047041508618038,-0.917950967251633,0.7047041508618038,Capitanian
Abdalodon,-0.297424559,0,0,1,0,257.0290669019019,256.8337731741742,0.19529372772768738,1.0965092888888888,1.0861278799999998,-0.0166731716554773,-0.8592163467668951,-0.0166731716554773,-0.8592163467668951,Lopingian
Aelurognathus,1.840694848,0,0,1,0,260.1123003203203,252.03434334934934,8.077956970970945,0.9501141244444444,0.9647666011111111,-0.5446506021234072,-0.2261058680101301,-0.5446506021234072,-0.2261058680101301,Lopingian
Aelurosaurus,-0.152345603,0,0,1,0,263.2735337917918,253.48818840640638,9.785345385385426,0.8907188366666667,0.5274745344444445,-0.46940960833060996,0.25784028252283564,-0.46940960833060996,0.25784028252283564,Mixed
Aelurosuchus,-0.297424559,0,0,1,0,244.68013993093092,244.50406954854856,0.17607038238236328,1.4926438133333335,1.1284839855555557,0.8147716463490362,-0.7965389385741263,1.280047468978877,0.06451593616710372,Anisian
Akidnognathus,-0.152345603,0,0,1,0,260.8349455325325,254.12413123023023,6.710814302302282,0.6243681211111112,0.47494857555555553,-0.3570262323043322,-0.18438901281440548,-0.3570262323043322,-0.18438901281440548,Lopingian
Aleodon,-0.141271243,0,0,1,0,246.3329053903904,234.0118061881882,12.32109920220222,1.1422294455555557,0.22833018888888887,1.0663390812578406,-0.048900922783536915,1.0663390812578406,-0.048900922783536915,Mixed
Alepognathus,-0.297424559,0,0,1,0,262.18786665765765,261.49270834534536,0.6951583123122873,0.6692130144444445,0.8769237166666666,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397,Capitanian
Alopecideops,-0.297424559,0,0,1,0,262.40052778678677,261.82877855255254,0.5717492342342325,1.0753667388888888,0.8251330666666667,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397,Capitanian
Alopecodon,-0.297424559,0,0,1,0,264.00780328428425,259.9672420950951,4.040561189189134,1.8698367322222222,1.4858500399999996,-0.6861755106823118,0.8560729686572633,-0.6861755106823118,0.8560729686572633,Capitanian
Alopecognathus,-0.297424559,0,0,1,0,263.6269443153153,260.0695664164164,3.557377898898892,1.3117347,1.4074391444444443,-0.5753778902196263,1.4744569071719458,-0.5753778902196263,1.4744569071719458,Capitanian
Alopecorhinus,-0.297424559,0,0,1,0,259.97103521521524,259.4652615795796,0.5057736356356486,0.7151650688888889,0.6657136733333333,-0.6653953549718581,0.5455263496600072,-0.479194727157799,0.46261650016104655,Capitanian
Aloposaurus,0.668769528,0,0,1,0,260.8859886116116,252.76705155255257,8.118937059059022,1.162714888888889,0.742295308888889,-0.5446506021234072,-0.2261058680101301,-0.5446506021234072,-0.2261058680101301,Lopingian
Alrausuchus,-0.297424559,1,0,0,0,273.2644701331331,265.512024029029,7.752446104104081,0.9736110299999999,1.0294436922222223,-0.8431476134027265,0.02723748125171982,-0.8431476134027265,0.02723748125171982,Roadian-Wordian
Andescynodon,-0.297424559,0,0,1,0,245.15596763463464,243.00819089289288,2.147776741741751,1.7593050833333337,1.0309306077777778,1.3851090196406104,0.25894632765797726,1.3851090196406104,0.25894632765797726,Anisian
Angelosaurus,-0.297424559,0,1,0,0,270.75212794794794,266.6733443743744,4.07878357357356,0.8740088233333333,1.3057531422222222,-0.6747438376138919,0.2083530311822272,-0.6747438376138919,0.2083530311822272,Roadian-Wordian
Angonisaurus,1.437747253,0,0,1,1,246.67852594994997,241.45847896296297,5.2200469869870005,1.2077264533333336,0.27962645222222227,1.335888741986888,0.05487469015041726,1.335888741986888,0.05487469015041726,Anisian
Annatherapsidus,-0.149232491,1,0,0,0,265.04774382882886,257.3827801921922,7.664963636636685,0.41419626777777785,1.4812944277777778,-0.5710919524972532,0.42712569184508725,-0.5710919524972532,0.42712569184508725,Mixed
Anningia,-0.297424559,0,0,1,0,262.4117173673674,261.66164106506506,0.7500763023023183,0.9023372344444445,0.8012882944444444,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397,Capitanian
Anomocephalus,-0.297424559,0,0,1,0,265.99136974774774,265.5477930560561,0.4435766916916464,1.3736350733333331,0.4988730333333333,-1.7192196259628885,0.8816940463736233,-1.6169921027637615,0.625739565209934,Roadian-Wordian
Antecosuchus,-0.297424559,1,0,0,0,246.085708995996,242.61565526226227,3.470053733733721,2.582495567777778,1.3265000844444443,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Anteosaurus,6.167515769,1,0,1,0,264.80916792392395,259.5759720620621,5.233195861861873,1.5540759855555555,0.10004551777777777,-0.6861755106823118,0.8560729686572633,-0.6861755106823118,0.8560729686572633,Capitanian
Archaeosyodon,-0.297424559,1,0,0,0,266.05090340440444,265.6679603213213,0.3829430830831484,0.72650436,1.081954771111111,-1.7192196259628885,0.8816940463736233,-1.7192196259628885,0.8816940463736233,Roadian-Wordian
