genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI,Stage
Arizonasaurus,-0.216455383,0,1,0,0,246.82244709509507,244.3329091191191,2.4895379759759635,4.399763314444445,0.2024698988888889,0.9084912781202719,-0.7903926351562492,0.9084912781202719,-0.7903926351562492,Anisian
Asilisaurus,-0.336825198,0,0,1,0,246.76175435135136,242.0885504964965,4.673203854854847,5.589386046666666,0.7555604588888889,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Askeptosaurus,-0.17456814,0,1,0,0,246.31355043343342,237.20836906306306,9.10518137037036,2.8614654955555556,1.1726817366666666,1.3049966145773815,0.27599397778133045,1.3049966145773815,0.27599397778133045,Mixed
Asperoris,-0.336825198,0,0,1,0,245.12854924724724,244.54990255155155,0.5786466956956815,1.5280713444444447,0.33845953333333334,0.8147716463490362,-0.7965389385741263,0.8147716463490362,-0.7965389385741263,Anisian
Atopodentatus,-0.336825198,0,1,0,0,246.10742655255254,244.4414577907908,1.6659687617617465,2.402382288888889,0.9580046833333333,0.9084912781202719,-0.7903926351562492,0.9084912781202719,-0.7903926351562492,Anisian
Augustaburiania,0.88338374,1,0,0,0,251.13465611311312,247.41672456956957,3.717931543543557,1.593146431111111,0.6735730755555555,1.9917338615759443,-0.2363458031187982,1.9917338615759443,-0.2363458031187982,Early Triassic
Augustasaurus,-0.336825198,0,1,0,0,245.09434175775777,244.6726347007007,0.4217070570570627,1.3965028744444445,0.8116477344444445,0.8147716463490362,-0.7965389385741263,0.8147716463490362,-0.7965389385741263,Anisian
Australothyris,-0.336825198,0,0,1,0,262.32381124124123,261.67202052352354,0.651790717717688,0.8382662744444446,0.38771775,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397,Capitanian
Baisesaurus,-0.336825198,0,1,0,0,249.29597759659657,249.02092742342342,0.27505017317315605,2.349221105555556,1.6556012711111112,1.9092488182519396,-0.6703432065006151,1.947978501166885,-0.7260954290489883,Early Triassic
Barasaurus,0.438269307,0,0,1,0,261.56838594694693,246.9380842042042,14.630301742742745,0.5729196688888889,0.6869606166666666,0.3761908346629055,0.22554488054661032,0.3761908346629055,0.22554488054661032,Mixed
Barberenasuchus,-0.336825198,0,0,1,0,239.0851844044044,238.68838701701702,0.39679738738738024,0.6073142499999999,0.9957137699999999,0.7446132569171925,0.523448309350873,0.7446132569171925,0.523448309350873,Ladinian
Barracudasauroides,-0.336825198,0,1,0,0,246.71470592592593,242.77593579679677,3.9387701291291535,4.968088846666667,1.1696321688888889,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Barracudasaurus,-0.149566719,0,1,0,0,246.86292885285286,240.44895877177177,6.413970081081089,3.086805101111111,0.6784685055555555,1.4920807378274252,0.37269038085152245,1.4920807378274252,0.37269038085152245,Anisian
Bashkyroleter,-0.282990691,1,0,0,0,273.3446267767768,264.2924716276276,9.0521551491492,1.22359207,0.5053498133333334,-0.8911933887343108,-0.0012477759570615938,-0.8911933887343108,-0.0012477759570615938,Roadian-Wordian
Batrachotomus,-0.336825198,1,0,0,0,239.12150857057057,237.20173043543542,1.9197781351351466,1.0124380188888888,1.9724524244444446,0.6321878105485784,-0.09512069126600559,0.6321878105485784,-0.09512069126600559,Ladinian
Belebey,-0.114332721,1,0,0,0,270.47860126226226,264.161201005005,6.317400257257248,0.3226297355555556,0.3083610677777778,-0.9489590946342402,0.24766272291253655,-0.9489590946342402,0.24766272291253655,Roadian-Wordian
Benggwigwishingasuchus,-0.336825198,0,1,0,0,244.6719067037037,244.26017243443442,0.4117342692692887,1.2586674755555556,0.8697203899999999,1.9554463929321844,1.3144315938900808,1.423846825586606,0.3306357966229612,Anisian
Bentonyx,-0.336825198,0,1,0,0,245.09737769069068,244.67163660660663,0.4257410840840521,1.454211191111111,0.8278987833333332,0.8147716463490362,-0.7965389385741263,0.8147716463490362,-0.7965389385741263,Anisian
Besanosaurus,-0.336825198,0,1,0,0,242.39889268168167,242.09259785685686,0.3062948248248176,1.7224593199999998,1.658981348888889,0.8400526393768003,1.5054011739054376,1.141559840401897,0.8983918736948157,Anisian
Blezingeria,-0.336825198,1,0,0,0,241.00693074774773,240.71533065165164,0.29160009609609006,1.2852419433333333,1.6559137155555554,2.273040717030112,1.961768834357048,2.273040717030112,1.961768834357048,Ladinian
Blomosaurus,-0.336825198,1,0,0,0,251.57900906606608,251.47021933733734,0.1087897287287376,4.742448665555555,3.5513022377777776,0.709860338289371,3.4369011219489054,1.3555639469619234,2.6569871631247737,Early Triassic
