genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Abajudon,-0.297424559,0,0,1,0,266.1603710750751,259.7484965335335,6.411874541541579,1.9243897811111113,0.5883820488888889,-1.183660518125,0.8472903012499999,-1.357622334625,-0.5328967955,-0.14794308887500002,0.813747645,1.221425093875,0.21104570737500003,-1.183660518125,0.8472903012499999,-1.357622334625,-0.5328967955,-0.14794308887500002,0.813747645,1.221425093875,0.21104570737500003,Capitanian
Abdalodon,-0.297424559,0,0,1,0,257.0442647707708,256.83143056056053,0.2128342102102465,0.7860350855555555,0.9525608477777777,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923,-1.013535997,-0.105044529,1.08251691,-1.479153218,1.664987412,-0.063728736,0.054401397,-0.125814923,Lopingian
Aelurognathus,1.840694848,0,0,1,0,260.16298636636634,252.05646473373375,8.106521632632592,0.5438215122222222,0.5918494577777779,-1.0201363233999998,-0.17152017439999998,0.093622328,-1.0311898354,0.8778857493999999,-0.050775184799999984,0.055983629599999994,-0.10944732880000001,-1.0201363233999998,-0.17152017439999998,0.093622328,-1.0311898354,0.8778857493999999,-0.050775184799999984,0.055983629599999994,-0.10944732880000001,Lopingian
Aelurosaurus,-0.152345603,0,0,1,0,263.0697741101101,253.4940655095095,9.575708600600564,1.0276489933333333,0.5689458833333333,-1.1656523663333334,-0.03897433691666665,-0.0005524804999999707,-1.1274005825833333,0.915758994583333,0.18042607800000002,0.11530242491666666,0.16005506958333335,-1.1656523663333334,-0.03897433691666665,-0.0005524804999999707,-1.1274005825833333,0.915758994583333,0.18042607800000002,0.11530242491666666,0.16005506958333335,Mixed
Aelurosuchus,-0.297424559,0,0,1,0,244.6866277977978,244.48627503003001,0.20035276776778232,1.15293543,0.9215506,-0.877202301,-0.085789517,-0.222667648,-0.773568899,0.533235343,-0.204664483,0.417469315,-0.58085574,-0.877202301,-0.085789517,-0.222667648,-0.773568899,0.533235343,-0.204664483,0.417469315,-0.58085574,Anisian
Akidnognathus,-0.152345603,0,0,1,0,261.2674142932933,254.25427453753753,7.0131397557557875,0.574108221111111,0.5102160811111112,-1.1815730095,0.0004448958749999968,0.327608181,-1.29341433875,1.19105934675,0.20487345262500004,0.122173381875,0.18811650887500003,-1.1815730095,0.0004448958749999968,0.327608181,-1.29341433875,1.19105934675,0.20487345262500004,0.122173381875,0.18811650887500003,Lopingian
Aleodon,-0.141271243,0,0,1,0,246.45388837237238,234.3021646306306,12.151723741741762,0.24385651666666666,0.15030849333333335,-0.377689367,0.044344430153846155,0.5443812875384615,-0.6688773701538461,0.7763879064615384,-0.18371754746153848,0.02853997192307691,-0.2692672883846154,-0.377689367,0.044344430153846155,0.5443812875384615,-0.6688773701538461,0.7763879064615384,-0.18371754746153848,0.02853997192307691,-0.2692672883846154,Mixed
Alepognathus,-0.297424559,0,0,1,0,262.08586773173175,261.57462815815813,0.5112395735736186,0.9123606177777778,0.4624738011111111,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,Capitanian
Alopecideops,-0.297424559,0,0,1,0,262.40062214314315,261.87024905905906,0.5303730840840899,1.5946292244444444,0.5170663866666666,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,Capitanian
Alopecodon,-0.297424559,0,0,1,0,263.9566798178178,259.901042985986,4.055636831831805,2.8849494511111113,0.6086024755555556,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,Capitanian
Alopecognathus,-0.297424559,0,0,1,0,263.5882213153153,260.08219237037036,3.506028944944944,2.0217554766666668,0.519716788888889,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.40117923799999994,0.652543767,0.23512669,0.711335562,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.40117923799999994,0.652543767,0.23512669,0.711335562,Capitanian
Alopecorhinus,-0.297424559,0,0,1,0,259.9512210950951,259.5352951901902,0.41592590490489556,0.8189020033333333,0.6009476300000001,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,-1.461634697,0.176260604,-0.930573034,-0.98384954,0.401179238,0.652543767,0.23512669,0.711335562,Capitanian
Aloposaurus,0.668769528,0,0,1,0,261.08802203803805,252.66889992592593,8.41912211211212,0.6065860088888889,0.5084241288888889,-1.0602725391818182,-0.13990374,0.0005136587272727346,-1.026886172181818,0.8345487938181816,0.013162901727272747,0.07226936236363636,-0.03483070236363637,-1.0602725391818182,-0.13990374,0.0005136587272727346,-1.026886172181818,0.8345487938181816,0.013162901727272747,0.07226936236363636,-0.03483070236363637,Lopingian
Alrausuchus,-0.297424559,1,0,0,0,273.4879252252252,265.5613667177177,7.92655850750748,0.7806996244444444,1.406416518888889,0.5543546511111112,0.755380234888889,-0.2773912481111111,0.6791526391111111,-0.6704939554444445,0.09791783988888889,0.8774708923333333,-0.5066263792222222,0.5543546511111112,0.755380234888889,-0.2773912481111111,0.6791526391111111,-0.6704939554444445,0.09791783988888889,0.8774708923333333,-0.5066263792222222,Roadian-Wordian
Andescynodon,-0.297424559,0,0,1,0,245.17926143243244,243.04724506306306,2.1320163693693814,1.1757422033333331,0.9531061911111111,-0.877202301,-0.085789517,-0.222667648,-0.773568899,0.533235343,-0.204664483,0.417469315,-0.58085574,-0.877202301,-0.085789517,-0.222667648,-0.773568899,0.533235343,-0.204664483,0.417469315,-0.58085574,Anisian
Angelosaurus,-0.297424559,0,1,0,0,271.0802461921922,266.7092718918919,4.370974300300304,0.7614579722222222,1.794712107777778,0.71369526,0.6040936229999999,-0.053393758000000006,0.7367103300000001,-0.621412329,-0.025145026999999997,0.628997783,-0.49210833699999995,0.71369526,0.6040936229999999,-0.053393758000000006,0.7367103300000001,-0.621412329,-0.025145026999999997,0.628997783,-0.49210833699999995,Roadian-Wordian
Angonisaurus,1.437747253,0,0,1,1,246.9037322012012,241.59100005005004,5.3127321511511525,0.8826433544444444,0.16888571111111111,-0.9768211061666667,-0.152170701,-0.25941312266666666,-0.8619492843333333,0.589319996,-0.2633023131666667,0.3118824576666667,-0.5832656405,-0.9768211061666667,-0.152170701,-0.25941312266666666,-0.8619492843333333,0.589319996,-0.2633023131666667,0.3118824576666667,-0.5832656405,Anisian
Annatherapsidus,-0.149232491,1,0,0,0,264.8501579049049,257.391912985986,7.458244918918922,1.0846179377777778,1.1873098455555555,-1.2796944884444443,0.3125719662222222,-0.6097528392222222,-0.960301396,0.5193225872222222,0.5411362116666667,0.4872020778888889,0.37706808988888896,-1.2796944884444443,0.3125719662222222,-0.6097528392222222,-0.960301396,0.5193225872222222,0.5411362116666667,0.4872020778888889,0.37706808988888896,Mixed
